Counter,Type.1,Type.2,User,ignoreAnalysis,Sample_Name,Sample,Date,DateTime,IPLnum,NumBlocks,NumCycles,IntTime,sam44current,ref44current,d13C.PDB,d13C.err,d18O.rawPDB,d18O.err,d18O.rawSMOW,d45,d45.err,d46,d46.err,d47,d47.err,d48,d48.err,d49,d49.err,D472,D47.err3,D484,D48.err5,D496,D49.err7,Comments,included,D47_raw,sample_upper,type2_upper,standard_key,ben_reference_class,D47_d47_0,D47_transferred,D47_accepted,standard_residual,standard_extreme_outlier,standard_outlier_score,correction_qc_include,D47_corrected,T47_C,correction_method,linearity_slope,transfer_slope,transfer_intercept,carbonate_offset,temperature_A,temperature_B,acid_fractionation
4002,Standard,102-GC-AZ01,eyl,include,102-GC-AZ01,IPL-CI-4814 102-GC-AZ01,20260402.09,4/2/26 9:15,4814,90,calcite,50,5.77e-8,5.75e-8,0.772164786,5.81e-4,-6.521347318,0.003818898,24.18707784,10.46216782,5.68e-4,-7.621586798,0.003810811,2.922768631,0.007985284,-15.23289028,0.026518898,-21.62478347,1.269877149,-0.302707931,0.005392609,-0.053995457,0.025810646,-17.77168167,1.275047055,,TRUE,-0.302707931,102-GC-AZ01,102-GC-AZ01,102-GC-AZ01,carbonate standard,-0.30609044432550836,0.6080264604106866,0.612,-0.003973539589313346,FALSE,0.6744907594765952,TRUE,0.6153953506848813,20.092252852448723,Ben manual-workbook procedure (stored parameters),0.0011572976696246704,1.097784986741269,0.944047954776194,-0.007368890274194578,38300,0.258,0.088
4003,Standard,102-GC-AZ01,wmn,include,102-GC-AZ01,IPL-CI-4861 102-GC-AZ01,20260419.18,4/19/26 18:25,4861,90,calcite,50,5.77e-8,5.76e-8,0.544799871,4.35e-4,-6.431869452,0.003794101,24.27932146,10.25077116,4.03e-4,-7.532772944,0.003785872,2.789860846,0.007242926,-15.07852231,0.029025545,-25.25303141,1.427930221,-0.307424389,0.005372576,-0.076331682,0.027213557,-21.36822686,1.433718073,,TRUE,-0.307424389,102-GC-AZ01,102-GC-AZ01,102-GC-AZ01,carbonate standard,-0.3106530884556529,0.6030176581847708,0.612,-0.008982341815229167,FALSE,0.3330144036920647,TRUE,0.61038654845896545,21.755155198348803,Ben manual-workbook procedure (stored parameters),0.0011572976696246704,1.097784986741269,0.944047954776194,-0.007368890274194578,38300,0.258,0.088
4004,Standard,102-GC-AZ01,wmn,include,102-GC-AZ01,IPL-CI-4867 102-GC-AZ01,20260422.12,4/22/26 12:41,4867,90,calcite,50,5.78e-8,5.77e-8,0.599324749,0.002330765,-6.418331325,0.003849327,24.29327805,10.30361393,0.001776442,-7.519138219,0.003839949,2.855761102,0.008871612,-15.04375734,0.028413182,-27.6948542,1.673463147,-0.32777918,0.005780724,-0.102100963,0.025726286,-23.9508817,1.679393687,,TRUE,-0.32777918,102-GC-AZ01,102-GC-AZ01,102-GC-AZ01,carbonate standard,-0.33108414566834937,0.5805887503134206,0.612,-0.03141124968657938,FALSE,1.1960820506474286,TRUE,0.5879576405876152,29.564519809744922,Ben manual-workbook procedure (stored parameters),0.0011572976696246704,1.097784986741269,0.944047954776194,-0.007368890274194578,38300,0.258,0.088
4005,Standard,102-GC-AZ01,eyl,include,102-GC-AZ01,IPL-CI-4915 102-GC-AZ01,20260512.13,5/12/26 13:21,4915,90,calcite,50,5.77e-8,5.75e-8,0.645677072,4.81e-4,-6.467616278,0.003706503,24.2424697,10.3447055,4.31e-4,-7.568233399,0.003698391,2.846485486,0.007173478,-15.17358337,0.024296092,-24.62701584,1.321822609,-0.311808437,0.005877128,-0.089617252,0.02486159,-20.76819562,1.325385562,,TRUE,-0.311808437,102-GC-AZ01,102-GC-AZ01,102-GC-AZ01,carbonate standard,-0.31510266801956827,0.5981329765421937,0.612,-0.013867023457806327,FALSE,0,TRUE,0.6055018668163883,23.404403013326373,Ben manual-workbook procedure (stored parameters),0.0011572976696246704,1.097784986741269,0.944047954776194,-0.007368890274194578,38300,0.258,0.088
4006,Standard,102-GC-AZ01,wmn,include,102-GC-AZ01,IPL-CI-4976 102-GC-AZ01,20260608.11,6/8/26 11:27,4976,90,calcite,50,5.78e-8,5.77e-8,1.106109299,0.002438343,-6.468500898,0.003248683,24.24155774,10.78000146,0.001903677,-7.568142394,0.003240473,3.285780349,0.009339676,-15.12180021,0.02904221,-25.97072636,1.459091615,-0.329200515,0.006933638,-0.08534271,0.024066623,-22.61329624,1.464495312,,TRUE,-0.329200515,102-GC-AZ01,102-GC-AZ01,102-GC-AZ01,carbonate standard,-0.33300314094079625,0.5784821061137011,0.612,-0.03351789388629889,FALSE,1.3397030506008267,TRUE,0.5858509963878957,30.330306343812765,Ben manual-workbook procedure (stored parameters),0.0011572976696246704,1.097784986741269,0.944047954776194,-0.007368890274194578,38300,0.258,0.088
4035,Sample,Elena's Samples,wmn,include,BHB-25-R6-262-A-1,IPL-CI-4822 BHB-25-R6-262-A-1,20260406.09,4/6/26 9:10,4822,90,calcite,50,5.75e-8,5.74e-8,-5.477402015,9.96e-4,-0.825115236,0.003729855,30.05938045,4.764862914,9.53e-4,-1.950475671,0.00372204,2.666193831,0.007064546,-3.999135639,0.017805386,-17.81620664,1.582321769,-0.32404647,0.008149668,-0.102343321,0.018028634,-19.02739005,1.581532495,,TRUE,-0.32404647,BHB-25-R6-262-A-1,ELENA'S SAMPLES,ELENA'S SAMPLES,unknown,-0.3271320499073839,0.5849273017059724,,,FALSE,,TRUE,0.592296191980167,28.00550365770249,Ben manual-workbook procedure (stored parameters),0.0011572976696246704,1.097784986741269,0.944047954776194,-0.007368890274194578,38300,0.258,0.088
4037,Sample,Elena's Samples,wmn,include,BHB-25-R6-268-B,IPL-CI-4815 BHB-25-R6-268-B,20260402.11,4/2/26 11:44,4815,90,calcite,50,5.77e-8,5.76e-8,-8.588087111,6.58e-4,-4.091359145,0.003478158,26.69217694,1.715353753,5.84e-4,-5.21631586,0.003470642,-3.78980222,0.008906936,-10.51819837,0.026394231,-25.76585396,1.581856902,-0.433972334,0.00621268,-0.106139802,0.025688222,-17.51938484,1.596352711,,TRUE,-0.433972334,BHB-25-R6-268-B,ELENA'S SAMPLES,ELENA'S SAMPLES,unknown,-0.42958640472245563,0.4724544491637236,,,FALSE,,TRUE,0.47982333943791816,78.444701475347415,Ben manual-workbook procedure (stored parameters),0.0011572976696246704,1.097784986741269,0.944047954776194,-0.007368890274194578,38300,0.258,0.088
4038,Sample,Elena's Samples,eyl,include,BHB-25-RG-262-BD,IPL-CI-4919 BHB-25-RG-262-BD,20260513.15,5/13/26 14:53,4919,90,calcite,50,5.77e-8,5.75e-8,-5.05253338,5.54e-4,-0.587873025,0.003911521,30.30395582,5.174196152,4.71e-4,-1.712844392,0.003902819,3.328048954,0.009233559,-3.469571857,0.023119075,-15.52627331,1.809068099,-0.321590441,0.007116706,-0.052937953,0.021522432,-17.62747718,1.804612854,,TRUE,-0.321590441,BHB-25-RG-262-BD,ELENA'S SAMPLES,ELENA'S SAMPLES,unknown,-0.325441984298861,0.5867826303576166,,,FALSE,,TRUE,0.5941515206318112,27.346122797555722,Ben manual-workbook procedure (stored parameters),0.0011572976696246704,1.097784986741269,0.944047954776194,-0.007368890274194578,38300,0.258,0.088
4041,Sample,Elena's Samples,eyl,include,BHB-25-TRAV-242-B,IPL-CI-4916 BHB-25-TRAV-242-B,20260512.16,5/12/26 15:51,4916,90,calcite,50,5.77e-8,5.75e-8,-4.374028539,9.14e-4,-1.584409024,0.00305895,29.27661689,5.779480248,8.48e-4,-2.705849793,0.003052119,2.968082342,0.007294148,-5.475585769,0.025971476,-19.20947685,1.872935028,-0.322608869,0.006292305,-0.087698706,0.022445493,-20.02051515,1.871755798,,TRUE,-0.322608869,BHB-25-TRAV-242-B,ELENA'S SAMPLES,ELENA'S SAMPLES,unknown,-0.32604382377765073,0.586121940013373,,,FALSE,,TRUE,0.5934908302875677,27.580434262086214,Ben manual-workbook procedure (stored parameters),0.0011572976696246704,1.097784986741269,0.944047954776194,-0.007368890274194578,38300,0.258,0.088
4042,Sample,Elena's Samples,eyl,include,BHB-25-TRAV-242-B,IPL-CI-4917 BHB-25-TRAV-242-B,20260512.18,5/12/26 18:34,4917,90,calcite,50,5.78e-8,5.76e-8,-4.406697604,0.001134408,-1.59795771,0.00344931,29.26264942,5.748586173,8.82e-4,-2.71943497,0.003441447,2.939168779,0.009222309,-5.496893678,0.022474455,-18.90906488,1.571066811,-0.311933941,0.006342728,-0.079915153,0.020865118,-19.68421109,1.573463026,,TRUE,-0.311933941,BHB-25-TRAV-242-B,ELENA'S SAMPLES,ELENA'S SAMPLES,unknown,-0.3153354341785703,0.5978774493474199,,,FALSE,,TRUE,0.6052463396216146,23.491441764776084,Ben manual-workbook procedure (stored parameters),0.0011572976696246704,1.097784986741269,0.944047954776194,-0.007368890274194578,38300,0.258,0.088
