Counter,Type.1,Type.2,User,ignoreAnalysis,Sample_Name,Sample,Date,DateTime,IPLnum,NumBlocks,NumCycles,IntTime,sam44current,ref44current,d13C.PDB,d13C.err,d18O.rawPDB,d18O.err,d18O.rawSMOW,d45,d45.err,d46,d46.err,d47,d47.err,d48,d48.err,d49,d49.err,D472,D47.err3,D484,D48.err5,D496,D49.err7,Comments,included,D47_raw,sample_upper,type2_upper,standard_key,ben_reference_class,D47_d47_0,D47_transferred,D47_accepted,standard_residual,standard_group_n,standard_residual_median,standard_residual_mad,standard_outlier_score,standard_extreme_outlier
4002,Standard,102-GC-AZ01,eyl,include,102-GC-AZ01,IPL-CI-4814 102-GC-AZ01,20260402.09,4/2/26 9:15,4814,90,calcite,50,5.77e-8,5.75e-8,0.772164786,5.81e-4,-6.521347318,0.003818898,24.18707784,10.46216782,5.68e-4,-7.621586798,0.003810811,2.922768631,0.007985284,-15.23289028,0.026518898,-21.62478347,1.269877149,-0.302707931,0.005392609,-0.053995457,0.025810646,-17.77168167,1.275047055,,TRUE,-0.302707931,102-GC-AZ01,102-GC-AZ01,102-GC-AZ01,carbonate standard,-0.30609044432550836,0.6080264604106866,0.612,-0.003973539589313346,5,-0.013867023457806327,0.014668079183427692,0.6744907594765952,FALSE
4003,Standard,102-GC-AZ01,wmn,include,102-GC-AZ01,IPL-CI-4861 102-GC-AZ01,20260419.18,4/19/26 18:25,4861,90,calcite,50,5.77e-8,5.76e-8,0.544799871,4.35e-4,-6.431869452,0.003794101,24.27932146,10.25077116,4.03e-4,-7.532772944,0.003785872,2.789860846,0.007242926,-15.07852231,0.029025545,-25.25303141,1.427930221,-0.307424389,0.005372576,-0.076331682,0.027213557,-21.36822686,1.433718073,,TRUE,-0.307424389,102-GC-AZ01,102-GC-AZ01,102-GC-AZ01,carbonate standard,-0.3106530884556529,0.6030176581847708,0.612,-0.008982341815229167,5,-0.013867023457806327,0.014668079183427692,0.3330144036920647,FALSE
4004,Standard,102-GC-AZ01,wmn,include,102-GC-AZ01,IPL-CI-4867 102-GC-AZ01,20260422.12,4/22/26 12:41,4867,90,calcite,50,5.78e-8,5.77e-8,0.599324749,0.002330765,-6.418331325,0.003849327,24.29327805,10.30361393,0.001776442,-7.519138219,0.003839949,2.855761102,0.008871612,-15.04375734,0.028413182,-27.6948542,1.673463147,-0.32777918,0.005780724,-0.102100963,0.025726286,-23.9508817,1.679393687,,TRUE,-0.32777918,102-GC-AZ01,102-GC-AZ01,102-GC-AZ01,carbonate standard,-0.33108414566834937,0.5805887503134206,0.612,-0.03141124968657938,5,-0.013867023457806327,0.014668079183427692,1.1960820506474286,FALSE
4005,Standard,102-GC-AZ01,eyl,include,102-GC-AZ01,IPL-CI-4915 102-GC-AZ01,20260512.13,5/12/26 13:21,4915,90,calcite,50,5.77e-8,5.75e-8,0.645677072,4.81e-4,-6.467616278,0.003706503,24.2424697,10.3447055,4.31e-4,-7.568233399,0.003698391,2.846485486,0.007173478,-15.17358337,0.024296092,-24.62701584,1.321822609,-0.311808437,0.005877128,-0.089617252,0.02486159,-20.76819562,1.325385562,,TRUE,-0.311808437,102-GC-AZ01,102-GC-AZ01,102-GC-AZ01,carbonate standard,-0.31510266801956827,0.5981329765421937,0.612,-0.013867023457806327,5,-0.013867023457806327,0.014668079183427692,0,FALSE
4006,Standard,102-GC-AZ01,wmn,include,102-GC-AZ01,IPL-CI-4976 102-GC-AZ01,20260608.11,6/8/26 11:27,4976,90,calcite,50,5.78e-8,5.77e-8,1.106109299,0.002438343,-6.468500898,0.003248683,24.24155774,10.78000146,0.001903677,-7.568142394,0.003240473,3.285780349,0.009339676,-15.12180021,0.02904221,-25.97072636,1.459091615,-0.329200515,0.006933638,-0.08534271,0.024066623,-22.61329624,1.464495312,,TRUE,-0.329200515,102-GC-AZ01,102-GC-AZ01,102-GC-AZ01,carbonate standard,-0.33300314094079625,0.5784821061137011,0.612,-0.03351789388629889,5,-0.013867023457806327,0.014668079183427692,1.3397030506008267,FALSE
4221,Standard,ETH-1,wmn,include,ETH-1,IPL-CI-4803 ETH-1,20260330.13,3/30/26 13:07,4803,90,calcite,50,5.76e-8,5.75e-8,2.254136081,5.76e-4,5.778797362,0.003642306,36.86741999,12.29158739,5.65e-4,4.655900728,0.003634737,16.63965779,0.007428484,9.13299254,0.022726301,17.26107593,1.943689195,-0.675894501,0.006777095,-0.192028849,0.022274189,-4.987790031,1.899159506,,TRUE,-0.675894501,ETH-1,ETH-1,ETH-1,carbonate standard,-0.695151538183719,0.1809210326480073,0.2052,-0.024278967351992697,11,-0.01747660288300107,0.015307896973881768,0.4443696270361486,FALSE
4222,Standard,ETH-1,wmn,include,ETH-1,IPL-CI-4817 ETH-1,20260402.16,4/2/26 16:48,4817,90,calcite,50,5.77e-8,5.75e-8,2.131124816,3.9e-4,5.642976336,0.003530229,36.72740073,12.17087119,3.38e-4,4.520107483,0.00352261,16.38043689,0.006586143,8.843038794,0.022694756,16.55018763,1.815367065,-0.674975701,0.005189841,-0.226726011,0.021754571,-5.342709931,1.778586392,,TRUE,-0.674975701,ETH-1,ETH-1,ETH-1,carbonate standard,-0.6939327424402311,0.1822590083171125,0.2052,-0.02294099168288749,11,-0.01747660288300107,0.015307896973881768,0.35696534992427276,FALSE
4223,Standard,ETH-1,eyl,include,ETH-1,IPL-CI-4830 ETH-1,20260408.12,4/8/26 12:17,4830,90,calcite,50,5.77e-8,5.75e-8,2.266543998,5.26e-4,5.7567518,0.003651159,36.844693,12.30253845,5.25e-4,4.633927619,0.003643514,16.61426853,0.00783149,9.079808718,0.024670337,14.41442144,2.010139488,-0.687993767,0.005680108,-0.203466519,0.02393087,-7.786104868,1.966752139,,TRUE,-0.687993767,ETH-1,ETH-1,ETH-1,carbonate standard,-0.7072214212522875,0.1676708962236101,0.2052,-0.037529103776389905,11,-0.01747660288300107,0.015307896973881768,1.3099448557566253,FALSE
4224,Standard,ETH-1,mla,include,ETH-1,IPL-CI-4848 ETH-1,20260412.18,4/12/26 18:29,4848,90,calcite,50,5.77e-8,5.76e-8,2.262610176,6.76e-4,5.741222513,0.003836564,36.8286837,12.29837416,6.84e-4,4.618422504,0.003828471,16.63101976,0.007364867,9.056020115,0.024090283,13.55740809,1.666666244,-0.654645243,0.00631731,-0.211354207,0.020799812,-8.595065713,1.629156132,,TRUE,-0.654645243,ETH-1,ETH-1,ETH-1,carbonate standard,-0.6738922834117299,0.2042591233660046,0.2052,-9.408766339953911e-4,11,-0.01747660288300107,0.015307896973881768,1.0802088802412784,FALSE
4225,Standard,ETH-1,alw,include,ETH-1,IPL-CI-4874 ETH-1,20260424.15,4/24/26 15:08,4874,90,calcite,50,5.77e-8,5.75e-8,2.215788091,6.07e-4,5.741820537,0.003845092,36.82930021,12.25411011,5.36e-4,4.618921072,0.003836447,16.57852995,0.008812093,9.072645118,0.017909794,6.385492948,1.700176304,-0.658757281,0.007625246,-0.17890906,0.017994634,-15.55967071,1.661339159,,TRUE,-0.658757281,ETH-1,ETH-1,ETH-1,carbonate standard,-0.6779435750769378,0.1998116761990293,0.2052,-0.005388323800970707,11,-0.01747660288300107,0.015307896973881768,0.7896760151087575,FALSE
