'Order','Type1','Type2','User','Status','SampleID','AnalyID','Order'2,'Date_Time','AcidTemp','d13CPDBraw','d18OPDBgasraw','d45vref','d46vref','d47vref','d48vref','d9vref','D47vref'3,'D48vref'4,'D49vref','D47@d47=0','D48@d487=0','D49@d49=0','d13CPDB','d18OPDBmin','D47_90 CDES','D47_90 iCDES+','D47_90_iCDES','D48_90 CDES','D48_90 iCDES+','D48_90_iCDES','D49_90 CDES','D49_90 iCDES+','D47_90_iCDES'5,'T(D47)CDES','TD47iCDES+','T(D47)iCDES'
4256,'Sample','Matthew''s BHB Carbs','mla','include',PK95-SC-185,'IPL-CI-4611 PK95-SC-185-01',4256,'1/10/2026 2:46:42 PM',90,-8.76476486,-0.581372309,1.671675524,-1.714141575,-0.297063355,-3.458624129,-29.244207,-0.341495407,-0.047375846,-27.71378831,-0.341137067,-0.050348605,-18.01413734,-9.047114651,-8.572092425,0.579659449,0.58231376,0.583504004,0.322495339,0.321146452,0.31763822,11.5857362,0.590544416,-0.188418115,32.50743185,31.52268359,31.084184
4259,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-176,'IPL-CI-4615 PK95-SC-176-01',4259,'1/12/2026 1:58:39 PM',90,-8.984669642,-0.281500433,1.475263829,-1.415359797,-0.236104933,-2.928150109,-27.77083924,-0.377032173,-0.123931911,-26.63901218,-0.376747914,-0.126334593,-17.42944565,-9.267019432,-8.274638428,0.540857208,0.543424236,0.544865059,0.235542773,0.23449517,0.232818055,9.49271345,0.681348205,-0.013664932,48.088131,46.98293996,46.36759366
4263,'Sample','Matthew''s BHB Carbs','euf','include',PK95-SC-279,'IPL-CI-4620 PK95-SC-279-01',4263,'1/14/2026 3:10:08 PM',90,-7.755735777,-1.820075004,2.580331536,-2.948103138,-0.624311625,-6.087931012,-33.00539567,-0.387572936,-0.212959172,-30.06064011,-0.386823231,-0.217638234,-19.11737259,-8.038085568,-9.800807411,0.530227297,0.532540366,0.533879189,0.131022753,0.130274791,0.130317485,13.89263743,0.500544204,-0.517438712,52.7896236,51.7490145,51.15123702
4264,'Sample','Matthew''s BHB Carbs','euf','include',PK95-SC-165,'IPL-CI-4621 PK95-SC-165-01',4264,'1/14/2026 5:44:01 PM',90,-8.197797633,-0.323590036,2.215801534,-1.455715928,0.517042401,-2.991116196,-27.66925678,-0.345144843,-0.101639145,-27.20046043,-0.345765333,-0.103899198,-18.02690826,-8.480147424,-8.316388661,0.575353565,0.57747362,0.578361677,0.261432577,0.260392483,0.258535096,10.70338415,0.636449098,-0.1909609,34.12542316,33.32558248,32.99239343
4255,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-187,'IPL-CI-4610 PK95-SC-187-01',4255,'1/9/2026 2:51:19 PM',90,-6.983772022,-0.141879265,3.367716833,-1.271843743,1.872023248,-2.63718507,-26.13211985,-0.357870304,-0.114828947,-27.2069904,-0.360129929,-0.117129924,-18.53910978,-7.266121813,-8.136143031,0.558695157,0.561486845,0.562938826,0.245950617,0.244817721,0.24277733,13.34007507,0.515907059,-0.344433558,40.63605395,39.516077,38.93828789
4332,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-185,'IPL-CI-4695 PK95-SC-185-02',4332,'2/13/2026 4:06:12 PM',90,-8.929803665,-0.216134411,1.52743965,-1.350010661,-0.060028214,-2.842887816,-23.63403552,-0.33452057,-0.180318036,-22.69664934,-0.334451695,-0.179954613,-14.88797712,-9.212153455,-8.209799455,0.594070796,0.59157917,0.58956011,0.176287393,0.175976767,0.1751924,1.541534101,1.076753018,0.829128171,27.27250354,28.15837192,28.88200159
4333,'Sample','Matthew''s BHB Carbs','mam','include',PK95-SC-27,'IPL-CI-4696 PK95-SC-27-01',4333,'2/14/2026 8:37:10 PM',90,-9.947985942,-1.749587599,0.513066291,-2.882341781,-2.669679103,-5.860964878,-36.42241681,-0.384592724,-0.116358568,-31.55773051,-0.381531645,-0.115533183,-19.52439678,-10.23033573,-9.730888348,0.543339746,0.540700767,0.538444752,0.250534743,0.250517679,0.252454822,8.949064791,1.078136574,-0.66094552,47.01913403,48.15585468,49.13727589
4335,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-50,'IPL-CI-4699 PK95-SC-50-01',4335,'2/16/2026 11:38:04 AM',90,-8.508195982,-1.461945088,1.883542734,-2.592299474,-0.966322491,-5.317101124,-31.52408507,-0.363973742,-0.142532711,-28.57262125,-0.362867245,-0.141645762,-18.15867163,-8.790545772,-9.44556511,0.563684236,0.560940289,0.558670126,0.220518239,0.220409238,0.221312112,6.695658064,1.091425242,-0.221377369,38.64290734,39.73440195,40.64615042
4336,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-118up,'IPL-CI-4700 PK95-SC-118up-01',4336,'2/16/2026 2:06:32 PM',90,-8.580945804,-1.545948089,1.81211164,-2.67627357,-1.109086615,-5.52006911,-31.1495128,-0.360378733,-0.183466472,-27.97099391,-0.359109622,-0.182473952,-17.68130776,-8.863295594,-9.528890792,0.567835973,0.565030722,0.562732526,0.173504953,0.173214917,0.172314334,5.912016706,1.095483853,-0.067198502,37.01292195,38.1114602,39.02018608
4339,'Sample','Matthew''s BHB Carbs','euf','include',PK95-SC-246,'IPL-CI-4703 PK95-SC-246-01',4339,'2/17/2026 12:32:22 PM',90,-6.888166255,-1.344455724,3.416422238,-2.471660433,0.742933077,-5.110963018,-26.35797271,-0.371883035,-0.188723326,-25.21804713,-0.372731434,-0.187605167,-16.51249077,-7.170516045,-9.329023068,0.553442546,0.550404484,0.547897138,0.167680808,0.167388739,0.166234321,4.023082467,1.100103548,0.312098992,42.77634652,44.03444202,45.08416097
