"Date","Year","YearDay","Hours","RECORD","Flag_RECORD","Sitename","VWC_Avg_201_10cm","Flag_VWC_Avg_201_10cm","EC_Avg_201_10cm","Flag_EC_Avg_201_10cm","Soil_Temp_Avg_201_10cm","Flag_Soil_Temp_Avg_201_10cm","P_Avg_201_10cm","Flag_P_Avg_201_10cm","Period_Avg_201_10cm","Flag_Period_Avg_201_10cm","Voltage_Ratio_Avg_201_10cm","Flag_Voltage_Ratio_Avg_201_10cm","VWC_Avg_201_20cm","Flag_VWC_Avg_201_20cm","EC_Avg_201_20cm","Flag_EC_Avg_201_20cm","Soil_Temp_Avg_201_20cm","Flag_Soil_Temp_Avg_201_20cm","P_Avg_201_20cm","Flag_P_Avg_201_20cm","Period_Avg_201_20cm","Flag_Period_Avg_201_20cm","Voltage_Ratio_Avg_201_20cm","Flag_Voltage_Ratio_Avg_201_20cm","VWC_Avg_201_30cm","Flag_VWC_Avg_201_30cm","EC_Avg_201_30cm","Flag_EC_Avg_201_30cm","Soil_Temp_Avg_201_30cm","Flag_Soil_Temp_Avg_201_30cm","P_Avg_201_30cm","Flag_P_Avg_201_30cm","Period_Avg_201_30cm","Flag_Period_Avg_201_30cm","Voltage_Ratio_Avg_201_30cm","Flag_Voltage_Ratio_Avg_201_30cm","VWC_Avg_202_10cm","Flag_VWC_Avg_202_10cm","EC_Avg_202_10cm","Flag_EC_Avg_202_10cm","Soil_Temp_Avg_202_10cm","Flag_Soil_Temp_Avg_202_10cm","P_Avg_202_10cm","Flag_P_Avg_202_10cm","Period_Avg_202_10cm","Flag_Period_Avg_202_10cm","Voltage_Ratio_Avg_202_10cm","Flag_Voltage_Ratio_Avg_202_10cm","VWC_Avg_202_20cm","Flag_VWC_Avg_202_20cm","EC_Avg_202_20cm","Flag_EC_Avg_202_20cm","Soil_Temp_Avg_202_20cm","Flag_Soil_Temp_Avg_202_20cm","P_Avg_202_20cm","Flag_P_Avg_202_20cm","Period_Avg_202_20cm","Flag_Period_Avg_202_20cm","Voltage_Ratio_Avg_202_20cm","Flag_Voltage_Ratio_Avg_202_20cm","VWC_Avg_202_30cm","Flag_VWC_Avg_202_30cm","EC_Avg_202_30cm","Flag_EC_Avg_202_30cm","Soil_Temp_Avg_202_30cm","Flag_Soil_Temp_Avg_202_30cm","P_Avg_202_30cm","Flag_P_Avg_202_30cm","Period_Avg_202_30cm","Flag_Period_Avg_202_30cm","Voltage_Ratio_Avg_202_30cm","Flag_Voltage_Ratio_Avg_202_30cm","VwcCorr_Avg_201_10cm","Flag_VwcCorr_Avg_201_10cm","VwcCorr_Avg_201_20cm","Flag_VwcCorr_Avg_201_20cm","VwcCorr_Avg_201_30cm","Flag_VwcCorr_Avg_201_30cm","VwcCorr_Avg_202_10cm","Flag_VwcCorr_Avg_202_10cm","VwcCorr_Avg_202_20cm","Flag_VwcCorr_Avg_202_20cm","VwcCorr_Avg_202_30cm","Flag_VwcCorr_Avg_202_30cm"
2013-11-23,2013,327,23.9997,114,"A",200,0.0323811,"A",0.0074,"A",9.0142,"A",3.100716,"A",1.9174,"A",1.0223,"A",0.0545729,"A",0.0168,"A",12.2007,"A",3.97194,"A",2.0521,"A",1.0486,"A",0.0623601,"A",0.0145,"A",14.2943,"A",4.284945,"A",2.1014,"A",1.0436,"A",0.0581009,"A",0.0158,"A",10.6526,"A",4.113262,"A",2.0702,"A",1.0482,"A",0.0502789,"A",0.0148,"A",12.7662,"A",3.800995,"A",2.0154,"A",1.0434,"A",0.0766704,"A",0.0081,"A",14.1923,"A",4.870588,"A",2.1472,"A",1.0242,"A",-0.006,"E",0.021,"A",0.03,"A",0.025,"A",0.016,"A",0.047,"A"
2013-11-24,2013,328,23.9997,115,"A",200,0.0304917,"A",0.0065,"A",5.4166,"A",3.027909,"A",1.9054,"A",1.0195,"A",0.0525964,"A",0.0148,"A",9.4028,"A",3.893113,"A",2.0397,"A",1.0428,"A",0.0607504,"A",0.0133,"A",12.173,"A",4.219924,"A",2.0919,"A",1.0397,"A",0.0558411,"A",0.0142,"A",7.4828,"A",4.02265,"A",2.0572,"A",1.0436,"A",0.0489159,"A",0.0138,"A",10.3843,"A",3.746979,"A",2.0072,"A",1.0405,"A",0.0753208,"A",0.0076,"A",12.3828,"A",4.814768,"A",2.1403,"A",1.0226,"A",-0.008,"E",0.019,"A",0.029,"A",0.023,"A",0.014,"A",0.046,"A"
2013-11-25,2013,329,23.9997,116,"A",200,0.0308511,"A",0.0065,"A",5.1061,"A",3.041776,"A",1.9076,"A",1.0196,"A",0.0514174,"A",0.0136,"A",8.0553,"A",3.846204,"A",2.0324,"A",1.0394,"A",0.0593514,"A",0.0123,"A",10.5372,"A",4.16354,"A",2.0838,"A",1.0369,"A",0.0546935,"A",0.0135,"A",6.5774,"A",3.976753,"A",2.0506,"A",1.0414,"A",0.0477981,"A",0.013,"A",8.8981,"A",3.702758,"A",2.0005,"A",1.0381,"A",0.0736817,"A",0.007,"A",10.8181,"A",4.747132,"A",2.1319,"A",1.0211,"A",-0.007,"E",0.018,"A",0.027,"A",0.022,"A",0.013,"A",0.044,"A"
2013-11-26,2013,330,23.9997,117,"A",200,0.0316852,"A",0.0069,"A",4.7479,"A",3.074038,"A",1.9128,"A",1.0207,"A",0.0508119,"A",0.0131,"A",7.4376,"A",3.82216,"A",2.0287,"A",1.0379,"A",0.0585424,"A",0.0119,"A",9.7042,"A",4.130999,"A",2.0792,"A",1.0355,"A",0.0537923,"A",0.013,"A",5.2081,"A",3.940778,"A",2.0454,"A",1.0398,"A",0.0470655,"A",0.0124,"A",7.7476,"A",3.673824,"A",1.996,"A",1.0365,"A",0.0725405,"A",0.0067,"A",9.7766,"A",4.70016,"A",2.126,"A",1.0201,"A",-0.006,"E",0.017,"A",0.026,"A",0.021,"A",0.012,"A",0.042,"A"
2013-11-27,2013,331,23.9997,118,"A",200,0.0317918,"A",0.0069,"A",3.9708,"A",3.078073,"A",1.9135,"A",1.0209,"A",0.0504228,"A",0.0128,"A",6.9818,"A",3.806712,"A",2.0263,"A",1.0369,"A",0.0580909,"A",0.0116,"A",9.2965,"A",4.112859,"A",2.0766,"A",1.0346,"A",0.053325,"A",0.0127,"A",4.7959,"A",3.922143,"A",2.0427,"A",1.039,"A",0.0465455,"A",0.0121,"A",7.1216,"A",3.653306,"A",1.9929,"A",1.0355,"A",0.0717819,"A",0.0065,"A",9.0288,"A",4.66897,"A",2.1221,"A",1.0195,"A",-0.006,"E",0.016,"A",0.025,"A",0.02,"A",0.012,"A",0.042,"A"
2013-11-28,2013,332,23.9997,119,"A",200,0.0331845,"A",0.0077,"A",4.4802,"A",3.13196,"A",1.9223,"A",1.0232,"A",0.0500622,"A",0.0124,"A",6.6979,"A",3.792415,"A",2.0241,"A",1.0359,"A",0.0574618,"A",0.0112,"A",8.6619,"A",4.0876,"A",2.073,"A",1.0335,"A",0.0530487,"A",0.0126,"A",4.6252,"A",3.911139,"A",2.0412,"A",1.0385,"A",0.0461723,"A",0.0118,"A",6.686,"A",3.63859,"A",1.9907,"A",1.0347,"A",0.0712619,"A",0.0064,"A",8.4704,"A",4.647621,"A",2.1194,"A",1.0191,"A",-0.004,"E",0.016,"A",0.025,"A",0.02,"A",0.011,"A",0.041,"A"
2013-11-29,2013,333,23.9997,120,"A",200,0.0355,"A",0.0089,"A",6.6323,"A",3.221613,"A",1.9369,"A",1.027,"A",0.0506714,"A",0.0129,"A",7.8513,"A",3.816587,"A",2.0277,"A",1.0373,"A",0.0576439,"A",0.0112,"A",9.1151,"A",4.094906,"A",2.074,"A",1.0336,"A",0.0537962,"A",0.013,"A",6.105,"A",3.940953,"A",2.0454,"A",1.0397,"A",0.0462341,"A",0.0119,"A",7.2711,"A",3.641026,"A",1.991,"A",1.0348,"A",0.0710718,"A",0.0063,"A",8.541,"A",4.639816,"A",2.1185,"A",1.0189,"A",-0.002,"E",0.017,"A",0.025,"A",0.021,"A",0.011,"A",0.041,"A"
2013-11-30,2013,334,23.9997,121,"A",200,0.037054,"A",0.0098,"A",7.814,"A",3.281842,"A",1.9467,"A",1.0297,"A",0.0512792,"A",0.0134,"A",8.8102,"A",3.840717,"A",2.0314,"A",1.0387,"A",0.0580794,"A",0.0114,"A",9.8062,"A",4.112391,"A",2.0764,"A",1.0341,"A",0.0548976,"A",0.0136,"A",7.7689,"A",3.984931,"A",2.0517,"A",1.0416,"A",0.0467243,"A",0.0122,"A",8.3953,"A",3.660357,"A",1.994,"A",1.0357,"A",0.0715173,"A",0.0064,"A",9.2249,"A",4.658102,"A",2.1207,"A",1.0192,"A",0,"E",0.017,"A",0.025,"A",0.022,"A",0.012,"A",0.041,"A"
2013-12-01,2013,335,23.9997,122,"A",200,0.039691,"A",0.0115,"A",10.2526,"A",3.384489,"A",1.9632,"A",1.0347,"A",0.0522933,"A",0.0141,"A",10.3862,"A",3.881048,"A",2.0375,"A",1.0408,"A",0.0586851,"A",0.0116,"A",10.701,"A",4.136735,"A",2.0797,"A",1.0346,"A",0.0563813,"A",0.0144,"A",10.0307,"A",4.044289,"A",2.0602,"A",1.0442,"A",0.0474712,"A",0.0126,"A",10.0306,"A",3.689844,"A",1.9984,"A",1.0371,"A",0.0719616,"A",0.0066,"A",10.3263,"A",4.676349,"A",2.1231,"A",1.0198,"A",0.003,"A",0.019,"A",0.026,"A",0.023,"A",0.013,"A",0.042,"A"
2013-12-02,2013,336,23.9997,123,"A",200,0.0396162,"A",0.0115,"A",8.62,"A",3.381629,"A",1.9628,"A",1.0348,"A",0.0522553,"A",0.0141,"A",10.0375,"A",3.879536,"A",2.0373,"A",1.0407,"A",0.0589677,"A",0.0116,"A",10.9414,"A",4.148103,"A",2.0812,"A",1.0347,"A",0.0559873,"A",0.0143,"A",8.5599,"A",4.028505,"A",2.058,"A",1.0436,"A",0.0476067,"A",0.0127,"A",9.7212,"A",3.695198,"A",1.9992,"A",1.0373,"A",0.0721996,"A",0.0067,"A",10.5613,"A",4.686133,"A",2.1244,"A",1.0202,"A",0.003,"A",0.018,"A",0.026,"A",0.023,"A",0.013,"A",0.042,"A"
