---file metadata---
location: JTree
date generated: 2024-05-08 12:36:40.807979
writer: sawyer.io.sawyer_out
writer HEAD SHA: d80c2a65b5cb7e9395ba8256543121646b55ef7d
called from: make_daily_files.py
-------------------
Date,Rain_mm_Tot_sum,AirTC_Avg_avg,BP_hPa_avg,RH_Avg_avg,PPFD_Up_umol_Avg_avg,WS_ms_Avg_avg,WindDir_MEAN1_WVT_avg,VWC_1_2_avg,VWC_1_25_avg,VWC_1_5_avg,VWC_1_50_avg,VWC_1_80_avg,VWC_2_125_avg,VWC_2_2_avg,VWC_2_25_avg,VWC_2_5_avg,VWC_2_50_avg,VWC_3_125_avg,VWC_3_2_avg,VWC_3_25_avg,VWC_3_5_avg,VWC_3_50_avg,TS_1_2_avg,TS_1_25_avg,TS_1_5_avg,TS_1_50_avg,TS_1_80_avg,TS_2_125_avg,TS_2_2_avg,TS_2_25_avg,TS_2_5_avg,TS_2_50_avg,TS_3_125_avg,TS_3_2_avg,TS_3_25_avg,TS_3_5_avg,TS_3_50_avg,EC_1_2_avg,EC_1_25_avg,EC_1_5_avg,EC_1_50_avg,EC_1_80_avg,EC_2_125_avg,EC_2_2_avg,EC_2_25_avg,EC_2_5_avg,EC_2_50_avg,EC_3_125_avg,EC_3_2_avg,EC_3_25_avg,EC_3_5_avg,EC_3_50_avg,PSI_1_2_avg,PSI_1_25_avg,PSI_1_50_avg,PSI_1_80_avg,PSI_2_125_avg,PSI_2_2_avg,PSI_2_25_avg,PSI_2_50_avg,CO2_1_25_avg,CO2_1_5_avg,CO2_1_50_avg,CO2_1_80_avg,CO2_1_SURF_avg,CO2_2_125_avg,CO2_2_25_avg,CO2_2_5_avg,CO2_2_50_avg,AirTC_Min_min,RH_Avg_min,AirTC_Max_max,RH_Avg_max
2017-01-06,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-07,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-08,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-09,0.0,6.248790697674418,877.3334785714284,82.37325581395348,0.37479515255813944,1.220372093023256,178.00000000000006,0.045380952380952355,0.09799999999999995,NA,0.09299999999999999,0.05099999999999999,0.012285714285714292,0.053333333333333316,0.07799999999999996,NA,0.08499999999999998,0.02400000000000001,0.052142857142857185,0.08885714285714283,NA,0.09195238095238101,5.894999999999999,8.091999999999999,NA,7.98864285714286,8.832142857142859,11.431428571428572,6.850023809523807,8.79595238095238,NA,8.536904761904763,10.950238095238095,5.947476190476189,8.250714285714285,NA,8.174285714285714,0.007928571428571434,0.034976190476190466,NA,0.0339761904761905,0.014833333333333344,0.0031666666666666683,0.020095238095238104,0.03271428571428573,NA,0.022023809523809536,0.004000000000000003,0.012738095238095246,0.0263809523809524,NA,0.027357142857142868,-106.85634309523809,-103.59627571428572,-179.95989285714288,-59.90322023809524,-100000.0,-24.525530476190468,-30.55280095238095,-30.076830952380977,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.078,63.15,9.84,95.4
2017-01-10,0.0,7.397090277777778,874.2616666666677,59.99250000000003,275.7343493567303,2.9536180555555553,205.29305555555555,0.0416944444444445,0.09800000000000027,NA,0.09293749999999999,0.05184722222222206,0.012826388888888849,0.05155555555555552,0.07725694444444436,NA,0.08443055555555534,0.024000000000000018,0.049798611111111106,0.08777083333333298,NA,0.0913819444444442,6.00491666666667,7.268270833333328,NA,8.17555555555557,9.147291666666662,11.558749999999982,6.498701388888889,7.901499999999999,NA,8.64034722222221,10.997291666666662,5.691576388888889,7.078173611111113,NA,8.180416666666654,0.007791666666666663,0.03388194444444438,NA,0.03399999999999991,0.01499999999999997,0.0035277777777777803,0.019805555555555562,0.03184027777777781,NA,0.022076388888888823,0.004000000000000003,0.012347222222222223,0.02554166666666657,NA,0.027604166666666714,-74.86049541666665,-80.69750902777774,-137.73055486111105,-45.400169722222195,-100000.0,-26.32773618055556,-29.48061388888888,-29.504353472222274,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.263,29.82,12.82,90.5
2017-01-11,0.0,7.39989583333333,871.9477895833323,68.33284722222223,203.5629206547222,2.278520833333334,195.05993055555558,0.036527777777777694,0.09801388888888916,NA,0.09287499999999997,0.05199999999999984,0.01299999999999996,0.0500833333333334,0.0770069444444444,NA,0.08399999999999977,0.024000000000000018,0.047284722222222283,0.08717361111111091,NA,0.0909999999999998,6.857319444444447,7.4278402777777774,NA,8.264305555555554,9.392361111111112,11.72590277777778,7.1233402777777775,8.05184027777778,NA,8.725416666666673,11.091805555555553,6.245500000000001,7.088673611111109,NA,8.066715277777769,0.007673611111111105,0.03424999999999999,NA,0.03404166666666657,0.015166666666666643,0.003909722222222225,0.019958333333333342,0.032062500000000035,NA,0.022090277777777716,0.004000000000000003,0.01274305555555554,0.025569444444444346,NA,0.027618055555555587,-58.743072847222216,-61.81817131944443,-93.6167917361111,-33.937832638888885,-100000.0,-30.42974937499999,-29.380683819444457,-29.387879305555607,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.787,46.6,12.28,91.8
2017-01-12,0.8,5.989583333333332,871.9113812499996,73.55819444444448,119.04807823631943,2.1049652777777776,130.65763888888878,0.03489583333333328,0.09800000000000027,NA,0.09295138888888889,0.05311805555555557,0.01299999999999996,0.048826388888888995,0.07627777777777778,NA,0.08457638888888915,0.024930555555555498,0.04852777777777785,0.08699999999999986,NA,0.0909999999999998,5.822826388888891,7.3184097222222215,NA,8.381249999999987,9.528194444444416,11.832847222222195,6.382659722222223,7.875027777777774,NA,8.83131944444444,11.160625000000014,5.6794305555555535,6.917875,NA,8.105701388888876,0.007416666666666669,0.03404166666666656,NA,0.034124999999999905,0.01584722222222223,0.003986111111111114,0.019319444444444462,0.03193055555555558,NA,0.02226388888888884,0.004020833333333336,0.013847222222222212,0.025437499999999905,NA,0.02781944444444447,-52.59530124999997,-51.3021646527778,-69.70153236111113,-29.968744236111117,-100000.0,-32.4904698611111,-29.491526111111128,-29.558397499999955,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.277,54.39,9.74,91.9
2017-01-13,9.199999999999998,5.450749999999996,875.2091187500007,89.82763888888893,129.72673940555555,3.162895833333333,52.03034722222219,0.06450000000000002,0.0984930555555557,NA,0.09286805555555554,0.0540000000000001,0.01299999999999996,0.06968749999999994,0.07684027777777759,NA,0.08447222222222202,0.02499999999999994,0.07128472222222218,0.09199305555555566,NA,0.0909999999999998,5.637743055555555,7.1583125,NA,8.318055555555544,9.57833333333332,11.89756944444447,5.8985625,7.541465277777778,NA,8.70736111111112,11.204652777777797,5.513729166666669,6.859263888888893,NA,8.04770138888888,0.009416666666666655,0.033951388888888795,NA,0.03407638888888879,0.01600000000000001,0.004000000000000003,0.023465277777777772,0.03176388888888891,NA,0.022159722222222168,0.00409027777777778,0.015124999999999972,0.02580555555555552,NA,0.027708333333333376,-28.761635555555568,-45.36500305555555,-56.36964798611106,-29.321714375000024,-100000.0,-22.73723701388893,-29.43851520833331,-29.747980833333322,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.942,78.64,6.831,99.5
2017-01-14,0.0,6.580194444444446,875.8683916666673,70.59659722222223,235.83174763755198,4.888173611111116,29.055430555555557,0.059479166666666576,0.10384722222222226,NA,0.09345833333333314,0.0540000000000001,0.01299999999999996,0.06553472222222224,0.07902777777777775,NA,0.08418055555555554,0.025673611111111026,0.0648958333333334,0.09785416666666674,NA,0.09265277777777757,5.3693541666666675,6.838979166666672,NA,8.199652777777786,9.573611111111102,11.913541666666692,5.864722222222222,7.2403749999999985,NA,8.50805555555556,11.226805555555568,5.345902777777777,6.537354166666668,NA,7.905131944444443,0.009256944444444424,0.03409027777777771,NA,0.034013888888888795,0.01600000000000001,0.004000000000000003,0.022652777777777734,0.03178472222222224,NA,0.022020833333333267,0.004402777777777781,0.013798611111111088,0.026048611111111054,NA,0.027770833333333356,-19.33920972222222,-41.06007798611112,-47.74263979166666,-28.95056604166671,-100000.0,-19.699824583333353,-26.4601479861111,-29.67487166666661,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.758,58.08,9.46,83.4
2017-01-15,0.0,5.495458333333333,874.9344812499995,72.61951388888887,310.82795284549024,1.9420555555555563,128.47568055555564,0.05247222222222211,0.1044305555555554,NA,0.09529861111111111,0.05473611111111102,0.01299999999999996,0.059555555555555535,0.07967361111111115,NA,0.08463194444444432,0.025819444444444378,0.058402777777777706,0.09544444444444464,NA,0.09450000000000021,5.896729166666663,6.887868055555557,NA,8.105194444444432,9.523680555555547,11.890625000000004,6.462118055555555,7.537680555555555,NA,8.438194444444447,11.215833333333357,5.522361111111111,6.540715277777778,NA,7.7859027777777765,0.008944444444444444,0.034326388888888885,NA,0.03424305555555549,0.01600000000000001,0.004000000000000003,0.0222083333333333,0.032333333333333374,NA,0.022041666666666612,0.004743055555555559,0.013347222222222198,0.026062499999999978,NA,0.028000000000000018,-19.473103472222228,-36.40533881944444,-42.82056965277778,-28.37373368055556,-100000.0,-22.410363611111094,-25.067360555555606,-29.13036305555555,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.209,56.62,10.27,90.6
