datetime,temp005s,wat005s,rdial005s,idial005s,scond005s,diode005s,temp005i,wat005i,rdial005i,idial005i,scond005i,diode005i,temp015s,wat015s,rdial015s,idial015s,scond015s,diode015s,temp015i,wat015i,rdial015i,idial015i,scond015i,diode015i,temp030s,wat030s,rdial030s,idial030s,scond030s,diode030s,temp030i,wat030i,rdial030i,idial030i,scond030i,diode030i,temp064s,wat064s,rdial064s,idial064s,scond064s,diode064s,temp063i,wat063i,rdial063i,idial063i,scond063i,diode063i,temp090s,wat090s,rdial090s,idial090s,scond090s,diode090s,temp097i,wat097i,rdial097i,idial097i,scond097i,diode097i,temp150i,wat150i,rdial150i,idial150i,scond150i,diode150i,temp150s,wat150s,rdial150s,idial150s,scond150s,diode150s
2024-01-01 00:00,-0.4,0.129,7.994,3.14,0.009,-0.1,-1.2,0.136,8.36,4.046,0.011,-0.7,-0.2,0.266,16.68,11.18,0.031,0,-0.3,0.292,18.69,13.31,0.037,0,1,0.24,14.77,10.2,0.028,1.1,,0.263,16.41,10.52,0.029,24.9,3.1,0.21,12.75,5.952,0.017,3.3,3.3,0.181,10.93,7.173,0.02,3.5,5,0.154,9.33,4.055,0.011,5.1,5.4,0.127,7.876,3.477,0.01,5.5,8.6,0.15,9.1,5.965,0.017,8.8,8.3,0.132,8.16,5.574,0.015,8.3
2024-01-01 00:15,-0.4,0.125,7.778,3.268,0.009,-0.2,-1.3,0.138,8.45,3.947,0.011,-0.8,-0.2,0.266,16.68,11.18,0.031,0,-0.2,0.292,18.69,13.31,0.037,0,0.9,0.237,14.6,10.28,0.029,1.1,,0.263,16.41,10.52,0.029,24.9,3.1,0.21,12.75,5.952,0.017,3.3,3.3,0.179,10.77,7.234,0.02,3.5,5,0.154,9.33,4.055,0.011,5.1,5.4,0.127,7.876,3.477,0.01,5.5,8.6,0.145,8.83,6.121,0.017,8.8,8.3,0.132,8.16,5.574,0.015,8.3
2024-01-01 00:30,-0.4,0.127,7.862,3.174,0.009,-0.2,-1.3,0.136,8.35,4.04,0.011,-0.8,-0.2,0.266,16.68,11.18,0.031,0,-0.2,0.292,18.69,13.31,0.037,0,0.9,0.24,14.77,10.2,0.028,1.1,,0.263,16.41,10.52,0.029,24.9,3.1,0.21,12.75,5.952,0.017,3.3,3.3,0.181,10.93,7.173,0.02,3.5,5,0.154,9.33,4.055,0.011,5.1,5.4,0.127,7.876,3.477,0.01,5.5,8.6,0.145,8.83,6.121,0.017,8.8,8.3,0.135,8.31,5.528,0.015,8.3
2024-01-01 00:45,-0.5,0.13,8.06,3.042,0.008,-0.2,-1.3,0.136,8.35,4.04,0.011,-0.8,-0.2,0.266,16.68,11.18,0.031,0,-0.3,0.292,18.69,13.31,0.037,0,1,0.237,14.6,10.28,0.029,1.1,,0.263,16.41,10.52,0.029,24.9,3.1,0.21,12.75,5.952,0.017,3.3,3.3,0.181,10.93,7.172,0.02,3.5,4.9,0.154,9.33,4.055,0.011,5.1,5.4,0.127,7.876,3.477,0.01,5.5,8.6,0.15,9.1,5.965,0.017,8.8,8.3,0.132,8.16,5.574,0.015,8.3
2024-01-01 01:00,-0.5,0.126,7.849,3.17,0.009,-0.2,-1.3,0.138,8.43,3.942,0.011,-0.8,-0.2,0.266,16.68,11.18,0.031,0,-0.2,0.295,18.9,13.21,0.037,0,1,0.237,14.6,10.28,0.029,1.1,,0.263,16.41,10.52,0.029,24.9,3.1,0.21,12.75,5.952,0.017,3.3,3.3,0.181,10.93,7.173,0.02,3.5,5,0.154,9.33,4.055,0.011,5.1,5.4,0.127,7.876,3.477,0.01,5.5,8.6,0.145,8.83,6.121,0.017,8.8,8.3,0.135,8.31,5.528,0.015,8.3
2024-01-01 01:15,-0.5,0.128,7.932,3.076,0.009,-0.2,-1.4,0.138,8.43,3.942,0.011,-0.8,-0.2,0.266,16.68,11.18,0.031,0,-0.3,0.295,18.9,13.21,0.037,0,0.9,0.237,14.6,10.28,0.029,1.1,,0.263,16.41,10.52,0.029,24.9,3.1,0.21,12.75,5.952,0.017,3.3,3.2,0.179,10.77,7.234,0.02,3.5,5,0.154,9.33,4.055,0.011,5.1,5.4,0.127,7.876,3.477,0.01,5.5,8.6,0.15,9.1,5.965,0.017,8.8,8.3,0.135,8.31,5.528,0.015,8.3
2024-01-01 01:30,-0.5,0.128,7.932,3.076,0.009,-0.2,-1.4,0.133,8.21,4.075,0.011,-0.8,-0.2,0.266,16.68,11.18,0.031,0,-0.3,0.29,18.53,13.5,0.038,0,1,0.239,14.7,10.1,0.028,1.1,,0.263,16.41,10.52,0.029,24.9,3.1,0.212,12.88,5.894,0.016,3.3,3.2,0.179,10.77,7.234,0.02,3.5,4.9,0.154,9.33,4.055,0.011,5.1,5.4,0.127,7.876,3.477,0.01,5.5,8.6,0.145,8.83,6.121,0.017,8.8,8.3,0.132,8.16,5.574,0.015,8.3
2024-01-01 01:45,-0.5,0.125,7.801,3.111,0.009,-0.2,-1.4,0.135,8.3,3.977,0.011,-0.8,-0.2,0.266,16.68,11.18,0.031,0,-0.3,0.288,18.32,13.6,0.038,0,1,0.24,14.77,10.2,0.028,1.1,,0.263,16.41,10.52,0.029,24.9,3.1,0.212,12.88,5.894,0.016,3.3,3.3,0.179,10.77,7.234,0.02,3.5,4.9,0.154,9.33,4.055,0.011,5.1,5.4,0.127,7.876,3.477,0.01,5.5,8.6,0.145,8.83,6.121,0.017,8.8,8.3,0.132,8.16,5.574,0.015,8.3
2024-01-01 02:00,-0.5,0.125,7.801,3.111,0.009,-0.2,-1.4,0.135,8.3,3.977,0.011,-0.9,-0.2,0.266,16.68,11.18,0.031,0,-0.3,0.292,18.64,13.28,0.037,0,0.9,0.237,14.6,10.28,0.029,1.1,,0.263,16.41,10.52,0.029,24.9,3,0.212,12.88,5.894,0.016,3.3,3.3,0.179,10.77,7.234,0.02,3.5,5,0.154,9.33,4.055,0.011,5.1,5.4,0.127,7.876,3.477,0.01,5.5,8.6,0.15,9.1,5.965,0.017,8.8,8.3,0.132,8.16,5.574,0.015,8.3
2024-01-01 02:15,-0.5,0.123,7.67,3.145,0.009,-0.2,-1.4,0.135,8.3,3.977,0.011,-0.9,-0.2,0.266,16.68,11.18,0.031,0,-0.3,0.292,18.64,13.28,0.037,0,1,0.237,14.6,10.28,0.029,1.1,,0.263,16.41,10.52,0.029,24.9,3.1,0.21,12.75,5.952,0.017,3.3,3.2,0.179,10.77,7.234,0.02,3.5,4.9,0.154,9.33,4.055,0.011,5.1,5.4,0.127,7.876,3.477,0.01,5.5,8.6,0.15,9.1,5.965,0.017,8.8,8.3,0.135,8.31,5.528,0.015,8.3
