"","Identifier_1","SampleIDLong","SampleID","bottom.depth","depth.range","date.collection","who.collected","siteID.1","siteID.2","approx.water.content","target.mass.to.distill","date.distilled","distiller","mass.distilled.g","comments","N.Picarro","Session","Identifier_2","d18O.sd","d18O.se","d18O.2se","d18O.mean","d2H.sd","d2H.se","d2H.2se","d2H.mean","d_excess.sd","d_excess.mean","Water.Type","N.IRMS","D17O_pmg","dp17O","dp18O","dp17O_sd","dp18O_sd","D17O_sd","dp17O_se","dp18O_se","D17O_se","D17O_sd_for_err","D17O_err","d18O_IRMS"
"1","sw10","NG-O-15-Aug21sw","NG-O-15",15,NA,2021-08-17,"Julia&Naomi","REY","NancyGulch",0.05,"36",2022-06-15,"Julia",NA,NA,1,"HIDS2220_IsoWater_20220710_145042","CZ17O-sw",NA,0.202679291,0.405358581,-0.311149897,NA,0.775284849,1.550569699,-91.02467103,NA,-88.53547185,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","sw100","MOJ-PJ-24-May22sw","MOJ-PJ-25",24,"14 to 24",2022-05-16,"Julia, Miriam","MOJ","PJ",0.06,"25",2022-10-20,"Miriam","14.4","filled 1 insert",1,"HIDS2220_IsoWater_20221114_200139","CZ17O-sw",NA,0.173657165,0.347314329,-1.340660783,NA,0.376928928,0.753857856,-54.25665616,NA,-43.5313699,"soil",2,-3.15192685664545,-0.7023911358858,-1.32431668376734,0.0295476390560897,0.0462983834424127,5.1020925984958,0.0208933359446135,0.032737900890105,3.60772427463807,8.3,5.86898628384834,-1.3234401634008
"3","sw102","MOJ-CRS-31-May22sw","MOJ-CRS-32",31,"25 to 31",2022-05-15,"Julia, Miriam","MOJ","CRS",0.05,"25",2022-10-22,"Miriam","25.4","filled 3/4 insert",1,"HIDS2220_IsoWater_20221114_200139","CZ17O-sw",NA,0.19836704,0.396734081,8.012310861,NA,0.525468045,1.050936089,-24.53989643,NA,-88.63838331,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","sw103","ESGR-25-Oct22sw","ESGR-25-Oct22",25,NA,2022-10-09,"Matthew and Miriam","ESGR","marker 4",0.3,"9",2022-10-25,"Miriam","11","filled 1 insert",1,"HIDS2220_IsoWater_20221114_200139","CZ17O-sw",NA,0.175240925,0.35048185,-6.983253604,NA,0.387903613,0.775807226,-34.864113,NA,21.00191584,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","sw104","ESGR-10-Mar21sw","ESGR-10-Mar21",10,"10",2021-03-22,"Julia Tyler","ESGR",NA,0.3,"8.58",2022-10-25,"Matthew","9","filled 1 vial",1,"HIDS2220_IsoWater_20221114_200139","CZ17O-sw",NA,0.175419755,0.350839511,-10.22950786,NA,0.456103043,0.912206087,-73.49199543,NA,8.344067425,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","sw105","ESGR-50-Oct22sw","ESGR-50-Oct22",50,NA,2022-10-09,"Matthew and Miriam","ESGR","marker 4",0.3,"9",2022-10-27,"Miriam","11.6","filled 2 inserts",1,"HIDS2220_IsoWater_20221114_200139","CZ17O-sw",NA,0.173613044,0.347226089,-9.385966249,Inf,0.408706898,0.817413797,-60.52018667,NA,14.56754332,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","sw106","MOJ-JT-22-Oct21sw","MOJ-JT-22",22,"15-22",2021-10-16,"Julia, Naomi and Ron","MOJ","JT",0.05,"25",2022-10-28,"Miriam","25.1","filled 1 insert, tube was too short so I wonder if I cut some of the distillation off.",1,"HIDS2220_IsoWater_20221114_200139","CZ17O-sw",NA,0.201644266,0.403288532,8.609032803,NA,0.498155499,0.996310998,-23.67801115,NA,-92.55027357,"soil",2,-148.124895765577,4.95224345411343,9.6597885414375,0.0112281547106677,0.0171347407148169,2.18101161324125,0.00793950433612478,0.0121160913533203,1.5422081015695,8.3,5.86898628384834,9.70659489051551
"8","sw107","MOJ-CRS-15-Oct21sw","MOJ-CRS-15",15,"14-15",2021-10-17,"Julia, Naomi and Ron","MOJ","CRS",0.04,"25",2022-10-31,"Miriam","24.4","filled ~1 insert, the wool moved upward like it was going to explode but didn't, but a little soil ended up getting through",1,"HIDS2220_IsoWater_20221114_200139","CZ17O-sw",NA,0.181479351,0.362958702,7.592760754,NA,0.479741964,0.959483928,-18.79896937,NA,-79.5410554,"soil",2,-56.4859651564482,3.76260648166412,7.23312963412988,0.00945376276007099,0.0133452887408604,2.40745030489814,0.00668481975537505,0.00943654416555484,1.7023244359631,8.3,5.86898628384834,7.2593519011741
"9","sw108","JOR-CSAND-2-24-Mar22sw","JOR-CSAND-2-24",24,NA,2022-03-22,"Julia, Christian Leach, Elizabeth","JOR","CSAND",0.04,"25",2022-11-03,"Miriam","25","filled 2 inserts, parafilm tight was on the vial but the lid was partially unscrewed",2,"HIDS2220_IsoWater_20221114_200139","CZ17O-sw",0.242971944,0.171807109,0.343614218,2.796132775,2.204461668,1.558789794,3.117579588,-38.86404049,4.148237219,-61.2331027,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","sw109","JOR-CSAND-4-19-Sep22sw","JOR-CSAND-4-19",19,"10 to 19",2022-09-09,"Christian Leach","JOR","CSAND",0.05,"25",2022-10-08,"Matthew","28","Mini soil explosion, filtered two inserts",1,"HIDS2220_IsoWater_20221114_200139","CZ17O-sw",NA,0.174133558,0.348267116,-2.514320852,Inf,0.372124487,0.744248974,-49.22439033,NA,-29.10982352,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
