Counter,Sample_Name,Sample,Date,DateTime,IPLnum,d13C.PDB,d13C.err,d18O.rawPDB,d18O.err,d18O.rawSMOW,d45,d45.err,d46,d46.err,d47,d47.err,d48,d48.err,d49,d49.err,D472,D47.err3,D484,D48.err5,D496,D49.err7,Comments,D47@d47=0,D47 CDES,D47 CDES carb corr,T(D47) Petersen,T47_preferred
4255,PK95-SC-187-01,IPL-CI-4610 PK95-SC-187-01,20260109.15,46031.61897,4610,-6.983772022,0.000649741,-0.141879265,0.003399055,30.76373525,3.367716833,0.000468927,-1.271843743,0.003391144,1.872023248,0.007911079,-2.63718507,0.02563241,-26.13211985,1.841547915,-0.357870304,0.005967304,-0.114828947,0.024509064,-27.2069904,1.837301142,,-0.360323959,0.562332428,,37.47415518,37.47415518
4256,PK95-SC-185-01,IPL-CI-4611 PK95-SC-185-01,20260110.14,46032.61576,4611,-8.76476486,0.000521596,-0.581372309,0.003892219,30.31065747,1.671675524,0.00045565,-1.714141575,0.00388346,-0.297063355,0.008400774,-3.458624129,0.025039228,-29.244207,1.914159202,-0.341495407,0.006643631,-0.047375846,0.020475476,-27.71378831,1.919222605,,-0.341106047,0.583192672,,29.62038907,29.62038907
4259,PK95-SC-176-01,IPL-CI-4615 PK95-SC-176-01,20260112.14,46034.5824,4615,-8.984669642,0.001634441,-0.281500433,0.003809973,30.61979839,1.475263829,0.001180727,-1.415359797,0.003800854,-0.236104933,0.006911967,-2.928150109,0.022638845,-27.77083924,1.504357192,-0.377032173,0.006051194,-0.123931911,0.021134229,-26.63901218,1.50257018,,-0.376722711,0.544532264,,44.6821802,44.6821802
4263,PK95-SC-279-01,IPL-CI-4620 PK95-SC-279-01,20260114.15,46036.63204,4620,-7.755735777,0.000449742,-1.820075004,0.00334255,29.03366648,2.580331536,0.000377472,-2.948103138,0.003335335,-0.624311625,0.008391585,-6.087931012,0.021127208,-33.00539567,1.650581732,-0.387572936,0.006605697,-0.212959172,0.016466074,-30.06064011,1.655182495,,-0.386754652,0.533643009,,49.34709162,49.34709162
4264,PK95-SC-165-01,IPL-CI-4621 PK95-SC-165-01,20260114.17,46036.7389,4621,-8.197797633,0.000510048,-0.323590036,0.003413031,30.5764078,2.215801534,0.000360261,-1.455715928,0.00340551,0.517042401,0.009734597,-2.991116196,0.019294681,-27.66925678,1.406121102,-0.345144843,0.006269401,-0.101639145,0.020536875,-27.20046043,1.409320807,,-0.345822529,0.578073126,,31.49260816,31.49260816
4332,PK95-SC-185-02,IPL-CI-4695 PK95-SC-185-02,20260213.16,46066.67097,4695,-8.929803665,0.003841473,-0.216134411,0.004393433,30.68718487,1.52743965,0.00372539,-1.350010661,0.004380226,-0.060028214,0.009666335,-2.842887816,0.025076181,-23.63403552,1.739433349,-0.33452057,0.008064035,-0.180318036,0.019178283,-22.69664934,1.737220644,,-0.334441891,0.590426336,,27.03292327,27.03292327
4333,PK95-SC-27-01,IPL-CI-4696 PK95-SC-27-01,20260214.2,46067.85914,4696,-9.947985942,0.003616985,-1.749587599,0.004280137,29.10633265,0.513066291,0.003531297,-2.882341781,0.004269077,-2.669679103,0.00992098,-5.860964878,0.030829088,-36.42241681,1.87367997,-0.384592724,0.006739106,-0.116358568,0.024078027,-31.55773051,1.878737897,,-0.381093584,0.539787863,,46.68963461,46.68963461
4335,PK95-SC-50-01,IPL-CI-4699 PK95-SC-50-01,20260216.11,46069.48477,4699,-8.508195982,0.002404117,-1.461945088,0.00425631,29.40286619,1.883542734,0.001861265,-2.592299474,0.00424566,-0.966322491,0.00773531,-5.317101124,0.021371998,-31.52408507,1.776085552,-0.363973742,0.005834057,-0.142532711,0.018592273,-28.57262125,1.779801076,,-0.362707186,0.559745534,,38.49130424,38.49130424
4336,PK95-SC-118up-01,IPL-CI-4700 PK95-SC-118up-01,20260216.14,46069.58787,4700,-8.580945804,0.002830649,-1.545948089,0.003806632,29.31626666,1.81211164,0.002231946,-2.67627357,0.003796821,-1.109086615,0.010043395,-5.52006911,0.024944891,-31.1495128,1.700624316,-0.360378733,0.006275386,-0.183466472,0.023149971,-27.97099391,1.704747999,,-0.358925057,0.563850878,,36.8817298,36.8817298
4338,PK95-SC-23-01,IPL-CI-4702 PK95-SC-23-01,20260217.09,46070.40064,4702,-8.285186218,0.00420444,-0.436148219,0.002475126,30.46037044,2.130723078,0.003549336,-1.568194809,0.002468773,0.316362296,0.011650427,-3.190396647,0.028014201,-21.08505919,1.755509147,-0.362145974,0.007328092,-0.09958046,0.024265087,-20.3804395,1.757741844,,-0.362560629,0.559904615,,38.42846597,38.42846597
