Sample Name,T(47) Peterson,T(47) Anderson
PK95-242-02,59.13,30.11
PK95-SC-118up,40.59,38.15
PK95-SC-118up,32.81,37.77
PK95-SC-118up-01,41.24,29.15
PK95-SC-118up-02,40.85,23.14
PK95-SC-165,31.80,32.49
PK95-SC-165,25.51,26.62
PK95-SC-165-01,35.30,45.87
PK95-SC-165-03,29.15,41.15
PK95-SC-176-01,49.38,27.70
PK95-SC-176-02,44.40,24.20
PK95-SC-179,30.28,25.34
PK95-SC-179,26.62,-6.75
PK95-SC-179,27.80,41.84
PK95-SC-179-01,-5.57,29.18
PK95-SC-179-02,45.12,30.72
PK95-SC-179-03,31.83,28.08
PK95-SC-185-01,33.44,33.08
PK95-SC-185-02,30.68,38.30
PK95-SC-185-03,35.92,30.75
PK95-SC-187-01,41.40,39.49
PK95-SC-187-02,33.48,31.55
PK95-SC-23-01,42.66,34.22
PK95-SC-23-02,34.31,7.64
PK95-SC-23-03,37.11,27.56
PK95-SC-242-01,9.35,37.60
PK95-SC-246,30.14,43.96
PK95-SC-246,40.67,45.44
PK95-SC-246-01,47.37,48.95
PK95-SC-246-02,48.93,48.29
PK95-SC-246-03,52.62,39.74
PK95-SC-27-01,51.94,60.05
PK95-SC-27-02,42.92,50.64
PK95-SC-27-03,64.38,54.06
PK95-SC-279-01,54.41,33.10
PK95-SC-279-02,58.03,31.11
PK95-SC-4,35.94,78.38
PK95-SC-4,33.85,75.14
PK95-SC-4-SPAR,83.91,24.02
PK95-SC-4-SPAR,80.44,19.57
PK95-SC-43,26.42,25.56
PK95-SC-43,21.78,30.11
PK95-SC-43,28.04,39.75
PK95-SC-50,32.80,38.11
PK95-SC-50-01,42.93,27.85
PK95-SC-50-02,41.21,16.99
PK95-SC-80-n-1,30.44,27.45
PK95-SC-80-n-1-01,19.09,22.60
PK95-SC-80-n-2-01,30.02,22.26
PK95-SC-80n-2-02,24.94,29.26
PK95-SC-92,24.58,33.62
PK95-SC-92-01,31.92,32.25
PK95-SC-92-02,36.49,25.85
