MLA_horizon_id,IPL17O_mean_dp17Ocarb,IPL17O_sd_dp17Ocarb,IPL17O_se_dp17Ocarb,IPL17O_n_dp17Ocarb,IPL17O_mean_dp18Ocarb,IPL17O_sd_dp18Ocarb,IPL17O_se_dp18Ocarb,IPL17O_n_dp18Ocarb,IPL17O_mean_Dp17Ocarb,IPL17O_sd_Dp17Ocarb,IPL17O_se_Dp17Ocarb,IPL17O_n_Dp17Ocarb,IPL17O_n_analyses,strat_height_m,IPL17O_sd_Dp17Ocarb_adj,IPL17O_se_Dp17Ocarb_adj,IPL17O_ci95_Dp17Ocarb_adj,IPL17O_mean_d17Ocarb,IPL17O_mean_d18Ocarb,IPLD47_n_T47,IPLD47_mean_T47_C,IPLD47_sd_T47_C,IPLD47_se_T47_C,IPLD47_min_T47_C,IPLD47_max_T47_C,IPLD47_range_T47_C,IPLD47_sessions,IPLD47_sample_type,CU_sample_id,CU_mean_d13Ccarb_vpdb,CU_mean_d18Ocarb_vpdb,CU_se_d18Ocarb_vpdb,CU_mean_d18Ocarb_vsmow,CU_mean_D47_ICDES,CU_se_D47_ICDES,CU_mean_T47_C,CU_2se_T47_C,CU_mean_d18Ow_vsmow,CU_se_d18Ow_vsmow,Snell_sample_id,Snell_Age_Ma,Snell_sample_type,Snell_mean_d18Ow_vsmow,Snell_mean_d18Ocarb_vsmow,Snell_mean_d13Ccarb_vpdb,Snell_mean_D47,Snell_se_D47,Snell_mean_T47_C,Snell_se_T47_C,Snell_sample_group,Koch_mean_d13Ccarb_vpdb,Koch_se_d13Ccarb_vpdb,Koch_n_d13Ccarb,Koch_mean_d18Ocarb_vpdb,Koch_se_d18Ocarb_vpdb,Koch_n_d18Ocarb_vpdb,Koch_mean_d18Ocarb_vsmow,Koch_se_d18Ocarb_vsmow,Koch_n_d18Ocarb_vsmow,Bowen_mean_d13Ccarb_vpdb,Bowen_se_d13Ccarb_vpdb,Bowen_n_d13Ccarb,Bowen_mean_d18Ocarb_vpdb,Bowen_se_d18Ocarb_vpdb,Bowen_n_d18Ocarb_vpdb,Bowen_mean_d18Ocarb_vsmow,Bowen_se_d18Ocarb_vsmow,Bowen_n_d18Ocarb_vsmow,Age_Ma,T_model_C,T_model_se_C,T_model_lower95_C,T_model_upper95_C,T_measured_C,T_measured_se_C,n_T_obs,T_sources,T_model_anchor_C,has_measured_T47,IPL_NuDog_d18Ocarb_VSMOW,is_snell,d18Ocarb_vsmow,d18Ocarb_se_vsmow,d18Ocarb_source,d18Ocarb_missing_flag,T_recon_C,T_recon_se_C,T_recon_source,d18Ocarb_se_used_vsmow,d18Ow_mean_vsmow,d18Ow_median_vsmow,d18Ow_sd_vsmow,d18Ow_lower95_vsmow,d18Ow_upper95_vsmow,D17Ocarb_se_used_permeg,d17Ocarb_se_used,d18Ocarb_se_used
PK95-SC-118up,10.555286376,0.7903163409948522,0.5588380439999998,2,20.191149895,1.506587411327554,1.0653181749999998,2,-90.50807056,5.161815297366057,3.649954599999994,2,2,1325,12,8.48528137423857,16.631151493507595,10.611189930782585,20.39637004517081,4,36.75,3.1890437438203967,1.5945218719101983,32.9,40.7,7.800000000000004,"Session 1, Session 2",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.75,0.17785762095938798,3,-9.546666666666669,0.26295331229030844,3,21.066666666666663,0.2716820036570537,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.29375,36.76372476232812,2.975175064877136,30.93238163516893,42.595067889487304,36.75,1.5945218719101983,1,IPL,36.766666666666666,TRUE,NA,FALSE,21.066666666666663,0.2716820036570537,Koch,NA,36.75,1.5945218719101983,IPL measured T47,0.2716820036570537,-4.902790771901044,-4.901065981728493,0.39874001058867264,-5.6918223332938656,-4.129953639970032,8.48528137423857,0.5588380439999998,1.0653181749999998
PK95-SC-176,11.658003405,0.1843506220959436,0.13035557500000028,2,22.268926615,0.3487580116063685,0.2466091549999998,2,-84.85714516,0.2063948527761361,0.14594320000000494,2,2,1355,12,8.48528137423857,16.631151493507595,11.7262227694781,22.518729999528865,2,42.35,3.3234018715767757,2.3500000000000014,40,44.7,4.700000000000003,Session 1,primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.67,NA,1,-8.29,NA,1,22.36,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.25625,38.41059412686329,2.975175064877136,32.5792509997041,44.241937254022474,42.35,2.3500000000000014,1,IPL,38.41111111111111,TRUE,NA,FALSE,22.36,NA,Koch,NA,42.35,2.3500000000000014,IPL measured T47,0.15,-2.6143471530673463,-2.6086320944794466,0.452312359120831,-3.4938625862582087,-1.7464819396546942,8.48528137423857,0.13035557500000028,0.2466091549999998
PK95-SC-22,11.89921638,NA,NA,1,22.75672166,NA,NA,1,-116.3326585,NA,NA,1,1,1460,12,12,23.52,11.970293696911716,23.017631240326295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.685,0.125,2,-7.6,0.1599999999999997,2,23.075,0.16499999999999912,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.039633333333335,37.588006060608805,1.682327993172425,34.29064319399085,40.88536892722676,NA,NA,0,NA,NA,FALSE,NA,FALSE,23.075,0.16499999999999912,Koch,NA,37.588006060608805,1.682327993172425,modeled/interpolated T,0.16499999999999912,-2.7814456539173893,-2.782010229615707,0.34723147947041816,-3.454828289512079,-2.1011464872477377,12,0.15,0.15
PB-00-03-08,8.653469209,1.2221351724981036,0.8641800679999999,2,16.596611165,2.322040544208595,1.6419306149999986,2,-109.54148445,3.9022348864620096,2.7592967500000043,2,2,1494.4,12,8.48528137423857,16.631151493507595,8.691018706665554,16.735100003757218,2,24.6,0.989949493661168,0.700000000000001,23.9,25.3,1.400000000000002,Session 2,primary,PB-00-03-08,-9.112717832,-7.684135508,0.070237933,22.99827102209264,0.619039024,0.009275489,16.8,4.6,-7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.8,0.05773502691896288,4,-9.1,0.12247448713915884,4,21.538628,0.12626139828150193,4,55.9529,27.875866713786813,4.466370810552152,19.121779925104597,36.62995350246903,23.938754325259513,0.6696717163002017,2,"CU, IPL",31.368473663975394,TRUE,NA,FALSE,21.538628,0.12626139828150193,Bowen,NA,24.6,0.700000000000001,IPL measured T47,0.12626139828150193,-6.798516699766514,-6.798515661900183,0.1862704224873113,-7.162366626423423,-6.434282948787427,8.48528137423857,0.8641800679999999,1.6419306149999986
PK95-SC-23,11.25648407,NA,NA,1,21.49733125,NA,NA,1,-94.10682535,NA,NA,1,1,1495,12,12,23.52,11.32007667252144,21.73006359163621,3,34.03333333333333,4.015387071420802,2.318284806585343,30.5,38.4,7.899999999999999,Session 1,primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.006666666666668,0.02027587510099413,6,-8.698333333333334,0.06630317572417721,6,21.943333333333335,0.0693140998963734,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.9511,27.48693800432366,4.635351279189256,18.40164949711272,36.5722265115346,34.03333333333333,2.318284806585343,1,IPL,27.10736255286428,TRUE,NA,FALSE,21.943333333333335,0.0693140998963734,Koch,NA,34.03333333333333,2.318284806585343,IPL measured T47,0.0693140998963734,-4.5615881019528555,-4.557509284845878,0.4433456875977552,-5.435909503127107,-3.705747033653398,12,0.15,0.15
PB-00-03-14,11.704975739999998,0.06839792982729223,0.04836463999999996,2,22.40176183,0.12867814652734264,0.09098919000000016,2,-93.071422265,0.4558668415809753,0.3223465350000012,2,2,1504.9,12,8.48528137423857,16.631151493507595,11.773747028696269,22.654565516540217,NA,NA,NA,NA,NA,NA,NA,NA,NA,PB-00-03-14,-12.85556148,-8.368606213,0.104848633,22.29263648289404,0.574361129,0.005036208,31.8,3.8,-4.7,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.875,0.06291528696058978,4,-8.525,0.17969882210706525,4,22.131407,0.185255109686616,4,55.92432835820895,31.600616991988417,1.88242447231941,27.91106502624237,35.29016895773446,31.799999999999997,1.9,1,CU,31.03901110412738,TRUE,NA,FALSE,22.131407,0.185255109686616,Bowen,NA,31.600616991988417,1.88242447231941,modeled/interpolated T,0.185255109686616,-4.847823619932587,-4.845150850177845,0.404226949909292,-5.649792503679453,-4.073459283662763,8.48528137423857,0.04836463999999996,0.09098919000000016
PB-00-03-16,10.992328719,1.6861699148172216,1.1923021810000003,2,20.988190685,3.1679278216524853,2.240063245,2,-89.435965165,13.504024892784706,9.548787575000006,2,2,1507.4,13.504024892784706,9.548787575000006,18.71562364700001,11.052966343559234,21.20999177584548,3,32.3,2.487971060924945,1.4364307617610157,29.6,34.5,4.899999999999999,Session 2,primary,PB-00-03-16,-14.65522362,-7.830779304,0.118200551,22.84709299992032,0.567372939,0.003250028,34.4,3.6,-3.6,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.275,0.10307764064044166,4,-8.225,0.12499999999999996,4,22.440683,0.12886500000000023,4,55.917191082802546,33.79760809331772,1.88242447231941,30.108056127571675,37.48716005906376,33.11703331238215,1.12274916252965,2,"CU, IPL",33.83901110412738,TRUE,NA,FALSE,22.440683,0.12886500000000023,Bowen,NA,32.3,1.4364307617610157,IPL measured T47,0.12886500000000023,-4.409822826146493,-4.404518605624503,0.3025550663652186,-5.0092972929646695,-3.828077762384294,9.548787575000006,1.1923021810000003,2.240063245
PB-00-01-07,12.20572394,0.7039379104309306,0.4977592699999995,2,23.314617445,1.3251327662671626,0.9370103649999988,2,-104.3940687,4.2678042132986596,3.017793300000001,2,2,1508.7,12,8.48528137423857,16.631151493507595,12.280517783010314,23.58852770033293,NA,NA,NA,NA,NA,NA,NA,NA,NA,PB-00-01-07,-14.63455875,-7.784336778,0.067027511,22.894971528824243,0.570113875,0.004544077,33.4,3.8,-3.8,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.375,0.1493039405597408,4,-8,0.05773502691896237,4,22.67264,0.059520193951297,4,55.91371337579618,34.80656780903758,1.88242447231941,31.117015843291536,38.49611977478362,33.4,1.9,1,CU,35.1,TRUE,NA,FALSE,22.67264,0.059520193951297,Bowen,NA,34.80656780903758,1.88242447231941,modeled/interpolated T,0.059520193951297,-3.6995613792720095,-3.7002083637740952,0.35988713157938584,-4.400576487200757,-3.0005884616108864,8.48528137423857,0.4977592699999995,0.9370103649999988
PB-00-01-09D,11.8416866,NA,NA,1,22.64160231,NA,NA,1,-82.99633334,NA,NA,1,1,1511.7,12,12,23.52,11.91207694316332,22.89986889407181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.6,0.09128709291752768,4,-8.4,0.08164965809277268,4,22.260272,0.08417426552100128,4,55.90568789808917,36.33203977980716,2.080064101576359,32.255114140717495,40.40896541889683,NA,NA,0,NA,NA,FALSE,NA,FALSE,22.260272,0.08417426552100128,Bowen,NA,36.33203977980716,2.080064101576359,modeled/interpolated T,0.08417426552100128,-3.8186335018512216,-3.8185295111742903,0.4019860054516799,-4.619493074512079,-3.0276108794212857,12,0.15,0.15
PK95-SC-27,11.68252691,0.4987957963126243,0.3527018900000005,2,22.31365392,0.9330112898831764,0.6597386100000016,2,-99.082359335,6.165831358149262,4.359901165000003,2,2,1525,12,8.48528137423857,16.631151493507595,11.751034146790571,22.564465529439698,6,43.333333333333336,8.116813824812459,3.313675367993136,36.4,58.3,21.9,"Session 1, Session 2",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.87067441860465,36.58806270231631,2.7123448923053304,31.27186671339786,41.90425869123475,43.333333333333336,3.313675367993136,1,IPL,37.51111111111111,TRUE,NA,FALSE,22.31365392,0.6597386100000016,IPL17O,NA,43.333333333333336,3.313675367993136,IPL measured T47,0.6597386100000016,-2.471940342358321,-2.467229476098737,0.8807653733490308,-4.230298460714772,-0.7444607936478861,8.48528137423857,0.3527018900000005,0.6597386100000016
PB-00-02-07D,10.084465614,0.14760993498726427,0.10437598599999998,2,19.29869349,0.241222831598047,0.17057029999999962,2,-105.244547475,20.244281777328165,14.314868924999995,2,2,1526.3,20.244281777328165,14.314868924999995,28.057143092999993,10.135485194874285,19.486117010077297,NA,NA,NA,NA,NA,NA,NA,NA,NA,PB-00-02-07D,-14.0358954,-7.531194091,0.032992648,23.15594138770628,0.572796876,0.006240161,32.4,4.4,-3.7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.375,0.04787135538781673,4,-8.725,0.0478713553878172,4,21.925223,0.04935153769640829,4,55.8675,34.79543772174799,2.5206113309039697,29.85503951317621,39.735835930319766,32.4,2.2,1,CU,34.31111111111111,TRUE,NA,FALSE,21.925223,0.04935153769640829,Bowen,NA,34.79543772174799,2.5206113309039697,modeled/interpolated T,0.04935153769640829,-4.437049785575318,-4.432103563915064,0.48191966247621176,-5.3880499918974145,-3.514944158264092,14.314868924999995,0.10437598599999998,0.17057029999999962
PB-00-02-09L,10.61573557,NA,NA,1,20.33319601,NA,NA,1,-120.1919232,NA,NA,1,1,1530.5,12,12,23.52,10.67228240913809,20.54132368010242,NA,NA,NA,NA,NA,NA,NA,NA,NA,PB-00-02-09L,-12.84085808,-7.8678138,0.072516375,22.808913397304003,0.58734529,0.004809248,27.2,3.6,-5.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.32,0.2154065922853801,5,-9.3,0.3987480407475376,5,21.332444,0.4110773301674516,5,55.85724418604651,28.611595952083448,2.5206113309039697,23.67119774351167,33.55199416065523,27.200000000000003,1.8,1,CU,28.233333333333334,TRUE,NA,FALSE,21.332444,0.4110773301674516,Bowen,NA,28.611595952083448,2.5206113309039697,modeled/interpolated T,0.4110773301674516,-6.194895857437822,-6.189532691775696,0.6364615558442641,-7.4545716224656164,-4.970541914100092,12,0.15,0.15
PB-00-02-19,9.680259201,0.2932345503066224,0.2073481390000005,2,18.514274895,0.5739271292505634,0.4058277650000015,2,-95.27794226,9.798973683116223,6.9289207400000015,2,2,1545.1,12,8.48528137423857,16.631151493507595,9.727264462036755,18.68672671184712,NA,NA,NA,NA,NA,NA,NA,NA,NA,PB-00-02-19,-9.363531532,-8.39028023,0.02982413,22.2702923052884,0.59349061,0.009264559,25.1,5,-6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.1,0.14719601443879762,4,-9.05,0.1755942292142125,4,21.590174,0.18102360278151608,4,55.82063414634146,28.022784130646535,2.1164431016014738,23.87455565150765,32.17101260978542,25.1,2.5,1,CU,28,TRUE,NA,FALSE,21.590174,0.18102360278151608,Bowen,NA,28.022784130646535,2.1164431016014738,modeled/interpolated T,0.18102360278151608,-6.061449004650254,-6.062405877677804,0.4514887715520148,-6.9395101222018045,-5.18369253976806,8.48528137423857,0.2073481390000005,0.4058277650000015
PB-00-04-11,11.428147735,0.04420057314052838,0.03125452499999959,2,21.85241024,0.08108738527975291,0.05733743999999951,2,-109.92487225,1.3864301348587529,0.9803541500000036,2,2,1568.2,12,8.48528137423857,16.631151493507595,11.493698485223192,22.092922888713005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.025,0.08539125638299636,4,-8.325,0.249582985531199,4,22.337591,0.2573000914438241,4,55.75929166666667,31.44904367720604,1.3742641400218152,28.75548596276328,34.142601391648796,NA,NA,0,NA,NA,FALSE,NA,FALSE,22.337591,0.2573000914438241,Bowen,NA,31.44904367720604,1.3742641400218152,modeled/interpolated T,0.2573000914438241,-4.669820224481706,-4.6681119292306335,0.36530124905635847,-5.383549262287877,-3.96354282093611,8.48528137423857,0.03125452499999959,0.05733743999999951
