MLA_horizon_id,strat_height_m,Age_Ma_GTS2020
PK95-SC-246,520,NA
PK95-SC-242,590,NA
PK95-SC-279,680,NA
PK95-SC-187,700,NA
PK95-SC-198,760,NA
PK95-SC-165,820,NA
PK95-SC-85,860,NA
PK95-SC-185,940,NA
PK95-SC-191,1015,NA
PK95-SC-179,1080,NA
PK95-SC-92,1210,NA
PK95-SC-93,1250,NA
SNELL-SC-188,1280,NA
PK95-SC-188,1280,NA
SNELL-SC-62,1305,NA
PK95-SC-118up,1325,NA
PK95-SC-176,1355,NA
PK95-SC-49,1380,NA
PK95-SC-116,1380,NA
PK95-SC-62,1380,NA
PK95-SC-56,1385,NA
PK95-SC-50,1425,NA
PK95-SC-22,1460,NA
PB-00-03-02,1480.8,NA
PB-00-03-03,1481.3,NA
PB-00-03-04,1482,NA
PB-00-03-05,1482.7,NA
PB-00-03-06,1483.4,NA
PB-00-03-07,1486,NA
PB-00-03-08,1494.4,NA
PK95-SC-23,1495,NA
PK95-SC-80-n1,1495,NA
PK95-SC-80-n2,1495,NA
PK95-SC-80,1495,NA
PB-00-03-10,1495.4,NA
PB-00-03-11,1498.5,NA
PB-00-03-12,1499.7,NA
PB-00-03-13,1500.3,NA
PB-00-01-01,1500.9,NA
PB-00-01-02,1502.2,NA
PK95-SC-67,1503.2,NA
PK95-SC-67-1,1503.2,NA
PK95-SC-24-LW,1504,NA
PB-00-03-14,1504.9,NA
PB-00-01-03,1504.9,NA
PK95-SC-24-UP,1505,NA
PB-00-01-04,1506.5,NA
PB-00-03-15,1506.8,NA
PB-00-01-05,1507.3,NA
PB-00-03-16,1507.4,NA
PB-00-03-17,1507.8,NA
PB-00-01-06,1508,NA
PB-00-03-18,1508.5,NA
PB-00-01-07,1508.7,NA
PB-00-01-07.5,1510,NA
PB-00-03-19,1510.1,NA
PB-00-01-08,1510.3,NA
PK95-SC-67-2,1511.1,NA
PB-00-01-09D,1511.7,NA
PB-00-01-09C,1512.1,NA
PB-00-03-20,1512.3,NA
PB-00-01-09B,1512.4,NA
PB-00-01-09A,1512.8,NA
PB-00-01-10D,1513.2,NA
PB-00-01-10C,1513.6,NA
PB-00-03-21,1513.9,NA
PB-00-01-10B,1514.1,NA
PB-00-01-10A,1514.3,NA
PB-00-01-11,1515.4,NA
PB-00-03-22,1516.1,NA
PB-00-01-12,1516.4,NA
PB-00-03-23,1517.7,NA
PB-00-01-13,1517.8,NA
PB-00-01-14B,1519.3,NA
PB-00-02-01,1519.3,NA
PB-00-03-24,1519.3,NA
PB-00-01-14A,1519.7,NA
SNELL-SC-351-n1,1520,NA
PK95-SC-67-3,1520,NA
PB-00-02-02,1520.5,NA
PB-00-01-15B,1521.2,NA
PK95-SC-349-1,1521.3,NA
PB-00-01-15A,1521.9,NA
PB-00-02-03,1522.9,NA
PB-00-02-04,1523.8,NA
PK95-SC-351-?,1524,NA
PK95-SC-68,1524,NA
PB-00-02-05,1524.2,NA
PK95-SC-27,1525,NA
PK95-SC-351-1,1525,NA
PK95-SC-351-2,1525,NA
PB-00-02-06,1525.3,NA
PB-00-02-07D,1526.3,NA
PK95-SC-67-5,1527,NA
PB-00-02-07C,1527,NA
PB-00-02-07B,1528,NA
PB-00-02-07A,1528.5,NA
PK95-SC-351-3,1528.7,NA
PB-00-02-08,1529.1,NA
PK95-SC-6,1530,NA
PB-00-02-09L,1530.5,NA
PK95-SC-349-2,1531,NA
PB-00-02-09U,1531,NA
PB-00-02-10,1531.6,NA
PB-00-02-11,1532.2,NA
PK95-SC-351-4,1532.3,NA
PB-00-02-12B,1533,NA
PB-00-02-12A,1533.5,NA
PK95-SC-349-3,1534,NA
PK95-SC-351-5,1534,NA
PK95-SC-67-6,1534,NA
PB-00-02-13,1534.8,NA
PB-00-02-14,1537,NA
PK95-SC-351-6,1537.8,NA
PB-00-02-15,1538.7,NA
PB-00-04-01,1541,NA
PB-00-02-17,1543,NA
PB-00-02-18,1543.9,NA
PB-00-02-19,1545.1,NA
PB-00-02-20,1547.2,NA
PB-00-04-03,1548.4,NA
PK95-SC-67-8,1548.9,NA
PB-00-02-21,1549,NA
PB-00-04-04,1549.5,NA
PB-00-04-05,1553.7,NA
PB-00-02-22,1554.2,NA
PB-00-04-06,1554.3,NA
PB-00-04-08,1558.6,NA
PB-00-02-23,1559.4,NA
PB-00-04-09,1559.5,NA
PK95-SC-67-9,1559.6,NA
PB-00-04-10,1562.4,NA
PB-00-04-11,1568.2,NA
PB-00-04-12,1568.6,NA
PK95-SC-4,1570,NA
PB-00-04-13,1572.8,NA
PB-00-04-14,1574.7,NA
PB-00-04-15,1584.7,NA
PB-00-04-16,1594.2,NA
PK95-SC-43,1600,NA
SNELL-SC-15,1630,NA
PK95-SC-15,1630,NA
PK95-SC-161,1665,NA
PK95-SC-54,1700,NA
PK95-SC-160,1720,NA
PK95-SC-318,1725,NA
PK95-SC-133,1750,NA
PK95-SC-31,1760,NA
PK95-SC-224,1815,NA
SNELL-SC-33,1840,NA
PK95-SC-33,1840,NA
PK95-SC-35,1870,NA
PK95-SC-63,1910,NA
PK95-SC-3,1935,NA
SNELL-SC-64,1970,NA
PK95-SC-64,1970,NA
PK95-SC-111,2005,NA
PK95-SC-112,2020,NA
PK95-SC-148lwr,2047,NA
PK95-SC-148up,2050,NA
PK95-SC-303,2110,NA
PK95-SC-295,2210,NA
SNELL-SC-295,2240,NA
