region,sample_id,dataset,study_status,Age_Ma,stage_group,paleolatitude_deg_n,temperature_C,temperature_se_C,passed_BHB_screen,display_paleolatitude_deg_n
Bighorn Basin,PK95-SC-246,U-M CFB Delta47,This study,58.75347949526814,Thanetian,48,38.861749549394446,2.1126525679063968,TRUE,48.0026962819742
Bighorn Basin,PK95-SC-187,U-M CFB Delta47,This study,58.01360567823344,Thanetian,48,35.208298250022864,8.63939927995304,TRUE,48.303969518910165
Bighorn Basin,PK95-SC-165,U-M CFB Delta47,This study,57.575067039106145,Thanetian,48,27.808091341669183,1.2383373781235163,TRUE,47.99925040763337
Bighorn Basin,PK95-SC-185,U-M CFB Delta47,This study,57.28076536312849,Thanetian,48,27.35974799348268,2.105188877329795,TRUE,48.43415517255198
Bighorn Basin,PK95-SC-179,U-M CFB Delta47,This study,56.937413407821225,Thanetian,48,31.48245957566337,2.672892296893606,TRUE,47.442786084441465
Bighorn Basin,SNELL-PB-00-02-32,Caltech CFB Delta47,Published data,56.83931284916201,Thanetian,48,36,3.8,TRUE,47.96967156601604
Bighorn Basin,SNELL-PB-00-02-32-2,Caltech CFB Delta47,Published data,56.83931284916201,Thanetian,48,39.7,3.2,TRUE,47.54982293732464
Bighorn Basin,PK95-SC-92,U-M CFB Delta47,This study,56.61858659217877,Thanetian,48,27.49504772685278,1.4895988291597029,TRUE,48.47073903230485
Bighorn Basin,SNELL-SC-188,Caltech CFB Delta47,Published data,56.44691061452514,Thanetian,48,31.4,6.1,TRUE,48.20450292786118
Bighorn Basin,SNELL-SC-62,Caltech CFB Delta47,Published data,56.38559776536313,Thanetian,48,31.2,4.3,TRUE,47.736152682965624
Bighorn Basin,PK95-SC-118up,U-M CFB Delta47,This study,56.33654748603352,Thanetian,48,35.97504151196699,1.6559871493799625,TRUE,47.63945639333688
Bighorn Basin,PK95-SC-176,U-M CFB Delta47,This study,56.26297206703911,Thanetian,48,39.42707902288216,2.5586652932149594,TRUE,48.23991138918791
Bighorn Basin,PK95-SC-50,U-M CFB Delta47,This study,56.09129608938547,Thanetian,48,31.78470434115952,2.297637917542472,TRUE,47.80514277359471
Tornillo Basin,BB12-013,Kelson et al. Tornillo micrite,Published data,58.4,Thanetian,33,31,4,,32.78522689859383
Tornillo Basin,BB10-001,Kelson et al. Tornillo micrite,Published data,57.6,Thanetian,33,25,5,,32.74591847234406
Tornillo Basin,BB10-011,Kelson et al. Tornillo micrite,Published data,56.9,Thanetian,33,24,4,,32.78004157680552
Tornillo Basin,BB10-019,Kelson et al. Tornillo micrite,Published data,56.4,Thanetian,33,30,6,,32.81169522181153
Bighorn Basin,PB-00-03-08,U-M CFB Delta47,This study,55.92109162011173,Ypresian,48,24.856725950918445,0.6818843779101654,TRUE,47.55228228576016
Bighorn Basin,PB-00-03-08,CU CFB Delta47,Published data,55.92109162011173,Ypresian,48,16.8,2.3,TRUE,47.39238812669646
Bighorn Basin,PK95-SC-23,U-M CFB Delta47,This study,55.919620111731845,Ypresian,48,33.06152864174106,1.8445484943336143,TRUE,48.15026682573371
Bighorn Basin,PK95-SC-80-n1,U-M CFB Delta47,This study,55.919620111731845,Ypresian,48,22.861636357408543,8.086131874883847,TRUE,48.375951320654714
Bighorn Basin,PK95-SC-80-n2,U-M CFB Delta47,This study,55.919620111731845,Ypresian,48,20.685293905592346,3.568936222536933,TRUE,47.716020021704026
Bighorn Basin,PB-00-03-10,U-M CFB Delta47,This study,55.91863910614525,Ypresian,48,24.99658610126673,2.5862487147511217,TRUE,47.352357808128
Bighorn Basin,PB-00-03-10,CU CFB Delta47,Published data,55.91863910614525,Ypresian,48,29.6,1.7,TRUE,48.48722239597701
Bighorn Basin,PB-00-03-11,CU CFB Delta47,Published data,55.91103631284916,Ypresian,48,27.7,2.1,TRUE,47.58344397947658
Bighorn Basin,PB-00-03-13,CU CFB Delta47,Published data,55.9066217877095,Ypresian,48,28.2,1.8,TRUE,47.767384270904586
Bighorn Basin,PB-00-03-14,CU CFB Delta47,Published data,55.89534022346368,Ypresian,48,31.8,1.9,TRUE,47.63014657630119
Bighorn Basin,PB-00-03-16,U-M CFB Delta47,This study,55.88920893854748,Ypresian,48,32.47231744925707,1.3967623121465207,TRUE,48.45617298861034
Bighorn Basin,PB-00-03-16,CU CFB Delta47,Published data,55.88920893854748,Ypresian,48,34.4,1.8,TRUE,48.31966866243165
Bighorn Basin,PB-00-03-17,CU CFB Delta47,Published data,55.888227932960895,Ypresian,48,36.6,2.4,TRUE,48.41965168218594
Bighorn Basin,PB-00-01-07,CU CFB Delta47,Published data,55.88602067039106,Ypresian,48,33.4,1.9,TRUE,48.225984507240355
Bighorn Basin,PB-00-03-20,CU CFB Delta47,Published data,55.87719162011173,Ypresian,48,35.3,1.9,TRUE,47.666996719851156
Bighorn Basin,PB-00-02-02,Caltech CFB Delta47,Published data,55.85708100558659,Ypresian,48,36.8,2.5,TRUE,48.222649023868144
