constraint_id,metric,study,year,doi,evidence_class,environment,scenario,uncertainty_basis,n_draws,mean_c,sd_c,median_c,lower50_c,upper50_c,lower80_c,upper80_c,lower95_c,upper95_c
clamp_mart,MART,Wolfe 1995 summarized by Burgener et al. 2026,1995,10.1130/B38825.1,leaf proxy,wetter forest setting,CLAMP,Published 16 plus or minus 2 C; uncertainty metric not specified here,20000,15.97991571310053,2.0052339340561725,15.995103508041968,14.615344556412017,17.3203804662764,13.392968702018416,18.559986552964794,12.061684483376066,19.928277024797254
hyland_carbonate_mart,MART,Hyland et al. 2018 summarized by Burgener et al. 2026,2018,10.5194/cp-14-1391-2018,carbonate proxy,dry soil-forming setting,pedogenic carbonate,Published 26 plus or minus 4 C; treated as 1 SD only for this sensitivity ensemble,20000,26.00333476271455,3.9854980165061358,26.012969005139574,23.2966081774742,28.68389322102037,20.88008119888292,31.129033087726487,18.28226496151132,33.95189467940567
hyland_hico_cmmt,CMMT,Hyland et al. 2018,2018,10.5194/cp-14-1391-2018,GCM,dry continental interior,HiCO 2240 ppm,2 C structural model spread assumed for sensitivity,20000,6.0061475594260125,2.00084842515946,6.0111736834090035,4.659486658522967,7.374128065667129,3.450998929917515,8.558735968318086,2.1015712493738317,9.913214124474173
hyland_hico_maat,MAAT,Hyland et al. 2018,2018,10.5194/cp-14-1391-2018,GCM,dry continental interior,HiCO 2240 ppm,2 C structural model spread assumed for sensitivity,20000,15.91909412861723,1.9961312480793119,15.898896175468156,14.57806706954333,17.269602115609512,13.355052481640513,18.479988287994143,12.014283015760915,19.861334373288184
hyland_hico_mart,MART,Hyland et al. 2018,2018,10.5194/cp-14-1391-2018,GCM,dry continental interior,HiCO 2240 ppm,4 C structural model spread assumed for sensitivity,20000,23.948146686587688,4.006132571192565,23.919928908731823,21.233569378183905,26.672860174615472,18.85514616173786,29.129893384252874,16.12874320823558,31.816393267475394
hyland_hico_wmmt,WMMT,Hyland et al. 2018,2018,10.5194/cp-14-1391-2018,GCM,dry continental interior,HiCO 2240 ppm,3 C structural model spread assumed for sensitivity,20000,29.975418673670877,3.0015721110352276,29.997288035928396,27.933686579493255,32.0150799498218,26.12765789030166,33.84376220570361,24.158388284919344,35.84458782007604
kiehl_control_cmmt,CMMT,Kiehl et al. 2018,2018,10.1098/rsta.2017.0085,GCM,Bighorn grid cell,PETM control,2 C structural model spread assumed for sensitivity,20000,5.891947316522444,1.9959553313657812,5.9032285158657665,4.5465691120268055,7.222445609878797,3.3445701776177374,8.440433159979177,1.9566752179761733,9.814396849490842
kiehl_control_maat,MAAT,Kiehl et al. 2018,2018,10.1098/rsta.2017.0085,GCM,Bighorn grid cell,PETM control,2 C structural model spread assumed for sensitivity,20000,20.80360789726487,2.020586298469612,20.787477653526615,19.44453879576771,22.179966116868673,18.21623621487245,23.392870983110367,16.840497617754757,24.727317126403314
kiehl_control_mart,MART,Kiehl et al. 2018,2018,10.1098/rsta.2017.0085,GCM,Bighorn grid cell,PETM control,4 C structural model spread assumed for sensitivity,20000,35.000875786334916,4.0132577368062545,34.99206794615148,32.255107213945095,37.7165555977757,29.84191412300055,40.17098945631466,27.173180096186552,42.909402314965114
kiehl_control_wmmt,WMMT,Kiehl et al. 2018,2018,10.1098/rsta.2017.0085,GCM,Bighorn grid cell,PETM control,3 C structural model spread assumed for sensitivity,20000,40.88055042705218,2.9977180141841417,40.855579908133095,38.829278741054,42.88682451940008,37.08826243857855,44.69996404287699,35.03327929003531,46.857299222725324
kiehl_max_cmmt,CMMT,Kiehl et al. 2018,2018,10.1098/rsta.2017.0085,GCM,Bighorn grid cell,orbital maximum,Structural spread only; deliberately extreme end member,20000,4.974393231880325,1.9957608962963809,4.951337064529639,3.626721097118682,6.31726010495763,2.455246864078637,7.5134773455591635,1.0437501931451476,8.907205500563638
kiehl_max_maat,MAAT,Kiehl et al. 2018,2018,10.1098/rsta.2017.0085,GCM,Bighorn grid cell,orbital maximum,Structural spread only; deliberately extreme end member,20000,24.39656803311921,1.9898153805543983,24.40260537770294,23.061040712019846,25.733190951917898,21.820026414116672,26.92555177617384,20.518622133876406,28.30764038020103
kiehl_max_mart,MART,Kiehl et al. 2018,2018,10.1098/rsta.2017.0085,GCM,Bighorn grid cell,orbital maximum,Structural spread only; deliberately extreme end member,20000,47.93139860013677,3.985398643063459,47.92532915718937,45.231630915968665,50.60292562662641,42.8149984625566,53.04441411044493,40.13686593910687,55.73271314272261
