constraint_id,study,year,doi,region,age_context,evidence_class,environment,scenario,metric,estimate_c,lower_c,upper_c,distribution,sd_c,primary_weight,include_primary,uncertainty_basis,notes
snell_kiehl_obs_maat,Snell et al. 2013 summarized by Kiehl et al. 2018,2018,10.1098/rsta.2017.0085,Bighorn Basin,early Eocene,proxy synthesis,terrestrial interior,published observational estimate,MAAT,20,NA,NA,normal,3,1,TRUE,No published uncertainty in Kiehl Table 3; 3 C structural SD is an explicit sensitivity assumption,Direct BHB evidence
snell_kiehl_obs_cmmt,Snell et al. 2013 summarized by Kiehl et al. 2018,2018,10.1098/rsta.2017.0085,Bighorn Basin,early Eocene,proxy synthesis,terrestrial interior,published observational estimate,CMMT,5,NA,NA,normal,4,1,TRUE,No published uncertainty in Kiehl Table 3; 4 C structural SD is an explicit sensitivity assumption,Direct BHB evidence
snell_kiehl_obs_wmmt,Snell et al. 2013 summarized by Kiehl et al. 2018,2018,10.1098/rsta.2017.0085,Bighorn Basin,early Eocene,proxy synthesis,terrestrial interior,published observational estimate,WMMT,34,NA,NA,normal,4,1,TRUE,No published uncertainty in Kiehl Table 3; 4 C structural SD is an explicit sensitivity assumption,Direct BHB evidence
snell_kiehl_obs_mart,Snell et al. 2013 summarized by Kiehl et al. 2018,2018,10.1098/rsta.2017.0085,Bighorn Basin,early Eocene,proxy synthesis,terrestrial interior,published observational estimate,MART,29,NA,NA,normal,5,1,TRUE,No published uncertainty in Kiehl Table 3; 5 C structural SD is an explicit sensitivity assumption,Table value equals WMMT minus CMMT
kiehl_control_maat,Kiehl et al. 2018,2018,10.1098/rsta.2017.0085,Bighorn Basin,PETM,GCM,Bighorn grid cell,PETM control,MAAT,20.8,NA,NA,normal,2,0.6,TRUE,2 C structural model spread assumed for sensitivity,Equilibrium model experiment
kiehl_control_cmmt,Kiehl et al. 2018,2018,10.1098/rsta.2017.0085,Bighorn Basin,PETM,GCM,Bighorn grid cell,PETM control,CMMT,5.9,NA,NA,normal,2,0.6,TRUE,2 C structural model spread assumed for sensitivity,Equilibrium model experiment
kiehl_control_wmmt,Kiehl et al. 2018,2018,10.1098/rsta.2017.0085,Bighorn Basin,PETM,GCM,Bighorn grid cell,PETM control,WMMT,40.9,NA,NA,normal,3,0.6,TRUE,3 C structural model spread assumed for sensitivity,Equilibrium model experiment
kiehl_control_mart,Kiehl et al. 2018,2018,10.1098/rsta.2017.0085,Bighorn Basin,PETM,GCM,Bighorn grid cell,PETM control,MART,35,NA,NA,normal,4,0.6,TRUE,4 C structural model spread assumed for sensitivity,Equilibrium model experiment
kiehl_min_maat,Kiehl et al. 2018,2018,10.1098/rsta.2017.0085,Bighorn Basin,PETM,GCM,Bighorn grid cell,orbital minimum,MAAT,19.4,NA,NA,normal,2,0.4,TRUE,2 C structural model spread assumed for sensitivity,Orbital-minimum end member
kiehl_min_cmmt,Kiehl et al. 2018,2018,10.1098/rsta.2017.0085,Bighorn Basin,PETM,GCM,Bighorn grid cell,orbital minimum,CMMT,8.5,NA,NA,normal,2,0.4,TRUE,2 C structural model spread assumed for sensitivity,Orbital-minimum end member
kiehl_min_wmmt,Kiehl et al. 2018,2018,10.1098/rsta.2017.0085,Bighorn Basin,PETM,GCM,Bighorn grid cell,orbital minimum,WMMT,31.8,NA,NA,normal,3,0.4,TRUE,3 C structural model spread assumed for sensitivity,Orbital-minimum end member
kiehl_min_mart,Kiehl et al. 2018,2018,10.1098/rsta.2017.0085,Bighorn Basin,PETM,GCM,Bighorn grid cell,orbital minimum,MART,23.3,NA,NA,normal,4,0.4,TRUE,4 C structural model spread assumed for sensitivity,Orbital-minimum end member
kiehl_max_maat,Kiehl et al. 2018,2018,10.1098/rsta.2017.0085,Bighorn Basin,PETM,GCM,Bighorn grid cell,orbital maximum,MAAT,24.4,NA,NA,normal,2,0,FALSE,Structural spread only; deliberately extreme end member,Retained as upper-bound sensitivity
kiehl_max_cmmt,Kiehl et al. 2018,2018,10.1098/rsta.2017.0085,Bighorn Basin,PETM,GCM,Bighorn grid cell,orbital maximum,CMMT,5,NA,NA,normal,2,0,FALSE,Structural spread only; deliberately extreme end member,Retained as upper-bound sensitivity
kiehl_max_wmmt,Kiehl et al. 2018,2018,10.1098/rsta.2017.0085,Bighorn Basin,PETM,GCM,Bighorn grid cell,orbital maximum,WMMT,53,NA,NA,normal,3,0,FALSE,Structural spread only; deliberately extreme end member,Retained as upper-bound sensitivity
kiehl_max_mart,Kiehl et al. 2018,2018,10.1098/rsta.2017.0085,Bighorn Basin,PETM,GCM,Bighorn grid cell,orbital maximum,MART,48,NA,NA,normal,4,0,FALSE,Structural spread only; deliberately extreme end member,Retained as upper-bound sensitivity
hyland_carbonate_mart,Hyland et al. 2018 summarized by Burgener et al. 2026,2018,10.5194/cp-14-1391-2018,Green River Basin,early Eocene,carbonate proxy,dry soil-forming setting,pedogenic carbonate,MART,26,22,30,normal,4,0.8,TRUE,Published 26 plus or minus 4 C; treated as 1 SD only for this sensitivity ensemble,Regional dry-interior analog
clamp_mart,Wolfe 1995 summarized by Burgener et al. 2026,1995,10.1130/B38825.1,Green River Basin,early Eocene,leaf proxy,wetter forest setting,CLAMP,MART,16,14,18,normal,2,0,FALSE,Published 16 plus or minus 2 C; uncertainty metric not specified here,Wetter-environment comparison
modified_clamp_mart,Greenwood and Wing 1995 summarized by Burgener et al. 2026,1995,10.1130/B38825.1,Green River Basin,early Eocene,leaf proxy,wetter forest setting,modified CLAMP,MART,19,17,21,normal,2,0,FALSE,Published 19 plus or minus 2 C; uncertainty metric not specified here,Wetter-environment comparison
sewall_maat,Sewall and Sloan 2006,2006,NA,Bighorn Basin,early Eocene,GCM,regional basin,regional model,MAAT,9,8,10,uniform,NA,0,FALSE,Published model range,Historical cool-biased model benchmark
sewall_cmmt,Sewall and Sloan 2006,2006,NA,Bighorn Basin,early Eocene,GCM,regional basin,regional model,CMMT,-2,-4,0,uniform,NA,0,FALSE,Published model range,Historical cool-biased model benchmark
sewall_wmmt,Sewall and Sloan 2006,2006,NA,Bighorn Basin,early Eocene,GCM,regional basin,regional model,WMMT,19,17,21,uniform,NA,0,FALSE,Derived from MAT and MART midpoint,Historical model benchmark
sewall_mart,Sewall and Sloan 2006,2006,NA,Bighorn Basin,early Eocene,GCM,regional basin,regional model,MART,20,18,22,uniform,NA,0,FALSE,Published model range,Historical model benchmark
hyland_hico_maat,Hyland et al. 2018,2018,10.5194/cp-14-1391-2018,Green River Basin,early Eocene,GCM,dry continental interior,HiCO 2240 ppm,MAAT,15.9167,NA,NA,normal,2,0.4,TRUE,2 C structural model spread assumed for sensitivity,Regional analog
hyland_hico_cmmt,Hyland et al. 2018,2018,10.5194/cp-14-1391-2018,Green River Basin,early Eocene,GCM,dry continental interior,HiCO 2240 ppm,CMMT,6,NA,NA,normal,2,0.4,TRUE,2 C structural model spread assumed for sensitivity,Regional analog
hyland_hico_wmmt,Hyland et al. 2018,2018,10.5194/cp-14-1391-2018,Green River Basin,early Eocene,GCM,dry continental interior,HiCO 2240 ppm,WMMT,30,NA,NA,normal,3,0.4,TRUE,3 C structural model spread assumed for sensitivity,Regional analog
hyland_hico_mart,Hyland et al. 2018,2018,10.5194/cp-14-1391-2018,Green River Basin,early Eocene,GCM,dry continental interior,HiCO 2240 ppm,MART,24,NA,NA,normal,4,0.4,TRUE,4 C structural model spread assumed for sensitivity,Regional analog
