lag_kyr,pearson_r,spearman_rho
-100,-0.0020626363885109036,-0.0014393692646958922
-99,-0.0023568617831825405,-0.0018511329178373963
-98,-0.0025830270744319757,-0.002166109361875749
-97,-0.0027239059779179346,-0.002354315228057965
-96,-0.002771153660450976,-0.0023929824976417595
-95,-0.0027268975192691956,-0.002291896082794781
-94,-0.0026024397214312717,-0.0020752640457413845
-93,-0.0024172632990509093,-0.0017681219568113115
-92,-0.0021968290714880936,-0.0014099116868432826
-91,-0.0019691474829264407,-0.0010381436719280154
-90,-0.001761569983529398,-6.870431420689308e-4
-89,-0.0015983101001819822,-4.00521765871194e-4
-88,-0.0014965577267049845,-2.0326990724154568e-4
-87,-0.001465771799498824,-1.0592765132555744e-4
-86,-0.0015071416849757073,-1.1171299934544009e-4
-85,-0.001613220803375008,-2.1815714383098737e-4
-84,-0.0017692875861407692,-3.9826014577899543e-4
-83,-0.001956404477279021,-6.319982188581012e-4
-82,-0.0021520723640653405,-8.93567978424394e-4
-81,-0.002334046974354928,-0.0011578838589281933
-80,-0.002482170778910303,-0.001390868183529056
-79,-0.0025809995689436037,-0.001569816923804264
-78,-0.002621308178636875,-0.001668984899989397
-77,-0.002601338126166796,-0.0016915301624619652
-76,-0.0025260045638738327,-0.0016467480978914295
-75,-0.002407398148189744,-0.001551510441370028
-74,-0.0022625449260759533,-0.0014299893217018776
-73,-0.002111416035787675,-0.0012966100352921651
-72,-0.0019746512672722924,-0.001171142354641302
-71,-0.0018709383647712995,-0.001074181304926565
-70,-0.001814122727169934,-0.0010073124079282266
-69,-0.0018125343452514307,-9.92816262050784e-4
-68,-0.0018673127375264814,-0.0010413411330758716
-67,-0.0019724694382439604,-0.0011391115410512237
-66,-0.0021163533096390293,-0.0012626121661589108
-65,-0.0022820367553220396,-0.0013893894852672094
-64,-0.002449320787861242,-0.0014929868010878735
-63,-0.00259749038931422,-0.0015554377517972737
-62,-0.0027076802629153267,-0.0015575684699420595
-61,-0.0027639783526268807,-0.001492894214604146
-60,-0.0027570815901915963,-0.0013515435020560068
-59,-0.00268426262277067,-0.0011512852686892273
-58,-0.0025505259649194418,-9.073493595428694e-4
-57,-0.0023687247233733257,-6.473969667439938e-4
-56,-0.002158183693522869,-3.8712316108054323e-4
-55,-0.0019422584442502025,-1.638400908635119e-4
-54,-0.0017469597190504977,-6.359500426404446e-6
-53,-0.0015971785672366302,5.686564391600656e-5
-52,-0.0015139330325251844,9.372444442542703e-6
-51,-0.0015120416096036256,-1.5871881411904078e-4
-50,-0.0015977408893033552,-4.4884264564988596e-4
-49,-0.0017676990437723666,-8.315485234167585e-4
-48,-0.0020102442430671532,-0.001270003378255592
-47,-0.0023045103554790946,-0.0017161900743175892
