MLA_horizon_id,strat_height_m,T_model_C,T_model_se_C,T_model_lower95_C,T_model_upper95_C,T_measured_C,T_measured_se_C,n_T_obs,T_sources,T_model_anchor_C,has_measured_T47
PK95-SC-246,520,48.819683568498334,2.3831509254206567,44.14870775467385,53.49065938232282,41.34,2.9364263995543967,1,IPL,48.81999999999999,TRUE
PK95-SC-242,590,48.806400740911585,2.3831509254206567,44.1354249270871,53.47737655473607,56.29999999999999,2.5,1,IPL,48.805,TRUE
PK95-SC-279,680,49.78416346945105,4.011744909914166,41.921143446019286,57.64718349288282,48.775,1.471606265276144,1,IPL,49.791666666666664,TRUE
PK95-SC-187,700,40.61197319899449,4.011744909914166,32.748953175562725,48.47499322242626,44.300000000000004,6.314005596027507,1,IPL,40.605000000000004,TRUE
PK95-SC-198,760,30.038097214290655,3.8234753678935727,22.544085493219253,37.53210893536206,NA,NA,0,NA,NA,FALSE
PK95-SC-165,820,34.190397440156424,3.8199350391994504,26.7033247633255,41.677470116987344,28.74,1.3507775538555566,1,IPL,34.19111111111111,TRUE
PK95-SC-85,860,34.41198712480485,3.8199350391994504,26.92491444797393,41.89905980163577,NA,NA,0,NA,NA,FALSE
PK95-SC-185,940,29.764653883766783,1.8592511435561403,26.12052164239675,33.40878612513682,29.53333333333334,1.4437605218471812,1,IPL,29.764444444444447,TRUE
PK95-SC-191,1015,28.744794292808475,1.8592511435561403,25.10066205143844,32.38892653417851,NA,NA,0,NA,NA,FALSE
PK95-SC-179,1080,29.717706614089536,2.1220412953708654,25.55850567516264,33.87690755301643,31.02,2.5419284018240953,1,IPL,29.71777777777778,TRUE
PK95-SC-92,1210,30.341589474828293,4.496788977827524,21.527883078286344,39.15529587137024,28.6,2.227853974867594,1,IPL,30.34,TRUE
SNELL-SC-188,1220,30.397777881173504,4.496788977827524,21.584071484631558,39.21148427771545,31.399999999999995,6.1,1,Snell,30.4,TRUE
PK95-SC-93,1250,29.53585047939742,4.496788977827524,20.722144082855472,38.34955687593937,NA,NA,0,NA,NA,FALSE
PK95-SC-188,1280,29.64130369277128,4.406151003616044,21.005247725683837,38.277359659858725,NA,NA,0,NA,NA,FALSE
SNELL-SC-62,1305,33.12231683531285,3.1633315770982127,26.922186944200355,39.32244672642535,31.2,4.3,1,Snell,33.11666666666667,TRUE
PK95-SC-118up,1325,38.093635502356676,3.1633315770982127,31.89350561124418,44.29376539346917,36.75,1.5945218719101983,1,IPL,38.1,TRUE
PK95-SC-176,1355,39.745159279827334,3.1633315770982127,33.54502938871484,45.94528917093983,46.35,2.997915942784253,1,IPL,39.74444444444445,TRUE
PK95-SC-49,1380,37.87068183077248,2.175452273113017,33.606795375470966,42.134568286074,NA,NA,0,NA,NA,FALSE
PK95-SC-116,1380,37.87068183077248,2.175452273113017,33.606795375470966,42.134568286074,NA,NA,0,NA,NA,FALSE
PK95-SC-62,1380,37.87068183077248,2.175452273113017,33.606795375470966,42.134568286074,NA,NA,0,NA,NA,FALSE
PK95-SC-56,1385,37.406099960282475,2.175452273113017,33.14221350498096,41.66998641558399,NA,NA,0,NA,NA,FALSE
PK95-SC-50,1425,35.476749768724474,2.0086262291584793,31.539842359573854,39.413657177875095,36.13333333333333,1.6333333333333333,1,IPL,35.47402921953095,TRUE
PK95-SC-22,1460,37.116846255986076,1.682327993172425,33.81948338936812,40.41420912260403,NA,NA,0,NA,NA,FALSE
PB-00-03-02,1480.8,33.924366882501936,4.466370810552152,25.17028009381972,42.67845367118415,NA,NA,0,NA,NA,FALSE
PB-00-03-03,1481.3,33.76636450918206,4.466370810552152,25.012277720499846,42.52045129786428,NA,NA,0,NA,NA,FALSE
PB-00-03-04,1482,33.537425959188056,4.466370810552152,24.78333917050584,42.29151274787027,NA,NA,0,NA,NA,FALSE
PB-00-03-05,1482.7,33.299329374604234,4.466370810552152,24.54524258592202,42.05341616328645,NA,NA,0,NA,NA,FALSE
PB-00-03-06,1483.4,33.051927089304016,4.466370810552152,24.2978403006218,41.80601387798623,NA,NA,0,NA,NA,FALSE
PB-00-03-07,1486,32.04906941884208,4.466370810552152,23.294982630159865,40.803156207524296,NA,NA,0,NA,NA,FALSE
PB-00-03-08,1494.4,27.827583523979847,4.466370810552152,19.07349673529763,36.58167031266206,23.938754325259513,0.6696717163002017,2,"CU, IPL",31.368473663975394,TRUE
PK95-SC-23,1495,27.49067595936963,4.635351279189256,18.40538745215869,36.57596446658057,34.03333333333333,2.318284806585343,1,IPL,27.10736255286428,TRUE
PK95-SC-80-n1,1495,27.49067595936963,4.635351279189256,18.40538745215869,36.57596446658057,23.35,7.349999999999998,1,IPL,26.91111111111111,TRUE
PK95-SC-80-n2,1495,27.49067595936963,4.635351279189256,18.40538745215869,36.57596446658057,23.35,2.25,1,IPL,25.121054354944334,TRUE
PK95-SC-80,1495,27.49067595936963,4.635351279189256,18.40538745215869,36.57596446658057,NA,NA,0,NA,NA,FALSE
PB-00-03-10,1495.4,27.332304079293742,4.5264593374668465,18.46044377785872,36.20416438072876,28.663163064833004,1.438595828152576,2,"CU, IPL",26.571054354944334,TRUE
PB-00-03-11,1498.5,27.884991335708914,1.7999590696066763,24.35707155927983,31.412911112137998,27.7,2.1,1,CU,28.187721021611,TRUE
PB-00-03-12,1499.7,28.50325757123219,1.7999590696066763,24.975337794803103,32.03117734766128,NA,NA,0,NA,NA,FALSE
PB-00-03-13,1500.3,28.825476729073895,1.937352144896052,25.028266525077633,32.622686933070156,28.199999999999996,1.8,1,CU,29.23333333333333,TRUE
PB-00-01-01,1500.9,29.144405007791264,1.937352144896052,25.347194803795002,32.94161521178753,NA,NA,0,NA,NA,FALSE
PB-00-01-02,1502.2,29.84703469403521,1.937352144896052,26.049824490038947,33.644244898031474,NA,NA,0,NA,NA,FALSE
PK95-SC-67,1503.2,30.434386187096464,1.644239001479715,27.211677744196223,33.657094629996706,NA,NA,0,NA,NA,FALSE
PK95-SC-67-1,1503.2,30.434386187096464,1.644239001479715,27.211677744196223,33.657094629996706,NA,NA,0,NA,NA,FALSE
PK95-SC-24-LW,1504,30.957736186586256,1.644239001479715,27.735027743686015,34.180444629486495,NA,NA,0,NA,NA,FALSE
PB-00-03-14,1504.9,31.625641739203004,1.8824244723194101,27.93608977345696,35.315193704949046,31.799999999999997,1.9,1,CU,31.03901110412738,TRUE
PB-00-01-03,1504.9,31.625641739203004,1.8824244723194101,27.93608977345696,35.315193704949046,NA,NA,0,NA,NA,FALSE
PK95-SC-24-UP,1505,31.705978266770106,1.8824244723194101,28.01642630102406,35.39553023251615,NA,NA,0,NA,NA,FALSE
PB-00-01-04,1506.5,33.007869902596624,1.8824244723194101,29.31831793685058,36.697421868342666,NA,NA,0,NA,NA,FALSE
PB-00-03-15,1506.8,33.27469412808407,1.8824244723194101,29.585142162338027,36.96424609383011,NA,NA,0,NA,NA,FALSE
PB-00-01-05,1507.3,33.710417212143184,1.8824244723194101,30.02086524639714,37.399969177889226,NA,NA,0,NA,NA,FALSE
PB-00-03-16,1507.4,33.79540665944491,1.8824244723194101,30.105854693698863,37.48495862519095,33.11703331238215,1.12274916252965,2,"CU, IPL",33.83901110412738,TRUE
PB-00-03-17,1507.8,34.125300226019775,1.8824244723194101,30.43574826027373,37.814852191765816,36.6,2.4,1,CU,34.37234443746072,TRUE
PB-00-01-06,1508,34.28315998322504,1.8824244723194101,30.593608017478996,37.97271194897108,NA,NA,0,NA,NA,FALSE
PB-00-03-18,1508.5,34.654475121602076,1.8824244723194101,30.96492315585603,38.34402708734812,NA,NA,0,NA,NA,FALSE
PB-00-01-07,1508.7,34.79304998072647,1.8824244723194101,31.103498014980428,38.48260194647251,33.4,1.9,1,CU,35.1,TRUE
PB-00-01-07.5,1510,35.55952206117694,2.080064101576359,31.482596422087276,39.63644770026661,NA,NA,0,NA,NA,FALSE
PB-00-03-19,1510.1,35.610095667354855,2.080064101576359,31.53317002826519,39.68702130644452,NA,NA,0,NA,NA,FALSE
PB-00-01-08,1510.3,35.70820336083245,2.080064101576359,31.631277721742784,39.785128999922115,NA,NA,0,NA,NA,FALSE
PK95-SC-67-2,1511.1,36.065189113868186,2.080064101576359,31.98826347477852,40.14211475295785,NA,NA,0,NA,NA,FALSE
PB-00-01-09D,1511.7,36.30347260018562,2.080064101576359,32.226546961095956,40.38039823927529,NA,NA,0,NA,NA,FALSE
PB-00-01-09C,1512.1,36.45245958888851,2.080064101576359,32.37553394979884,40.529385227978175,NA,NA,0,NA,NA,FALSE
PB-00-03-20,1512.3,36.52482406581512,2.080064101576359,32.44789842672545,40.60174970490478,35.3,1.9,1,CU,36.36666666666667,TRUE
PB-00-01-09B,1512.4,36.560589839532085,2.080064101576359,32.48366420044242,40.63751547862175,NA,NA,0,NA,NA,FALSE
PB-00-01-09A,1512.8,36.70106358609926,2.080064101576359,32.624137947009594,40.777989225188925,NA,NA,0,NA,NA,FALSE
PB-00-01-10D,1513.2,36.83747845389095,2.080064101576359,32.76055281480129,40.91440409298062,NA,NA,0,NA,NA,FALSE
PB-00-01-10C,1513.6,36.96994654758006,2.080064101576359,32.89302090849039,41.046872186669724,NA,NA,0,NA,NA,FALSE
PB-00-03-21,1513.9,37.06677498530954,4.007492981902776,29.212088740780104,44.92146122983898,NA,NA,0,NA,NA,FALSE
PB-00-01-10B,1514.1,37.13015229807264,4.007492981902776,29.275466053543198,44.98483854260208,NA,NA,0,NA,NA,FALSE
PB-00-01-10A,1514.3,37.19260597618869,4.007492981902776,29.337919731659248,45.04729222071813,NA,NA,0,NA,NA,FALSE
PB-00-01-11,1515.4,37.520217446208164,4.115823125451335,29.453204120323548,45.58723077209278,NA,NA,0,NA,NA,FALSE
PB-00-03-22,1516.1,37.715437678997574,4.115823125451335,29.648424353112958,45.78245100488219,NA,NA,0,NA,NA,FALSE
PB-00-01-12,1516.4,37.7961303210684,4.115823125451335,29.72911699518378,45.86314364695301,NA,NA,0,NA,NA,FALSE
PB-00-03-23,1517.7,38.12658108168585,4.115823125451335,30.059567755801233,46.193594407570465,NA,NA,0,NA,NA,FALSE
PB-00-01-13,1517.8,38.15077637668741,4.115823125451335,30.083763050802794,46.21778970257203,NA,NA,0,NA,NA,FALSE
PB-00-01-14B,1519.3,38.494754939881474,4.309834242962722,30.04747982367454,46.94203005608841,NA,NA,0,NA,NA,FALSE
PB-00-02-01,1519.3,38.494754939881474,4.309834242962722,30.04747982367454,46.94203005608841,NA,NA,0,NA,NA,FALSE
PB-00-03-24,1519.3,38.494754939881474,4.309834242962722,30.04747982367454,46.94203005608841,NA,NA,0,NA,NA,FALSE
PB-00-01-14A,1519.7,38.580925198151284,4.309834242962722,30.13365008194435,47.028200314358216,NA,NA,0,NA,NA,FALSE
SNELL-SC-351-n1,1520,38.64415218186442,4.309834242962722,30.196877065657485,47.09142729807135,40.4,6.4,1,Snell,37.5,TRUE
PK95-SC-67-3,1520,38.64415218186442,4.309834242962722,30.196877065657485,47.09142729807135,NA,NA,0,NA,NA,FALSE
PB-00-02-02,1520.5,38.74204864180194,4.309834242962722,30.294773525595,47.18932375800887,36.8,2.5,1,Snell,39.904761904761905,TRUE
PB-00-01-15B,1521.2,38.831387263905214,4.309834242962722,30.38411214769828,47.27866238011215,NA,NA,0,NA,NA,FALSE
PK95-SC-349-1,1521.3,38.83903253804493,4.309834242962722,30.391757421837998,47.28630765425187,NA,NA,0,NA,NA,FALSE
PB-00-01-15A,1521.9,38.858594690269875,4.309834242962722,30.41131957406294,47.30586980647681,NA,NA,0,NA,NA,FALSE
PB-00-02-03,1522.9,38.793547241618114,4.309834242962722,30.34627212541118,47.24082235782505,NA,NA,0,NA,NA,FALSE
PB-00-02-04,1523.8,38.634688045683134,2.5563002957035503,33.624339466104175,43.645036625262094,NA,NA,0,NA,NA,FALSE
PK95-SC-351-?,1524,38.58691726049461,2.5563002957035503,33.57656868091565,43.59726584007357,NA,NA,0,NA,NA,FALSE
PK95-SC-68,1524,38.58691726049461,2.5563002957035503,33.57656868091565,43.59726584007357,NA,NA,0,NA,NA,FALSE
PB-00-02-05,1524.2,38.53471086636614,2.5563002957035503,33.52436228678718,43.5450594459451,NA,NA,0,NA,NA,FALSE
PK95-SC-27,1525,38.28243823674797,2.5563002957035503,33.27208965716901,43.29278681632693,42.51428571428571,2.9178782711830484,1,IPL,37.238095238095234,TRUE
PK95-SC-351-1,1525,38.28243823674797,2.5563002957035503,33.27208965716901,43.29278681632693,NA,NA,0,NA,NA,FALSE
PK95-SC-351-2,1525,38.28243823674797,2.5563002957035503,33.27208965716901,43.29278681632693,NA,NA,0,NA,NA,FALSE
PB-00-02-06,1525.3,38.169341673263055,2.429636393609976,33.4072543417875,42.93142900473861,NA,NA,0,NA,NA,FALSE
PB-00-02-07D,1526.3,37.65054522093273,2.429636393609976,32.88845788945717,42.41263255240828,32.4,2.2,1,CU,39.1047619047619,TRUE
