dataset,temperature_record,proxy_type,section_id,Age_Ma,age_younger_ma,age_older_ma,temperature_C,temperature_se_C
U-M CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,58.75347949526814,58.75347949526814,58.75347949526814,41.32931889345995,2.94180411978437
U-M CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,58.09581388012619,58.09581388012619,58.09581388012619,46.30804064049258,2.826324635914087
U-M CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,58.01360567823344,58.01360567823344,58.01360567823344,41.410660980063675,4.716278301523275
U-M CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,57.575067039106145,57.575067039106145,57.575067039106145,28.733761911784764,1.3477555299259931
U-M CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,57.28076536312849,57.28076536312849,57.28076536312849,29.533333333333335,1.4437605218471812
U-M CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,56.937413407821225,56.937413407821225,56.937413407821225,31.00791846539783,2.542759980621864
Caltech CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,56.83931284916201,56.83931284916201,56.83931284916201,36,3.8
Caltech CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,56.83931284916201,56.83931284916201,56.83931284916201,39.7,3.2
U-M CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,56.61858659217877,56.61858659217877,56.61858659217877,28.587499501452392,2.2382451698648707
Caltech CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,56.44691061452514,56.44691061452514,56.44691061452514,31.4,6.1
Caltech CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,56.38559776536313,56.38559776536313,56.38559776536313,31.2,4.3
U-M CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,56.33654748603352,56.33654748603352,56.33654748603352,36.760128072734794,1.5838831595200955
U-M CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,56.26297206703911,56.26297206703911,56.26297206703911,43.7420526823288,2.1964863029504302
U-M CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,56.09129608938547,56.09129608938547,56.09129608938547,36.130456750462,1.6360927068793003
U-M CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,55.92109162011173,55.92109162011173,55.92109162011173,18.42089859750293,6.189395260886792
CU CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,55.92109162011173,55.92109162011173,55.92109162011173,16.8,2.3
U-M CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,55.919620111731845,55.919620111731845,55.919620111731845,34.03333333333333,2.318284806585343
U-M CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,55.919620111731845,55.919620111731845,55.919620111731845,23.33737383398102,7.337373833981021
U-M CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,55.919620111731845,55.919620111731845,55.919620111731845,23.35,2.25
U-M CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,55.91863910614525,55.91863910614525,55.91863910614525,26.286242522067965,2.68344121316457
CU CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,55.91863910614525,55.91863910614525,55.91863910614525,29.6,1.7
CU CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,55.91103631284916,55.91103631284916,55.91103631284916,27.7,2.1
CU CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,55.9066217877095,55.9066217877095,55.9066217877095,28.2,1.8
CU CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,55.89534022346368,55.89534022346368,55.89534022346368,31.8,1.9
U-M CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,55.88920893854748,55.88920893854748,55.88920893854748,32.311274444728134,1.435527623585664
CU CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,55.88920893854748,55.88920893854748,55.88920893854748,34.4,1.8
CU CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,55.888227932960895,55.888227932960895,55.888227932960895,36.6,2.4
CU CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,55.88602067039106,55.88602067039106,55.88602067039106,33.4,1.9
CU CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,55.87719162011173,55.87719162011173,55.87719162011173,35.3,1.9
Caltech CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,55.85708100558659,55.85708100558659,55.85708100558659,36.8,2.5
Caltech CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,55.84849720670391,55.84849720670391,55.84849720670391,40.4,6.4
