site,event,sample_label,depth_mbsf,depth_composite_mcd,Age_Ma,d13C_benthic_vpdb,d18O_benthic_vpdb,d18O_corrected_vpdb,bottom_water_temperature_C,source_record,dataset_doi,article_doi
ODP Site 1262,208-1262A,"208-1262A-10H-2,76-78",87.77,103.8807,52.35504,-0.1,-0.84,-0.831,14.08,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,79-81",87.8,103.9103,52.35953,-0.23,-0.91,-0.91,14.44,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,82-84",87.83,103.94,52.3643,-0.1,-0.84,-0.831,14.08,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,85-87",87.86,103.97,52.36884,-0.2,-0.99,-1,14.85,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,88-90",87.89,104,52.37338,-0.22,-0.99,-1,14.85,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,91-93",87.92,104.03,52.37791,0.01,-0.85,-0.843,14.13,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,94-96",87.95,104.06,52.38245,-0.07,-0.87,-0.865,14.24,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,97-99",87.98,104.09,52.38698,0.11,-0.87,-0.865,14.24,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,100-102",88.01,104.12,52.39152,0.23,-0.57,-0.528,12.71,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,103-105",88.04,104.15,52.39606,0.08,-0.78,-0.764,13.78,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,106-108",88.07,104.18,52.400589999999994,0.25,-0.66,-0.629,13.16,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,109-111",88.1,104.21,52.40513,0.3,-0.53,-0.483,12.5,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,112-114",88.13,104.24,52.40966,0.29,-0.52,-0.472,12.45,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,115-117",88.16,104.27,52.414199999999994,0.26,-0.67,-0.64,13.21,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,118-120",88.19,104.3,52.41874,0.2,-0.62,-0.584,12.96,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,121-123",88.22,104.33,52.423269999999995,0.07,-0.72,-0.697,13.47,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,124-126",88.25,104.36,52.42781,-0.1,-0.84,-0.831,14.08,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,127-129",88.28,104.39,52.43235,0.12,-0.6,-0.562,12.86,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,130-132",88.31,104.42,52.436879999999995,0.08,-0.7,-0.674,13.37,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,133-135",88.34,104.45,52.44142,-0.13,-0.83,-0.82,14.03,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,136-138",88.37,104.48,52.445949999999996,-0.11,-0.77,-0.753,13.72,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,139-141",88.4,104.51,52.450489999999995,-0.21,-0.91,-0.91,14.44,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,142-144",88.43,104.54,52.45503,-0.37,-0.99,-1,14.85,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,145-147",88.46,104.57,52.459559999999996,-0.3,-1.03,-1.045,15.06,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,148-150",88.49,104.6,52.46401,-0.36,-1.14,-1.169,15.63,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,1-2",88.515,104.625,52.46767,0.01,-0.72,-0.697,13.47,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,4-5",88.545,104.655,52.47207,-0.16,-1.03,-1.045,15.06,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
