correction_session,workbook_sheet,workbook_row,matlab_order,Type_1,Type_2,User,ben_status,Sample_Name,analysis_id,analysis_datetime_excel,acid_temperature_C,d13Ccarb_VPDB,d18Ocarb_VPDB,D47_CDES,D48_CDES,D47_iCDES_carb_corr,T47_Petersen_workbook_C,IPLnum,analysis_datetime,d18Ocarb_VSMOW,T47_Anderson2021_C,correction_source,MLA_sample_id,MLA_horizon_id,strat_height_m,normalized_sample_name,material_type,passes_analytical_screen,passes_fabric_screen,passes_primary_temperature_screen,primary_screen_reason
22A,S22A Results,125,4256,Sample,Matthew's BHB Carbs,wmn,include,PK95-SC-185-01,IPL-CI-4611 PK95-SC-185-01,46032.6157638889,90,-9.04841077435623,-8.57624614775231,0.584976402336843,0.323629393414872,0.592454407757217,27.8462990926357,4611,2026-01-10T14:46:42Z,22.06866208382067,25.474997080140668,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction,PK95-SC-185,PK95-SC-185,940,PK95-SC-185,host_matrix,TRUE,TRUE,TRUE,Accepted host-matrix analysis
22A,S22A Results,130,4264,Sample,Matthew's BHB Carbs,wmn,include,PK95-SC-165-01,IPL-CI-4621 PK95-SC-165-01,46036.738900463,90,-8.48144354728931,-8.32054238296761,0.580213945308183,0.263879343353803,0.587584739432635,29.5950424775968,4621,2026-01-14T17:44:01Z,22.332269651974862,27.147270361439496,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction,PK95-SC-165,PK95-SC-165,820,PK95-SC-165,host_matrix,TRUE,TRUE,TRUE,Accepted host-matrix analysis
22A,S22A Results,196,4332,Sample,Matthew's BHB Carbs,mam,include,PK95-SC-185-02,IPL-CI-4695 PK95-SC-185-02,46066.6709722222,90,-9.21344957892094,-8.21395317745627,0.59486611611851,0.182003525334878,0.593729954496272,27.3932245818342,4695,2026-02-13T16:06:11Z,22.44215352982856,25.04156427668488,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction,PK95-SC-185,PK95-SC-185,940,PK95-SC-185,host_matrix,TRUE,TRUE,TRUE,Accepted host-matrix analysis
22A,S22A Results,197,4333,Sample,Matthew's BHB Carbs,wmn,include,PK95-SC-27-01,IPL-CI-4696 PK95-SC-27-01,46067.8591435185,90,-10.2316318562446,-9.7350420707293,0.544608289964541,0.246966025708863,0.542289999714628,47.4698578343149,4696,2026-02-14T20:37:09Z,20.87404777886446,44.179374675714655,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction,PK95-SC-27,PK95-SC-27,1525,PK95-SC-27,host_matrix,TRUE,TRUE,TRUE,Accepted host-matrix analysis
22A,S22A Results,199,4335,Sample,Matthew's BHB Carbs,wmn,include,PK95-SC-50-01,IPL-CI-4699 PK95-SC-50-01,46069.4847685185,90,-8.79184189592213,-9.44971883272994,0.56452030276389,0.21977952452768101,0.562138916370847,39.2562006814555,4699,2026-02-16T11:38:03Z,21.168190358150376,36.36690580847221,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction,PK95-SC-50,PK95-SC-50,1425,PK95-SC-50,host_matrix,TRUE,TRUE,TRUE,Accepted host-matrix analysis
22A,S22A Results,200,4336,Sample,Matthew's BHB Carbs,wmn,include,PK95-SC-118up-01,IPL-CI-4700 PK95-SC-118up-01,46069.5878703704,90,-8.86459171742385,-9.53304451443527,0.568626439267613,0.17600196138357,0.566103551504011,37.6899624391828,4700,2026-02-16T14:06:32Z,21.082289079623536,34.87445657705905,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction,PK95-SC-118up,PK95-SC-118up,1325,PK95-SC-118up,host_matrix,TRUE,TRUE,TRUE,Accepted host-matrix analysis
22A,S22A Results,202,4338,Sample,Matthew's BHB Carbs,euf,include,PK95-SC-23-01,IPL-CI-4702 PK95-SC-23-01,46070.4006365741,90,-8.56883213146655,-8.43219300469893,0.564815985892043,0.268039300940431,0.561772695405271,39.4020745392492,4702,2026-02-17T09:36:55Z,22.217167909525827,36.50586329939961,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction,PK95-SC-23,PK95-SC-23,1495,PK95-SC-23,host_matrix,TRUE,TRUE,TRUE,Accepted host-matrix analysis
22A,S22A Results,203,4339,Sample,Matthew's BHB Carbs,euf,include,PK95-SC-246-01,IPL-CI-4703 PK95-SC-246-01,46070.5224768519,90,-7.1718121687779,-9.33317679067288,0.553779267188916,0.171156393325819,0.550288787923203,44.0826507381548,4703,2026-02-17T12:32:22Z,21.28833471472742,40.96052314853881,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction,PK95-SC-246,PK95-SC-246,520,PK95-SC-246,host_matrix,TRUE,TRUE,TRUE,Accepted host-matrix analysis
22A,S22A Results,205,4341,Sample,Matthew's BHB Carbs,wmn,include,PK95-SC-80-n-2-01,IPL-CI-4705 PK95-SC-80-n-2-01,46070.7305439815,90,-15.7402795931358,-7.74972761559654,0.599052301558148,0.248050323550834,0.596061277659655,26.570398280685,4705,2026-02-17T17:31:59Z,22.920728303805372,24.25423012812928,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction,PK95-SC-80-n2,PK95-SC-80-n2,1495,PK95-SC-80-n-2,host_matrix,TRUE,TRUE,TRUE,Accepted host-matrix analysis
22A,S22A Results,206,4342,Sample,Matthew's BHB Carbs,wmn,include,PK95-SC-179-02,IPL-CI-4706 PK95-SC-179-02,46071.3810532407,90,-7.7870195068632,-8.20176060514579,0.558826195924734,0.238763639640806,0.554776818350928,42.2285208876536,4706,2026-02-18T09:08:42Z,22.454722974549156,39.19681520572311,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction,PK95-SC-179,PK95-SC-179,1080,PK95-SC-179,host_matrix,TRUE,TRUE,TRUE,Accepted host-matrix analysis
22A,S22A Results,209,4345,Sample,Matthew's BHB Carbs,euf,include,PK95-SC-279-02,IPL-CI-4709 PK95-SC-279-02,46071.6817824074,90,-8.57999800430793,-9.44794221084332,0.531531929411264,0.226792280377796,0.526243180915682,54.6056939767591,4709,2026-02-18T16:21:45Z,21.170021895419513,50.946994282214746,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction,PK95-SC-279,PK95-SC-279,680,PK95-SC-279,host_matrix,TRUE,TRUE,TRUE,Accepted host-matrix analysis
22A,S22A Results,210,4346,Sample,Matthew's BHB Carbs,eyl,include,IPL-CI-4710 PK95-SC-165-02,IPL-CI-4710 PK95-SC-165-02,46072.4114930556,90,-7.18303001204309,-8.25193714409117,0.590959988852932,0.259458355363628,0.586754356162542,29.8962936827921,4710,2026-02-19T09:52:33Z,22.402995478784973,27.435242417093605,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction,PK95-SC-165,PK95-SC-165,820,PK95-SC-165,host_matrix,TRUE,TRUE,TRUE,Accepted host-matrix analysis
22A,S22A Results,238,4375,Sample,Matthew's BHB Carbs,wmn,include,PK95-SC-23-02,IPL-CI-4741 PK95-SC-23-02,46079.4937152778,90,-8.52618156862196,-8.43268887712865,0.586702225069711,0.20865382691824,0.578915910070385,32.7850009527781,4741,2026-02-26T11:50:57Z,22.216656709679306,30.195028966788357,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction,PK95-SC-23,PK95-SC-23,1495,PK95-SC-23,host_matrix,TRUE,TRUE,TRUE,Accepted host-matrix analysis
