correction_session,workbook_sheet,workbook_row,matlab_order,Type_1,Type_2,User,ben_status,Sample_Name,analysis_id,analysis_datetime_excel,acid_temperature_C,d13Ccarb_VPDB,d18Ocarb_VPDB,D47_CDES,D48_CDES,D47_iCDES_carb_corr,T47_Petersen_workbook_C,IPLnum,analysis_datetime,d18Ocarb_VSMOW,T47_Anderson2021_C,correction_source
22A,S22A Results,2,4133,Sample,Cave Pool Carbonates,yz,include,GC-mCOH,IPL-CI-4485 GC-mCOH,45977.5558217593,90,-0.0729859953081317,-17.2540133310406,0.511183364670457,0.21572859346324,0.508697308607835,62.9809833171237,4485,2025-11-16T13:20:23Z,13.122665116896936,58.86632038741584,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction
22A,S22A Results,3,4134,Standard,ETH-4,wmn,include,ETH-4,IPL-CI-4486 ETH-4,45978.3940277778,90,-10.2416933181143,-18.8150248242279,0.447097404946287,0.186619219607198,0.446333331278499,98.9469069209963,4486,2025-11-17T09:27:24Z,11.513402758455214,92.57042088693709,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction
22A,S22A Results,4,4135,EquilibratedGas,Enriched,wmn,include,Enriched Eq Gas,IPL-CI-4487 EQG-ENRICHED,45978.4951388889,90,-10.9104649852326,10.3835023118651,0.927666406466804,0.369448264543078,0.91754403081739,-46.8434243965373,4487,2025-11-17T11:53:00Z,41.61445636832485,-46.85688767752174,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction
22A,S22A Results,5,4136,Sample,Cave Pool Carbonates,wmn,include,CAVENEE NEW,IPL-CI-4488 CAVENEE NEW,45978.5949074074,90,3.33833809520775,-8.55945356083388,0.615841235176421,0.243072505551348,0.612438631622828,20.9745359994968,4488,2025-11-17T14:16:39Z,22.085973729600745,18.893654875918685,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction
22A,S22A Results,6,4137,Sample,Cave Pool Carbonates,wmn,include,FS-LR-PF2022-p9,IPL-CI-4489 FS-LR-PF2022-p9,45978.6946643519,90,-4.51165777735761,-8.03822505505643,0.642708524429708,0.283949288221693,0.6391563321067,12.4821219380856,4489,2025-11-17T16:40:19Z,22.623313408491775,10.73832126964038,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction
22A,S22A Results,7,4138,HeatedGas,ETH-1 HEATED,jph,include,ETH-1 HEATED,IPL-CI-4490 ETH-1 HEATED,45978.7985300926,90,2.16681643612414,-2.80536435262972,0.0216726181014153,0.0141678160276497,0.0307204780380614,9999,4490,2025-11-17T19:09:53Z,28.017921835230496,NA,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction
22A,S22A Results,8,4139,Sample,Cave Pool Carbonates,jph,include,FS-LR-PF2022-p8,IPL-CI-4491 FS-LR-PF2022-p8,45978.8990277778,90,-3.87572307729306,-6.04389389503619,0.638366110702266,0.273613045195458,0.635634884539976,13.5594931481855,4491,2025-11-17T21:34:36Z,24.67928934466824,11.774248286871511,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction
22A,S22A Results,9,4140,Standard,ETH-2,eyl,include,ETH-2,IPL-CI-4492 ETH-2,45979.3947685185,90,-10.1748638707659,-18.6381659667484,0.201947343851851,0.131002976488713,0.207983472916016,727.214408207426,4492,2025-11-18T09:28:27Z,11.69572832321941,577.9056679434524,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction
22A,S22A Results,10,4141,EquilibratedGas,Depleted,yz,include,Depleted Eq Gas,IPL-CI-4493 EQG-DEPLETED,45979.5203240741,90,-10.8932363346606,-22.226917971054,0.922900871379977,0.293113641571002,0.915415049923143,-46.5206024810734,4493,2025-11-18T12:29:16Z,7.996047994460721,-46.5407411732821,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction
22A,S22A Results,11,4142,Sample,Cave Pool Carbonates,jph,include,GC-mCOH,IPL-CI-4494 GC-mCOH,45979.6211574074,90,-0.0889581930877607,-17.2438212267345,0.520097371049074,0.180255362524066,0.520602779658446,57.2294453406398,4494,2025-11-18T14:54:27Z,13.133172259147138,53.43068973199655,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction
22A,S22A Results,12,4143,Sample,Cave Pool Carbonates,jph,include,FS-HH2-11mm,IPL-CI-4495 FS-HH2-11mm,45979.7237037037,90,-5.87831692946817,-6.76597491305339,0.627593860738575,0.306985849982825,0.626373215407512,16.4523115171858,4495,2025-11-18T17:22:07Z,23.93488880238413,14.553898374766561,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction
22A,S22A Results,13,4144,HeatedGas,ETH-2 HEATED,jph,include,ETH-2 HEATED,IPL-CI-4496 ETH-2 HEATED,45979.8342361111,90,-9.96177342853732,-18.3381628265757,0.0224276898466961,0.0193734845989442,0.032706148701243803,9999,4496,2025-11-18T20:01:17Z,12.005004560454843,NA,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction
22A,S22A Results,14,4145,Sample,Cave Pool Carbonates,jph,include,FS-LR-PF2022-P15,IPL-CI-4497 FS-LR-PF2022-P15,45979.9342824074,90,-4.15333248050513,-6.17622750867637,0.632415440754762,0.28718000330428,0.631683408431791,14.7830665555377,4497,2025-11-18T22:25:21Z,24.542865299030442,12.950291427747459,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction
22A,S22A Results,15,4146,Standard,IAEA-C1,eyl ,include,IAEA-C1,IPL-CI-4498 IAEA-C1,45980.3789467593,90,2.41348884619001,-2.30465930687391,0.302811637207259,0.13878513349971,0.308326220319165,252.497385832368,4498,2025-11-19T09:05:41Z,28.534103673950618,230.19819873842914,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction
22A,S22A Results,16,4147,Sample,Cave Pool Carbonates,eyl,include,HH5-16.5-1,IPL-CI-4499 HH5-16.5-1,45980.5060532407,90,-9.16874033507281,-4.9294021133093,0.66323377134287,0.32147768285849,0.662483352054182,5.63948150383419,4499,2025-11-19T12:08:42Z,25.82823006736831,4.150089302067045,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction
22A,S22A Results,17,4148,Standard,ETH-3,jph,include,ETH-3,IPL-CI-4500 ETH-3,45980.6058333333,90,1.59315807086672,-1.85305739117579,0.615657340946533,0.245084207726503,0.61600800835567,19.7960050394411,4500,2025-11-19T14:32:23Z,28.999664604862968,17.763333549775382,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction
22A,S22A Results,18,4149,Sample,Cave Pool Carbonates,jph,include,FS-LR-PF2022-p13,IPL-CI-4501 FS-LR-PF2022-P13,45980.7078703704,90,-4.53669267411991,-6.40265013184266,0.642018493784724,0.211893301488434,0.64214480269561,11.5772776424212,4501,2025-11-19T16:59:20Z,24.309443952582082,9.867991022693047,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction
22A,S22A Results,19,4150,Sample,Cave Pool Carbonates,jph,include,MY-287-26,IPL-CI-4502 MY-287-26,45980.8085185185,90,-9.97183971262942,-4.47453092980474,0.653017255852619,0.264380950521786,0.653186280838596,8.30723480179535,4502,2025-11-19T19:24:15Z,26.297161319154995,6.720457768416395,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction
22A,S22A Results,20,4151,HeatedGas,ETH-1 HEATED,jph,include,ETH-1 HEATED,IPL-CI-4503 ETH-1 HEATED,45980.935787037,90,2.13670395673323,-2.80722821546139,0.0342643219893622,-0.0200345902815418,0.0452706671536506,9999,4503,2025-11-19T22:27:31Z,28.0160003603987,NA,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction
22A,S22A Results,21,4152,Sample,Cave Pool Carbonates,wmn,include,FS-LR-PF2022-p9,IPL-CI-4504 FS-LR-PF2022-p9,45981.4011574074,90,-4.48762304031656,-8.06175309511574,0.653766952857248,0.283032525181854,0.654366914054918,7.96420728081785,4504,2025-11-20T09:37:39Z,22.599058116714232,6.390080707436653,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction
22A,S22A Results,22,4153,EquilibratedGas,Enriched,wmn,include,Enriched Eq Gas,IPL-CI-4505 EQG-ENRICHED,45981.5028356482,90,-10.9109443684378,10.3970264855172,0.944074731117913,0.385137497158079,0.940018492883814,-50.1692199039899,4505,2025-11-20T12:04:05Z,41.62839857418454,-50.11552576797473,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction
22A,S22A Results,23,4154,Sample,Cave Pool Carbonates,wmn,include,FS-HH2-11mm,IPL-CI-4506 FS-HH2-11mm,45981.6031018519,90,-5.88749876176131,-6.7604004173334,0.628122717197975,0.259868398959032,0.629556783517315,15.4480936504204,4506,2025-11-20T14:28:28Z,23.940635605766825,13.589278551667235,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction
22A,S22A Results,24,4155,Standard,ETH-1,wmn,include,ETH-1,IPL-CI-4507 ETH-1,45981.7115162037,90,1.96039773687048,-2.3361620565327,0.196445033769587,0.128086203115971,0.205131978778172,766.70164830348,4507,2025-11-20T17:04:34Z,28.501627174299873,601.3142891104998,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction
22A,S22A Results,25,4156,Sample,Cave Pool Carbonates,jph,include,GC-mCOH,IPL-CI-4508 GC-mCOH,45981.8131134259,90,-0.0859794039190547,-17.2699587108016,0.516299901142309,0.208986002084062,0.519909676657273,57.5562227584422,4508,2025-11-20T19:30:52Z,13.106226865447525,53.7398465848043,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction
22A,S22A Results,26,4157,EquilibratedGas,Depleted,jph,include,Depleted Eq Gas,IPL-CI-4509 EQG DEPLETED,45981.9140509259,90,-10.8925723262012,-22.163597007185,0.919510601829218,0.284143523970221,0.916829253349097,-46.7351950432073,4509,2025-11-20T21:56:13Z,8.06132620932291,-46.75089322014307,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction
22A,S22A Results,27,4158,Sample,Cave Pool Carbonates,jph,include,CAVENEE NEW,IPL-CI-4510 CAVENEE NEW,45982.0144212963,90,3.30538323250615,-8.56328297138297,0.621670806135247,0.248923827433923,0.623911860040916,17.2359424546635,4510,2025-11-21T00:20:46Z,22.08202595197158,15.306397640969806,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction
22A,S22A Results,28,4159,Standard,ETH-4,wmn,include,ETH-4,IPL-CI-4511 ETH-4,45982.3991666667,90,-10.2321897527627,-18.8131314891717,0.442508795008359,0.18406466398107801,0.447699337745662,98.0315566182982,4511,2025-11-21T09:34:48Z,11.515354616498005,91.71894007344713,Ben Passey Session 22A MATLAB; D47 I-CDES carbonate-residual correction
