MLA_horizon_id,strat_height_m,alteration_likelihood,material_type,n_analyses,D47_mean,D47_se,D48_mean,D48_se
PB-00-03-08,1494.4,no_horizon_exclusion,host_matrix,2,0.5963797970791604,0.002088104681777503,0.23948394935398548,0.0037547862775905018
PB-00-03-10,1495.4,no_horizon_exclusion,host_matrix,2,0.593683031302007,0.007663913292181023,0.27330337390672155,0.010568421223452501
PB-00-03-16,1507.4,no_horizon_exclusion,host_matrix,3,0.5740506260659437,0.003914009674424031,0.22099537024866533,0.020019902910312297
PB-00-04-14,1574.7,no_horizon_exclusion,host_matrix,2,0.59839901421606,0.002445272170391033,0.2521121709130165,0.025032835420650504
PB-00-04-16,1594.2,no_horizon_exclusion,host_matrix,4,0.6051837065228842,0.00656942116554853,0.24004530277051475,0.005824745246540722
PK95-SC-111,2005,no_horizon_exclusion,host_matrix,8,0.5698075142557265,0.005941044713605122,0.229824627006835,0.013568642071220589
PK95-SC-111,2005,no_horizon_exclusion,secondary_fill_spar,2,0.512730545091865,0.0035097489412110323,0.212451244931542,0.010603404607420997
PK95-SC-118up,1325,no_horizon_exclusion,host_matrix,4,0.5658151743068407,0.004846557012441748,0.23568233648811077,0.021058079826793384
PK95-SC-133,1750,no_horizon_exclusion,host_matrix,4,0.6141687604574178,0.006324334386242086,0.2646026562207535,0.029127310454661912
PK95-SC-148lwr,2047,no_horizon_exclusion,host_matrix,2,0.6325082378741229,0.021633799496478978,0.217049090292588,0.04671011149042899
PK95-SC-160,1720,no_horizon_exclusion,host_matrix,3,0.5669415749183833,0.004762007286576394,0.264040551047282,0.003088512400373823
PK95-SC-165,820,no_horizon_exclusion,host_matrix,5,0.587341167120465,0.004556786274488037,0.2538705143653972,0.006915558509155643
PK95-SC-176,1355,no_horizon_exclusion,host_matrix,3,0.5526177184260017,0.007931450912513325,0.20061714126354166,0.010060129981472779
PK95-SC-179,1080,no_horizon_exclusion,host_matrix,4,0.5781567070680993,0.006785706348529784,0.22945966051560224,0.02949136561651479
PK95-SC-185,940,no_horizon_exclusion,host_matrix,3,0.5875755649235097,0.0036949720331204182,0.24599906667501267,0.041448370120851855
PK95-SC-187,700,no_horizon_exclusion,host_matrix,2,0.5635870552216675,0.025863392480160508,0.2290901445623315,0.0194827144935365
PK95-SC-22,1460,no_horizon_exclusion,secondary_fill_spar,2,0.5477245753563309,0.010351649204902003,0.194372269208489,7.542836136120028e-4
PK95-SC-224,1815,no_horizon_exclusion,host_matrix,2,0.587162550196574,0.010380849012431026,0.238277107378644,0.031462498914146986
PK95-SC-23,1495,no_horizon_exclusion,host_matrix,3,0.577146518589687,0.006468555009660622,0.22613133227123733,0.021049895364689198
PK95-SC-242,590,no_horizon_exclusion,host_matrix,2,0.528385430626785,0.0028063590734540007,0.2643003332024365,0.004963434909322494
PK95-SC-246,520,no_horizon_exclusion,host_matrix,5,0.5566566009561712,0.005956972640314324,0.208329616241563,0.01714988341969546
PK95-SC-27,1525,no_horizon_exclusion,host_matrix,7,0.5550515207545376,0.006635124012308535,0.2455866053501517,0.01856571327999708
PK95-SC-279,680,no_horizon_exclusion,host_matrix,3,0.547580825949277,0.00809658617742193,0.234248372638474,0.006127370663099763
PK95-SC-3,1935,no_horizon_exclusion,host_matrix,1,0.57330578574668,NA,0.230268040114117,NA
PK95-SC-303,2110,no_horizon_exclusion,host_matrix,1,0.603345247515998,NA,0.236914449571485,NA
PK95-SC-31,1760,no_horizon_exclusion,host_matrix,5,0.5934425190455024,0.0056211658901988105,0.261771439229451,0.009394800905208778
PK95-SC-35,1870,no_horizon_exclusion,host_matrix,2,0.5754621513121105,0.012178180296839536,0.21160460095002698,0.033063299550344
PK95-SC-4,1570,no_horizon_exclusion,host_matrix,4,0.5348104247592073,0.019470340314203086,0.209805376593005,0.01654154405450263
PK95-SC-4,1570,no_horizon_exclusion,secondary_fill_spar,2,0.4695533484310255,0.0029755338391075077,0.185747678846331,0.015129163749073997
PK95-SC-43,1600,no_horizon_exclusion,host_matrix,3,0.594032935129989,0.005377473561880693,0.274759466684036,0.004244156889276298
PK95-SC-50,1425,no_horizon_exclusion,host_matrix,5,0.5709379823534718,0.0021700435220845748,0.221286445130726,0.018882123960241554
PK95-SC-54,1700,no_horizon_exclusion,host_matrix,2,0.5733353289576115,0.0010150980025195322,0.2234632278979155,0.019147530564128504
PK95-SC-54,1700,no_horizon_exclusion,secondary_fill_spar,1,0.47892044647883403,NA,0.193414876463655,NA
PK95-SC-6,1530,no_horizon_exclusion,host_matrix,1,0.564400043285278,NA,0.204750601510161,NA
PK95-SC-63,1910,no_horizon_exclusion,host_matrix,4,0.5913393201448678,0.004566031458367787,0.23578695283084072,0.0213780616304993
PK95-SC-80-n1,1495,no_horizon_exclusion,host_matrix,2,0.6041278431037375,0.02550428937136251,0.21818649262345302,0.011170559660115998
PK95-SC-80-n2,1495,no_horizon_exclusion,host_matrix,2,0.6068586959944275,0.007806394436279507,0.2375794837376215,0.010470839813212505
PK95-SC-92,1210,no_horizon_exclusion,host_matrix,3,0.5900007683344597,0.004082189023197246,0.22370983667463834,0.012284902775421153
