section_id,MLA_horizon_id,strat_height_m,laboratory,study_status,T47_C,T47_se_C
CFB,PK95-SC-246,520,U-M,This study,41.32931889345995,2.94180411978437
CFB,PK95-SC-242,590,U-M,This study,54.83484700886853,1.0348470088685318
CFB,PK95-SC-279,680,U-M,This study,46.30804064049258,2.826324635914087
CFB,PK95-SC-187,700,U-M,This study,41.410660980063675,4.716278301523275
CFB,PK95-SC-165,820,U-M,This study,28.733761911784764,1.3477555299259931
CFB,PK95-SC-185,940,U-M,This study,29.533333333333335,1.4437605218471812
CFB,PK95-SC-179,1080,U-M,This study,31.00791846539783,2.542759980621864
CFB,SNELL-PB-00-02-32,1120,Caltech,Published data,36,3.8
CFB,SNELL-PB-00-02-32-2,1120,Caltech,Published data,39.7,3.2
CFB,PK95-SC-92,1210,U-M,This study,28.587499501452392,2.2382451698648707
CFB,SNELL-SC-188,1280,Caltech,Published data,31.4,6.1
CFB,SNELL-SC-62,1305,Caltech,Published data,31.2,4.3
CFB,PK95-SC-118up,1325,U-M,This study,36.760128072734794,1.5838831595200955
CFB,PK95-SC-176,1355,U-M,This study,43.7420526823288,2.1964863029504302
CFB,PK95-SC-50,1425,U-M,This study,36.130456750462,1.6360927068793003
CFB,PB-00-03-08,1494.4,U-M,This study,18.42089859750293,6.189395260886792
CFB,PB-00-03-08,1494.4,CU,Published data,16.8,2.3
CFB,PK95-SC-23,1495,U-M,This study,34.03333333333333,2.318284806585343
CFB,PK95-SC-80-n1,1495,U-M,This study,23.33737383398102,7.337373833981021
CFB,PK95-SC-80-n2,1495,U-M,This study,23.35,2.25
CFB,PB-00-03-10,1495.4,U-M,This study,26.286242522067965,2.68344121316457
CFB,PB-00-03-10,1495.4,CU,Published data,29.6,1.7
CFB,PB-00-03-11,1498.5,CU,Published data,27.7,2.1
CFB,PB-00-03-13,1500.3,CU,Published data,28.2,1.8
CFB,PB-00-03-14,1504.9,CU,Published data,31.8,1.9
CFB,PB-00-03-16,1507.4,U-M,This study,32.311274444728134,1.435527623585664
CFB,PB-00-03-16,1507.4,CU,Published data,34.4,1.8
CFB,PB-00-03-17,1507.8,CU,Published data,36.6,2.4
CFB,PB-00-01-07,1508.7,CU,Published data,33.4,1.9
CFB,PB-00-03-20,1512.3,CU,Published data,35.3,1.9
CFB,PB-00-02-02,1520.5,Caltech,Published data,36.8,2.5
CFB,SNELL-SC-351-n1,1524,Caltech,Published data,40.4,6.4
CFB,PK95-SC-27,1525,U-M,This study,42.00605409624572,3.09910577716666
CFB,PB-00-02-07D,1526.3,CU,Published data,32.4,2.2
CFB,PK95-SC-6,1530,U-M,This study,38.62575505196549,NA
CFB,PB-00-02-09L,1530.5,CU,Published data,27.2,1.8
CFB,PB-00-02-19,1545.1,CU,Published data,25.1,2.5
CFB,PB-00-02-21,1549,CU,Published data,31.7,NA
CFB,PK95-SC-4,1570,U-M,This study,50.85906717205821,9.108990373292658
CFB,PB-00-04-14,1574.7,U-M,This study,24.60021023107481,0.8647573614437647
CFB,PB-00-04-14,1574.7,CU,Published data,22.4,1.6
CFB,PB-00-04-16,1594.2,U-M,This study,22.48703442058863,2.7657320232392286
CFB,PB-00-04-16,1594.2,CU,Published data,17.5,1.7
CFB,PK95-SC-43,1600,U-M,This study,25.725475983276663,1.8741350436912063
CFB,SNELL-SC-15,1630,Caltech,Published data,36.9,3.2
CFB,PK95-SC-160,1720,U-M,This study,37.2180541850797,1.9021226052379905
CFB,PK95-SC-133,1750,U-M,This study,19.730323956092377,1.891252222335753
CFB,PK95-SC-31,1760,U-M,This study,27.7446023852224,2.0455501280454627
CFB,PK95-SC-224,1815,U-M,This study,30.58675522242038,3.894174319532055
CFB,SNELL-SC-33,1840,Caltech,Published data,26.8,5.2
CFB,PK95-SC-35,1870,U-M,This study,34.942255775164995,4.7042028864477174
CFB,PK95-SC-63,1910,U-M,This study,28.47392913784691,1.586807214904871
CFB,PK95-SC-3,1935,U-M,This study,35.17839439342703,NA
CFB,SNELL-SC-64,1970,Caltech,Published data,36.2,1.5
CFB,PK95-SC-111,2005,U-M,This study,34.53936767684229,0
CFB,PK95-SC-303,2110,U-M,This study,24.137565541412418,NA
CFB,SNELL-SC-295,2210,Caltech,Published data,35.6,1.8
