IPL_num,MLA_sample_id,MLA_horizon_id,reactor_id,Dp17Ocarb_permeg_ACCEPTED,X33_mismatch,X34_mismatch,d17O.err,d18O.err,CAP17O.err,D17O_qc_mismatch_max,D17O_qc_mismatch_flag,D17O_qc_precision_flag,D17O_qc_value_flag,D17O_qc_manual_decision,D17O_qc_decision,D17O_qc_reason
5510,PB-00-02-07D,PB-00-02-07D,31,-119.5594164,0.026462185,0.024713228,0.004365327,0.001617965,0.004374557,0.026462185,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
5512,PB-00-02-07D,PB-00-02-07D,31,-90.92967855,0.064814053,0.060717188,0.004402359,0.002957631,0.004650417,0.064814053,review,pass,pass,retain,retain_for_summary,no analytical exclusion
5508,PB-00-02-19,PB-00-02-19,31,-102.206863,0.03517916,0.038868148,0.005955095,0.001448977,0.005848497,0.038868148,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
5509,PB-00-02-19,PB-00-02-19,31,-88.34902152,0.087990522,0.091606557,0.005058619,0.001137062,0.004888881,0.091606557,review,pass,pass,retain,retain_for_summary,no analytical exclusion
5502,PB-00-03-08,PB-00-03-08,31,-106.7821877,0.013902681,0.012718661,0.0045529,0.001651633,0.00438195,0.013902681,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
5503,PB-00-03-08,PB-00-03-08,31,-112.3007812,0.006723805,0.00780226,0.003741657,0.00189045,0.003936235,0.00780226,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
5504,PB-00-03-16,PB-00-03-16,31,-98.98475274,0.015574768,0.013774846,0.00522823,0.001403787,0.005202395,0.015574768,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
5506,PB-00-04-16,PB-00-04-16,31,-119.1146672,0.06389579,0.061139259,0.005453633,0.001383286,0.005089596,0.06389579,review,pass,pass,retain,retain_for_summary,no analytical exclusion
5507,PB-00-04-16,PB-00-04-16,31,-107.097244,1.34e-7,6.78e-5,0.006068355,0.002801079,0.005704908,6.78e-5,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
5695,PB-00-01-07,PB-00-01-07,32,-101.3762754,0.046219024,0.042881123,0.004079592,0.001737253,0.003914084,0.046219024,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
5696,PB-00-01-07,PB-00-01-07,32,-107.411862,0.08289083,0.07850542,0.004254542,0.001238783,0.004339189,0.08289083,review,pass,pass,retain,retain_for_summary,no analytical exclusion
5694,PB-00-02-09L,PB-00-02-09L,32,-120.1919232,0.008038116,0.009031138,0.004498177,0.001409967,0.00457886,0.009031138,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
5697,PB-00-03-16,PB-00-03-16,32,-79.88717759,0.025467282,0.019442215,0.004924807,0.001331492,0.004740214,0.025467282,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
5692,PB-00-04-11,PB-00-04-11,32,-110.9052264,0.017464361,0.014529183,0.004511085,0.001455689,0.00442169,0.017464361,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
5693,PB-00-04-11,PB-00-04-11,32,-108.9445181,1.24e-4,7.29e-4,0.004438722,0.001548628,0.004456673,7.29e-4,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
5698,PK95-SC-22,PK95-SC-22,32,-116.3326585,0.021416947,0.01952318,0.003644783,0.00135263,0.003591786,0.021416947,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
5699,PK95-SC-23,PK95-SC-23,32,-93.23913991,0.269451305,0.258672773,0.004572377,0.001671693,0.004513089,0.269451305,exclude,pass,pass,exclude,exclude,high mass-33/34 mismatch
