T47_C,n_paths,mean_d18Ocarb_vsmow,median_d18Ocarb_vsmow,lower95_d18Ocarb_vsmow,upper95_d18Ocarb_vsmow,lower80_d18Ocarb_vsmow,upper80_d18Ocarb_vsmow,lower50_d18Ocarb_vsmow,upper50_d18Ocarb_vsmow
21,122,24.31528783322469,24.337921292722967,21.491513943584582,27.232459277130246,21.894980106413904,26.59753417118577,23.01819082279013,25.902099220474838
22,141,24.130018291654324,24.072022353515877,21.255244458584684,27.04504619047907,21.754055235700207,26.412251987224863,22.670583181856387,25.707329330051607
23,165,24.07238353719489,24.0325650169068,21.069318034185812,26.87534622521498,21.68943967873172,26.373007122740866,22.674600857074665,25.54098519815352
24,187,23.895575261896425,23.940351380582797,20.884286938410085,26.78913519915921,21.421253318704224,26.269964611407886,22.519346097846835,25.420782583746586
25,209,23.724827908966624,23.792172790310133,20.554931990651244,26.712806617949582,21.20062596028938,25.98402587952169,22.360837028413812,25.213181879959393
26,232,23.565029665240324,23.57695131237284,20.400720171151345,26.647314410923514,21.016829313873288,25.801514883042092,22.20913456553768,25.15474536614596
27,253,23.46028519853688,23.498415872060605,20.291784332110844,26.592336708990295,20.931917610013308,25.667224606413903,22.158467866770366,25.05281133350809
28,271,23.37862535110221,23.387552035539898,20.168380987564035,26.547598945186678,20.81812707790209,25.591934347436336,22.11003370579857,24.946186571130397
29,286,23.29273818590171,23.320370293178485,20.01337361433353,26.512677059076537,20.72790489315429,25.436229344763774,22.00428473496183,24.839932129958186
30,305,23.133102187068545,23.18854382925781,19.87312418078843,26.420501569751828,20.549487658243446,25.35001271674046,21.844057865114337,24.73032347837875
31,322,22.97200137835822,23.031795783720725,19.527004573270244,26.37173150255714,20.312236440299237,25.232926523924675,21.653388373193906,24.590629013299974
32,347,22.792651458706448,22.835457536890658,19.3480449985883,26.20433508027867,20.081049635386922,25.12760315170103,21.401908916198238,24.39473123011919
33,367,22.67217683967218,22.737693088216247,19.256546547302285,26.014346589042944,19.9664809106838,25.047595353445242,21.159102672000586,24.20583712923826
34,387,22.542006289686952,22.590272021834153,19.08257722399451,25.96052988051408,19.89037380248694,25.048292536066675,21.012414849590357,24.018264655143753
