section_id,MLA_horizon_id,strat_height_m,source,carbonate_type,T47_C,T47_se_C,d18Ocarb_vsmow,d18Ocarb_se_vsmow,alteration_likelihood,temperature_plausibility,passes_primary_temperature_screen,passes_caution_inclusive_screen,temperature_screen_reason
CFB,PK95-SC-246,520,U-M micrite,Pedogenic micrite,38.861749549394446,2.1126525679063968,21.2355483738653,NA,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PK95-SC-242,590,U-M micrite,Pedogenic micrite,49.30261569083069,1.573646851827444,16.856707603953605,NA,no_horizon_exclusion,fail_primary_temperature,FALSE,FALSE,Above 45 C; not credible as a primary soil-formation temperature
CFB,PK95-SC-279,680,U-M micrite,Pedogenic micrite,41.835528870997734,4.559688667354823,21.510662709713596,NA,no_horizon_exclusion,caution,FALSE,TRUE,Above 40 C but at or below 45 C; sensitivity use only
CFB,PK95-SC-187,700,U-M micrite,Pedogenic micrite,35.208298250022864,8.63939927995304,22.2466636158198,NA,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PK95-SC-165,820,U-M micrite,Pedogenic micrite,27.808091341669183,1.2383373781235163,22.39043807361901,NA,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PK95-SC-185,940,U-M micrite,Pedogenic micrite,27.35974799348268,2.105188877329795,22.271946864584052,NA,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PK95-SC-179,1080,U-M micrite,Pedogenic micrite,31.48245957566337,2.672892296893606,22.43350292055632,NA,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PK95-SC-92,1210,U-M micrite,Pedogenic micrite,27.49504772685278,1.4895988291597029,22.43324568662291,NA,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PK95-SC-118up,1325,U-M micrite,Pedogenic micrite,35.97504151196699,1.6559871493799625,20.93827254793912,NA,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PK95-SC-176,1355,U-M micrite,Pedogenic micrite,39.42707902288216,2.5586652932149594,22.26175039263223,NA,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PK95-SC-50,1425,U-M micrite,Pedogenic micrite,31.78470434115952,2.297637917542472,21.156728815189105,NA,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
