T47_C,d18Owater_vsmow,d18Ocarb_vsmow,contour_label
10,-15,16.27385864580924,starting d18Ow = -15 per mil
10,-10,21.432609197310853,starting d18Ow = -10 per mil
10,-5,26.591359748812465,starting d18Ow = -5 per mil
10,0,31.750110300313963,starting d18Ow = 0 per mil
10,5,36.90886085181546,starting d18Ow = 5 per mil
10,10,42.06761140331719,starting d18Ow = 10 per mil
10.5,-15,16.159793552983842,starting d18Ow = -15 per mil
10.5,-10,21.317965093861858,starting d18Ow = -10 per mil
10.5,-5,26.476136634739987,starting d18Ow = -5 per mil
10.5,0,31.634308175618116,starting d18Ow = 0 per mil
10.5,5,36.792479716496246,starting d18Ow = 5 per mil
10.5,10,41.95065125737415,starting d18Ow = 10 per mil
11,-15,16.04614262078553,starting d18Ow = -15 per mil
11,-10,21.203737253378335,starting d18Ow = -10 per mil
11,-5,26.36133188597114,starting d18Ow = -5 per mil
11,0,31.518926518564058,starting d18Ow = 0 per mil
11,5,36.67652115115675,starting d18Ow = 5 per mil
11,10,41.83411578374967,starting d18Ow = 10 per mil
11.5,-15,15.93290359833668,starting d18Ow = -15 per mil
11.5,-10,21.089923413556676,starting d18Ow = -10 per mil
11.5,-5,26.246943228776672,starting d18Ow = -5 per mil
11.5,0,31.403963043996555,starting d18Ow = 0 per mil
11.5,5,36.560982859216665,starting d18Ow = 5 per mil
11.5,10,41.71800267443655,starting d18Ow = 10 per mil
12,-15,15.820074251034839,starting d18Ow = -15 per mil
12,-10,20.976521328451327,starting d18Ow = -10 per mil
12,-5,26.132968405867814,starting d18Ow = -5 per mil
12,0,31.289415483284074,starting d18Ow = 0 per mil
12,5,36.44586256070056,starting d18Ow = 5 per mil
12,10,41.60230963811705,starting d18Ow = 10 per mil
12.5,-15,15.707652360408247,starting d18Ow = -15 per mil
12.5,-10,20.86352876832916,starting d18Ow = -10 per mil
12.5,-5,26.019405176250075,starting d18Ow = -5 per mil
12.5,0,31.17528158417076,starting d18Ow = 0 per mil
12.5,5,36.331157992091676,starting d18Ow = 5 per mil
12.5,10,41.48703440001259,starting d18Ow = 10 per mil
13,-15,15.595635723968371,starting d18Ow = -15 per mil
13,-10,20.75094351952157,starting d18Ow = -10 per mil
13,-5,25.90625131507477,starting d18Ow = -5 per mil
13,0,31.06155911062774,starting d18Ow = 0 per mil
13,5,36.21686690618094,starting d18Ow = 5 per mil
13,10,41.37217470173414,starting d18Ow = 10 per mil
13.5,-15,15.484022155067805,starting d18Ow = -15 per mil
13.5,-10,20.638763384281333,starting d18Ow = -10 per mil
13.5,-5,25.79350461349486,starting d18Ow = -5 per mil
13.5,0,30.948245842708275,starting d18Ow = 0 per mil
13.5,5,36.102987071921916,starting d18Ow = 5 per mil
