strat_height_m,minimum_C,lower_quartile_C,median_C,upper_quartile_C,maximum_C
0,90,107.77777777777777,118.33333333333334,124.72222222222223,136.11111111111111
5,89.87514581510645,107.65565762613008,118.21258019830856,124.61308872849226,135.98807961504815
10,89.7502916302129,107.53353747448236,118.09182706328376,124.50395523476232,135.86504811898516
15,89.62543744531933,107.41141732283465,117.97107392825897,124.39482174103237,135.74201662292216
20,89.50058326042578,107.28929717118693,117.85032079323418,124.28568824730243,135.61898512685917
25,89.37572907553223,107.16717701953922,117.72956765820938,124.17655475357246,135.49595363079615
30,89.25087489063867,107.04505686789153,117.60881452318459,124.06742125984252,135.37292213473316
35,89.1260207057451,106.9229367162438,117.48806138815982,123.95828776611256,135.24989063867017
40,89.00116652085156,106.80081656459609,117.36730825313502,123.8491542723826,135.1268591426072
45,88.876312335958,106.6786964129484,117.24655511811024,123.74002077865266,135.0038276465442
50,88.75145815106445,106.55657626130068,117.12580198308545,123.63088728492272,134.88079615048122
55,88.62660396617089,106.43445610965297,117.00504884806065,123.52175379119276,134.75776465441822
60,88.50174978127734,106.31233595800525,116.88429571303588,123.41262029746281,134.63473315835523
65,88.37689559638379,106.19021580635754,116.76354257801107,123.30348680373285,134.5117016622922
70,88.25204141149024,106.06809565470984,116.64278944298628,123.1943533100029,134.38867016622922
75,88.12718722659667,105.94597550306212,116.5220363079615,123.08521981627294,134.26563867016625
80,88.00233304170312,105.82385535141441,116.40128317293672,122.976086322543,134.14260717410326
85,87.87747885680956,105.70173519976672,116.28053003791192,122.86695282881306,134.01957567804027
90,87.75262467191601,105.579615048119,116.15977690288713,122.7578193350831,133.89654418197728
95,87.62777048702245,105.45749489647127,116.03902376786236,122.64868584135316,133.77351268591428
100,87.5029163021289,105.33537474482357,115.91827063283756,122.53955234762321,133.6504811898513
105,87.37806211723534,105.21325459317586,115.79751749781275,122.43041885389324,133.52744969378827
110,87.2532079323418,105.09113444152815,115.67676436278798,122.3212853601633,133.4044181977253
115,87.12835374744823,104.96901428988043,115.5560112277632,122.21215186643335,133.2813867016623
120,87.00349956255468,104.84689413823273,115.4352580927384,122.10301837270339,133.15835520559932
125,86.87864537766113,104.724773986585,115.31450495771361,121.99388487897345,133.03532370953633
130,86.75379119276758,104.60265383493731,115.19375182268882,121.8847513852435,132.91229221347334
135,86.62893700787401,104.48053368328961,115.07299868766404,121.77561789151356,132.78926071741034
140,86.50408282298045,104.35841353164189,114.95224555263925,121.66648439778362,132.66622922134735
145,86.3792286380869,104.23629337999418,114.83149241761447,121.55735090405366,132.54319772528436
150,86.25437445319335,104.11417322834646,114.71073928258967,121.44821741032368,132.42016622922137
155,86.1295202682998,103.99205307669875,114.58998614756489,121.33908391659374,132.29713473315837
160,86.00466608340624,103.86993292505105,114.46923301254009,121.2299504228638,132.17410323709538
165,85.87981189851268,103.74781277340333,114.3484798775153,121.12081692913385,132.0510717410324
170,85.75495771361913,103.62569262175562,114.22772674249052,121.01168343540388,131.9280402449694
175,85.63010352872558,103.50357247010791,114.10697360746573,120.90254994167395,131.8050087489064
180,85.50524934383202,103.38145231846019,113.98622047244095,120.793416447944,131.6819772528434
185,85.38039515893847,103.25933216681248,113.86546733741616,120.68428295421405,131.55894575678042
190,85.2555409740449,103.13721201516478,113.74471420239136,120.57514946048408,131.43591426071742
195,85.13068678915135,103.01509186351706,113.62396106736657,120.46601596675414,131.31288276465443
200,85.00583260425779,102.89297171186935,113.50320793234178,120.3568824730242,131.18985126859144
205,84.88097841936424,102.77085156022164,113.382454797317,120.24774897929424,131.06681977252845
210,84.75612423447069,102.64873140857394,113.26170166229221,120.13861548556429,130.94378827646545
215,84.63127004957714,102.52661125692623,113.14094852726743,120.02948199183434,130.82075678040246
220,84.50641586468358,102.4044911052785,113.02019539224264,119.9203484981044,130.69772528433947
225,84.38156167979002,102.2823709536308,112.89944225721786,119.81121500437445,130.57469378827648
230,84.25670749489647,102.1602508019831,112.77868912219304,119.70208151064449,130.45166229221348
235,84.13185331000292,102.03813065033538,112.65793598716826,119.59294801691455,130.3286307961505
240,84.00699912510936,101.91601049868767,112.53718285214347,119.4838145231846,130.2055993000875
245,83.88214494021581,101.79389034703995,112.41642971711869,119.37468102945463,130.0825678040245
250,83.757290755322245,101.67177019539224,112.2956765820939,119.26554753572469,129.9595363079615
255,83.6324365704287,101.54965004374455,112.17492344706912,119.15641404199475,129.83650481189852
260,83.50758238553514,101.42752989209683,112.05417031204433,119.04728054826481,129.71347331583553
265,83.38272820064158,101.30540974044912,111.93341717701955,118.93814705453484,129.59044181977254
270,83.25787401574803,101.18328958880141,111.81266404199475,118.8290135608049,129.46741032370954
275,83.13301983085448,101.0611694371537,111.69191090696995,118.71988006707494,129.34437882764655
280,83.00816564596091,100.93904928550599,111.57115777194517,118.61074657334497,129.22134733158356
285,82.88331146106736,100.81692913385827,111.45040463692038,118.50161307961503,129.09831583552057
290,82.75845727617381,100.69480898221056,111.3296515018956,118.39247958588508,128.97528433945757
295,82.63360309128026,100.57268883056285,111.20889836687081,118.28334609215514,128.85225284339458
300,82.5087489063867,100.45056867891513,111.08814523184603,118.17421259842519,128.7292213473316
305,82.38389472149314,100.32844852726743,110.96739209682123,118.06507910469524,128.6061898512686
310,82.25904053659958,100.2063283756197,110.84663896179644,117.9559456109653,128.4831583552056
315,82.13418635170603,100.084208223972,110.72588582677164,117.84681211723533,128.3601268591426
320,82.00933216681248,99.96208807232429,110.60513269174686,117.73767862350537,128.23709536307962
325,81.88447798191892,99.83996792067657,110.48437955672208,117.62854512977543,128.11406386701663
330,81.75962379702537,99.71784776902886,110.36362642169729,117.51941163604548,127.99103237095363
335,81.63476961213182,99.59572761738117,110.2428732866725,117.41027814231553,127.86800087489065
340,81.50991542723827,99.47360746573345,110.12212015164772,117.30114464858559,127.74496937882766
345,81.38506124234472,99.35148731408574,110.00136701662292,117.19201115485563,127.62193788276467
350,81.26020705745115,99.22936716243802,109.88061388159814,117.08287766112569,127.49890638670168
355,81.13535287255759,99.10724701079032,109.75986074657334,116.97374416739572,127.37587489063868
360,81.01049868766404,98.98512685914261,109.63910761154855,116.86461067366577,127.25284339457568
365,80.88564450277048,98.86300670749489,109.51835447652375,116.75547717993582,127.12981189851268
370,80.76079031787692,98.74088655584718,109.39760134149898,116.64634368620588,127.0067804024497
375,80.63593613298337,98.61876640419948,109.2768482064742,116.53721019247592,126.88374890638671
380,80.51108194808982,98.49664625255177,109.1560950714494,116.42807669874597,126.76071741032372
385,80.38622776319627,98.37452610090406,109.03534193642462,116.31894320501603,126.63768591426073
390,80.26137357830271,98.25240594925634,108.91458880139982,116.20980971128608,126.51465441819774
395,80.13651939340916,98.13028579760864,108.79383566637503,116.10067621755613,126.39162292213473
400,80.01166520851561,98.00816564596093,108.67308253135025,115.99154272382617,126.26859142607174
405,79.88681102362204,97.88604549431321,108.55232939632546,115.88240923009623,126.14555993000874
410,79.76195683872848,97.7639253426655,108.43157626130066,115.77327573636629,126.02252843394577
415,79.63710265383493,97.6418051910178,108.31082312627588,115.66414224263633,125.89949693788277
420,79.51224846894138,97.51968503937009,108.1900699912511,115.55500874890637,125.77646544181978
