location,burial_depth_class,heat_flow_mW_m2,thermal_gradient_C_per_km,inferred_max_burial_surface_temperature_C,strat_height_m,max_burial_depth_km,estimated_max_burial_temperature_C,source
Amoco BN 1,intermediate,51,24.60629921259843,16.047222222222203,0,4.111752,117.22222222222223,"Roberts et al. (2008), tables 2 and 3"
Amoco BN 1,intermediate,51,24.60629921259843,16.047222222222203,500,3.611752,104.91907261592301,"Roberts et al. (2008), tables 2 and 3"
Amoco BN 1,intermediate,51,24.60629921259843,16.047222222222203,700,3.411752,99.99781277340331,"Roberts et al. (2008), tables 2 and 3"
Amoco BN 1,intermediate,51,24.60629921259843,16.047222222222203,1000,3.111752,92.6159230096238,"Roberts et al. (2008), tables 2 and 3"
Amoco BN 1,intermediate,51,24.60629921259843,16.047222222222203,1480,2.631752,80.80489938757654,"Roberts et al. (2008), tables 2 and 3"
Amoco BN 1,intermediate,51,24.60629921259843,16.047222222222203,1500,2.611752,80.31277340332458,"Roberts et al. (2008), tables 2 and 3"
Amoco BN 1,intermediate,51,24.60629921259843,16.047222222222203,2000,2.111752,68.00962379702537,"Roberts et al. (2008), tables 2 and 3"
Amoco BN 1,intermediate,51,24.60629921259843,16.047222222222203,2300,1.8117520000000003,60.62773403324584,"Roberts et al. (2008), tables 2 and 3"
Dobie Creek,shallow,55,27.15806357538641,10.160555555555561,0,3.471672,104.44444444444444,"Roberts et al. (2008), tables 2 and 3"
Dobie Creek,shallow,55,27.15806357538641,10.160555555555561,500,2.971672,90.86541265675125,"Roberts et al. (2008), tables 2 and 3"
Dobie Creek,shallow,55,27.15806357538641,10.160555555555561,700,2.7716719999999997,85.43379994167395,"Roberts et al. (2008), tables 2 and 3"
Dobie Creek,shallow,55,27.15806357538641,10.160555555555561,1000,2.471672,77.28638086905804,"Roberts et al. (2008), tables 2 and 3"
Dobie Creek,shallow,55,27.15806357538641,10.160555555555561,1480,1.9916719999999999,64.25051035287257,"Roberts et al. (2008), tables 2 and 3"
Dobie Creek,shallow,55,27.15806357538641,10.160555555555561,1500,1.9716719999999999,63.70734908136483,"Roberts et al. (2008), tables 2 and 3"
Dobie Creek,shallow,55,27.15806357538641,10.160555555555561,2000,1.4716719999999999,50.12831729367163,"Roberts et al. (2008), tables 2 and 3"
Dobie Creek,shallow,55,27.15806357538641,10.160555555555561,2300,1.171672,41.98089822105571,"Roberts et al. (2008), tables 2 and 3"
Doctor Ditch,shallow,51,24.970836978711,14.802222222222213,0,3.011424,90,"Roberts et al. (2008), tables 2 and 3"
Doctor Ditch,shallow,51,24.970836978711,14.802222222222213,500,2.511424,77.5145815106445,"Roberts et al. (2008), tables 2 and 3"
Doctor Ditch,shallow,51,24.970836978711,14.802222222222213,700,2.3114239999999997,72.5204141149023,"Roberts et al. (2008), tables 2 and 3"
Doctor Ditch,shallow,51,24.970836978711,14.802222222222213,1000,2.011424,65.02916302128901,"Roberts et al. (2008), tables 2 and 3"
Doctor Ditch,shallow,51,24.970836978711,14.802222222222213,1480,1.531424,53.04316127150772,"Roberts et al. (2008), tables 2 and 3"
Doctor Ditch,shallow,51,24.970836978711,14.802222222222213,1500,1.5114239999999999,52.543744531933505,"Roberts et al. (2008), tables 2 and 3"
Doctor Ditch,shallow,51,24.970836978711,14.802222222222213,2000,1.0114239999999999,40.058326042578,"Roberts et al. (2008), tables 2 and 3"
Doctor Ditch,shallow,51,24.970836978711,14.802222222222213,2300,0.7114240000000001,32.56707494896471,"Roberts et al. (2008), tables 2 and 3"
Emblem Bench,deep,51,24.60629921259843,15.286111111111083,0,4.910328000000001,136.11111111111111,"Roberts et al. (2008), tables 2 and 3"
Emblem Bench,deep,51,24.60629921259843,15.286111111111083,500,4.410328000000001,123.8079615048119,"Roberts et al. (2008), tables 2 and 3"
Emblem Bench,deep,51,24.60629921259843,15.286111111111083,700,4.2103280000000005,118.88670166229221,"Roberts et al. (2008), tables 2 and 3"
Emblem Bench,deep,51,24.60629921259843,15.286111111111083,1000,3.9103280000000007,111.50481189851268,"Roberts et al. (2008), tables 2 and 3"
