group_variable,group_level,n_thin_sections,n_d18Ocarb,mean_d18Ocarb_vpdb,min_d18Ocarb_vpdb,max_d18Ocarb_vpdb,n_T47,mean_T47_C,min_T47_C,max_T47_C
dominant_fabric,micrite,4,4,-9.287718647223215,-9.943213275142858,-8.517962812,4,38.84222240336873,25.725475983276663,46.30804064049258
dominant_fabric,microspar,10,9,-8.611087501522222,-9.680021705,-7.973432857000001,9,30.61061381284853,19.730323956092377,37.2180541850797
dominant_fabric,mixed,2,2,-8.19198669,-8.3722477025,-8.0117256775,2,47.300559927193504,43.7420526823288,50.85906717205821
dominant_fabric,spar,1,0,NA,NA,NA,0,NA,NA,NA
matrix_heterogeneity,high,6,4,-8.269841093833334,-8.721958138333333,-7.973432857000001,4,38.78913696836193,23.33737383398102,50.85906717205821
matrix_heterogeneity,low,5,5,-8.418570921766667,-8.517962812,-8.3506164585,5,27.353413798251623,19.730323956092377,34.03333333333333
matrix_heterogeneity,moderate,6,6,-9.310402749737698,-9.943213275142858,-8.2626947892,6,38.92365281979881,31.00791846539783,46.30804064049258
matrix_framework,homogeneous,3,3,-8.4330544385,-8.517962812,-8.3506164585,3,26.49637775756746,19.730323956092377,34.03333333333333
matrix_framework,patchy,5,5,-8.768478719633332,-9.389666375,-8.3722477025,5,35.695952808961295,27.7446023852224,43.7420526823288
matrix_framework,patchy and zoned,9,7,-8.841868366989456,-9.943213275142858,-7.973432857000001,7,38.21380520942712,23.33737383398102,50.85906717205821
microfracture_density,common,8,7,-8.437061633838095,-9.286788227333334,-7.973432857000001,7,36.61832234609155,23.33737383398102,50.85906717205821
microfracture_density,none,2,2,-8.43428963525,-8.517962812,-8.3506164585,2,22.727899969684522,19.730323956092377,25.725475983276663
microfracture_density,rare,7,6,-9.184437462537698,-9.943213275142858,-8.374902776333334,6,37.2802462369148,27.7446023852224,46.30804064049258
texture_gradients,no,8,8,-8.597629361083333,-9.389666375,-8.0117256775,8,33.135738975904786,19.730323956092377,50.85906717205821
texture_gradients,yes,9,7,-8.893371513418026,-9.943213275142858,-7.973432857000001,7,37.19708885375149,23.33737383398102,46.30804064049258
spar_abundance,abundant,3,1,-8.0117256775,-8.0117256775,-8.0117256775,1,50.85906717205821,50.85906717205821,50.85906717205821
spar_abundance,minor,6,6,-9.032898499162698,-9.943213275142858,-8.3506164585,6,31.34950687400566,19.730323956092377,42.00605409624572
spar_abundance,moderate,8,8,-8.603189851264583,-9.389666375,-7.973432857000001,8,35.81367817092582,23.33737383398102,46.30804064049258
spar_distribution,both,10,8,-8.805046265428274,-9.943213275142858,-7.973432857000001,8,35.373086979151566,23.33737383398102,46.30804064049258
spar_distribution,dispersed in matrix,2,2,-8.43428963525,-8.517962812,-8.3506164585,2,22.727899969684522,19.730323956092377,25.725475983276663
spar_distribution,fractures/voids,5,5,-8.745137217733333,-9.680021705,-8.0117256775,5,39.40500760218343,29.533333333333335,50.85906717205821
