SampleID,PPL_images,XPL_images,dominant_fabric,micrite_abundance,microspar_abundance,spar_abundance,matrix_heterogeneity,matrix_framework,microfracture_density,texture_gradients,spar_distribution,Notes,MLA_horizon_id,section_id,strat_height_m,d18Ocarb_vpdb,d18Ocarb_vsmow,T47_C,T47_sd_C,T47_se_C,T47_n,D17O_primary_use,isotope_status,carbonate_only
PK95-SC-246,NA,NA,micrite,abundant,minor,moderate,moderate,patchy,rare,no,both,Mostly micrite with clotted fabric but lots of small spar-filled voids dispersed throughout.,PK95-SC-246,CFB,520,-9.38438042713205,21.2355483738653,38.861749549394446,4.724034754678194,2.1126525679063968,5,primary,Paired d18Ocarb and T47,TRUE
PK95-SC-242,NA,NA,siliciclastics,minor,moderate,minor,moderate,patchy,none,no,fractures/voids,"Weird sample, doesn't look like soil carbonate nodule",PK95-SC-242,CFB,590,-13.6319294565446,16.856707603953605,49.30261569083069,2.225472720240096,1.573646851827444,2,NA,Paired d18Ocarb and T47,FALSE
PK95-SC-279,NA,NA,micrite,abundant,moderate,moderate,moderate,patchy and zoned,rare,yes,both,Hard to estimate relative abundance of micrite and microspar. High heterogeneity of micritic and microsparitic microregions. Plant fragments? Lots of small spar-filled voids dispersed throughout.,PK95-SC-279,CFB,680,-9.11751490458566,21.510662709713596,41.835528870997734,7.897612438554579,4.559688667354823,3,primary,Paired d18Ocarb and T47,TRUE
PK95-SC-185,NA,NA,microspar,none,abundant,moderate,low,patchy,rare,no,fractures/voids,Fibrous/radial microspar fabric throughout. Microcodium? Some rosettes radiate out from fracture-fill spar.,PK95-SC-185,CFB,940,-8.379056499030904,22.271946864584052,27.35974799348268,3.6462940950640896,2.105188877329795,3,sensitivity_only,Paired d18Ocarb and T47,TRUE
PK95-SC-179,NA,NA,microspar,minor,abundant,moderate,moderate,patchy and zoned,common,yes,both,"Most fractures clearly visible with naked eye, but micrite-microspar gradients are heterogeneous across matrix.",PK95-SC-179,CFB,1080,-8.222344413618728,22.43350292055632,31.48245957566337,5.345784593787213,2.672892296893606,4,primary,Paired d18Ocarb and T47,TRUE
PK95-SC-118up,NA,NA,microspar,moderate,abundant,minor,moderate,patchy and zoned,rare,yes,fractures/voids,Bulk matrix sample likely contained mostly microspar and some micrite. Spar looks generally easy to avoid.,PK95-SC-118up,CFB,1325,-9.672742966952384,20.93827254793912,35.97504151196699,3.311974298759925,1.6559871493799625,4,primary,Paired d18Ocarb and T47,TRUE
PK95-SC-176,NA,NA,mixed,moderate,moderate,moderate,high,patchy,common,yes,fractures/voids,"Prevalent clotty fabrics with thin spar rims between many clasts. Grades from micrite to microspar across many regions of the sample, microspar is fine xtals.",PK95-SC-176,CFB,1355,-8.388947247934126,22.26175039263223,39.42707902288216,4.431738287411428,2.5586652932149594,3,primary,Paired d18Ocarb and T47,TRUE
PK95-SC-50,NA,NA,microspar,minor,abundant,minor,moderate,patchy,common,no,fractures/voids,Darker colored zones have small microspar and some micrite but also have more spar-filled fractures,PK95-SC-50,CFB,1425,-9.460836721741854,21.156728815189105,31.78470434115952,5.137674571306024,2.297637917542472,5,sensitivity_only,Paired d18Ocarb and T47,TRUE
PK95-SC-22,NA,NA,spar,none,moderate,abundant,high,patchy and zoned,common,yes,both,Almost entirely recrystallized into spar. Primary fabrics mostly obliterated.,PK95-SC-22,CFB,1460,NA,NA,NA,NA,NA,NA,primary,No paired IPL values,TRUE
PK95-SC-23,NA,NA,microspar,minor,abundant,moderate,low,homogeneous,common,no,both,Some color mottling in matrix but generally homogeneous xtal fabric. Generally sharp xtal size boundaries between matrix and fracture fill.,PK95-SC-23,CFB,1495,-8.43473776734705,22.214544488264252,33.06152864174106,3.1948517092104938,1.8445484943336143,3,primary,Paired d18Ocarb and T47,TRUE
PK95-SC-80n1,NA,NA,microspar,minor,abundant,moderate,high,patchy and zoned,common,yes,both,"Micrite relicts are clotted, peloidal. Microspar is often radial/fibrous, but mostly granular/polygonal. Void/fracture-fill is blocky, translucent spar.",PK95-SC-80-n1,CFB,1495,-7.9661541189909,22.697612057191087,22.861636357408543,11.43551736459812,8.086131874883847,2,NA,Paired d18Ocarb and T47,TRUE
PK95-SC-27,NA,NA,micrite,moderate,moderate,minor,moderate,patchy and zoned,rare,yes,both,Often hard to distinguish microspar and micrite. Interspersed in patchwork fabric. Sometimes grades to more conspicuous microspar or spar microregions. Some roots/organics? Common spar xtals interspersed in matrix.,PK95-SC-27,CFB,1525,-9.933345877656649,20.669614401264987,39.706543288646095,7.389067945524881,2.792805172059685,7,primary,Paired d18Ocarb and T47,TRUE
