record,temperature_C,temperature_se_C,Age_Ma,age_older_ma,age_younger_ma,strat_height_m,strat_min_m,strat_max_m,plotted,exclusion_reason
Wing leaf-margin MAT,12.9,2.4,56.347,56.657000000000004,56.037,1320.7380410022756,1194.3371298405452,1447.138952164009,TRUE,NA
Wing leaf-margin MAT,15.8,2.2,55.763,55.928,55.598,1558.861047835991,1491.5831435079733,1626.138952164009,TRUE,NA
Wing leaf-margin MAT,15.7,2.4,55.393,55.518,55.268,1709.726651480637,1658.7585421412296,1760.6947608200453,TRUE,NA
Wing leaf-margin MAT,18.2,2.3,54.987,55.187000000000005,54.787,1875.2710706150363,1793.7220956719793,1956.8200455580854,TRUE,NA
Wing leaf-margin MAT,16.4,2.7,54.568,54.753,54.382999999999996,2046.116173120729,1970.683371298406,2121.548974943055,TRUE,NA
Wing leaf-margin MAT,10.8,3.3,53.808,53.893,53.723,NA,NA,NA,FALSE,Outside the modeled 500-2300 m CFB age-height range
Wing leaf-margin MAT,15.8,2.2,53.411,53.466,53.356,NA,NA,NA,FALSE,Outside the modeled 500-2300 m CFB age-height range
Wing leaf-margin MAT,22.2,2,52.842,52.847,52.836999999999996,NA,NA,NA,FALSE,Outside the modeled 500-2300 m CFB age-height range
Fricke–Wing phosphate MAAT,18.3,NA,52.92,53.01,52.83,NA,NA,NA,FALSE,Outside the modeled 500-2300 m CFB age-height range
Fricke–Wing phosphate MAAT,25.3,NA,55.9,55.93,55.75,1503,1490.767653758542,1564.161731207289,TRUE,NA
