section_id,MLA_horizon_id,strat_height_m,IPL17O_mean_dp17Ocarb,IPL17O_sd_dp17Ocarb,IPL17O_se_dp17Ocarb,IPL17O_n_dp17Ocarb,IPL17O_mean_dp18Ocarb,IPL17O_sd_dp18Ocarb,IPL17O_se_dp18Ocarb,IPL17O_n_dp18Ocarb,IPL17O_mean_Dp17Ocarb,IPL17O_sd_Dp17Ocarb,IPL17O_se_Dp17Ocarb,IPL17O_n_Dp17Ocarb,IPL17O_n_analyses,D17O_n_attempted,D17O_n_analysis_excluded,D17O_pending_replicates,D17O_n_retained,D17O_replicate_range_permeg,D17O_replicate_status,D17O_primary_use,IPL17O_sd_Dp17Ocarb_adj,IPL17O_se_Dp17Ocarb_adj,IPL17O_ci95_Dp17Ocarb_adj,D17O_sd_used_permeg,D17O_se_used_permeg,IPL17O_mean_d17Ocarb,IPL17O_mean_d18Ocarb,IPLD47_n_T47,IPLD47_mean_T47_C,IPLD47_sd_T47_C,IPLD47_se_T47_C,IPLD47_min_T47_C,IPLD47_max_T47_C,IPLD47_range_T47_C,IPL_NuDog_d13Ccarb_VPDB,IPL_NuDog_d18Ocarb_VPDB,IPL_NuDog_d18Ocarb_VSMOW,IPLD47_sessions,IPLD47_IPLnums,IPLD47_sample_type,CU_sample_id,CU_mean_d13Ccarb_vpdb,CU_mean_d18Ocarb_vpdb,CU_se_d18Ocarb_vpdb,CU_mean_d18Ocarb_vsmow,CU_mean_D47_ICDES,CU_se_D47_ICDES,CU_mean_T47_C,CU_2se_T47_C,CU_mean_d18Ow_vsmow,CU_se_d18Ow_vsmow,snell2013_age_ma,Snell_sample_id,Snell_sample_type,Snell_mean_d18Ow_vsmow,Snell_mean_d18Ocarb_vsmow,Snell_reported_d13Ccarb_vpdb,Snell_mean_d13Ccarb_vpdb,Snell_mean_D47,Snell_se_D47,Snell_mean_T47_C,Snell_se_T47_C,Comments,Snell_d13C_omitted_from_compilation,Snell_d13C_omission_reason,Snell_sample_group,Koch_mean_d13Ccarb_vpdb,Koch_se_d13Ccarb_vpdb,Koch_n_d13Ccarb,Koch_mean_d18Ocarb_vpdb,Koch_se_d18Ocarb_vpdb,Koch_n_d18Ocarb_vpdb,Koch_mean_d18Ocarb_vsmow,Koch_se_d18Ocarb_vsmow,Koch_n_d18Ocarb_vsmow,Bowen_mean_d13Ccarb_vpdb,Bowen_se_d13Ccarb_vpdb,Bowen_n_d13Ccarb,Bowen_mean_d18Ocarb_vpdb,Bowen_se_d18Ocarb_vpdb,Bowen_n_d18Ocarb_vpdb,Bowen_mean_d18Ocarb_vsmow,Bowen_se_d18Ocarb_vsmow,Bowen_n_d18Ocarb_vsmow,alteration_likelihood,n_temperature_observations,n_temperature_observations_passing_screen,exclude_from_temp_model,primary_screening_scenario,temperature_model_position,T_model_C,T_model_se_C,T_model_lower95_C,T_model_upper95_C,model_min_strat_height_m,model_max_strat_height_m,screening_scenario_id,screening_scenario,n_excluded_horizons,uncertainty_method,extrapolation_policy,T_measured_C,T_measured_se_C,n_T_obs,T_sources,T_model_anchor_C,has_measured_T47,is_snell,d18Ocarb_vsmow,d18Ocarb_se_vsmow,d18Ocarb_source,d18Ocarb_missing_flag,T_recon_C,T_recon_se_C,T_recon_source,d18Ocarb_se_used_vsmow
CFB,PK95-SC-246,520,10.355071885,0.25766441483458685,0.182196255,2,19.80702415,0.49194031121620696,0.34785433000000054,2,-103.0368666,2.0800701381082725,1.4708316999999975,2,2,2,0,FALSE,2,2.941663399999996,replicated_concordant,primary,12,8.48528137423857,16.631151493507595,12,8.48528137423857,10.408871180040302,20.004484800756117,5,38.861749549394446,4.724034754678194,2.1126525679063968,30.596595963339663,42.46841453185152,11.87181856851186,-7.022439147701828,-9.38438042713205,21.2355483738653,"22A, 22B","4703, 4778, 4780, 4857, 4859",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.48,NA,1,-9.4,NA,1,21.22,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_horizon_exclusion,1,1,FALSE,primary_integrated_screen,interpolated,37.035030070386355,5.504628568616589,26.24595807589784,47.82410206487487,520,2210,primary_integrated_screen,Host matrix at or below 40 C,0,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,38.86174954939444,2.1126525679063968,1,U-M,37.03502389970865,TRUE,FALSE,21.22,NA,Koch,NA,38.861749549394446,2.1126525679063968,U-M measured T47,0.15
CFB,PK95-SC-242,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,49.30261569083069,2.225472720240096,1.573646851827444,47.72896883900325,50.87626254265814,3.1472937036548885,-4.12765142777801,-13.6319294565446,16.856707603953605,"22A, 22B","4764, 4983",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_horizon_exclusion,1,0,TRUE,primary_integrated_screen,interpolated,36.23002427415111,5.504628568616589,25.440952279662596,47.01909626863963,520,2210,primary_integrated_screen,Host matrix at or below 40 C,0,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,NA,NA,0,NA,NA,FALSE,FALSE,16.856707603953605,NA,IPL_NuDog,NA,49.30261569083069,1.573646851827444,U-M measured T47,0.15
CFB,PK95-SC-279,680,10.63474449,0.20273645199589688,0.14335631999999965,2,20.32928966,0.3978201559995893,0.2813013299999998,2,-99.120450325,7.312595371130883,5.170785775000005,2,2,2,0,FALSE,2,10.341571550000012,replicated_concordant,primary,12,8.48528137423857,16.631151493507595,12,8.48528137423857,10.691494380299371,20.537337096289132,3,41.835528870997734,7.897612438554579,4.559688667354823,36.95088770584613,50.946994282214746,13.996106576368618,-8.765962191244217,-9.11751490458566,21.510662709713596,"22A, 22B","4709, 4931, 4952",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.45,NA,1,-9.96,NA,1,20.64,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_horizon_exclusion,1,0,TRUE,primary_integrated_screen,interpolated,34.522495201447065,5.504628568616589,23.73342320695855,45.31156719593558,520,2210,primary_integrated_screen,Host matrix at or below 40 C,0,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,NA,NA,0,NA,NA,FALSE,FALSE,20.64,NA,Koch,NA,41.835528870997734,4.559688667354823,U-M measured T47,0.15
CFB,PK95-SC-187,700,10.659890315,0.4498037827699611,0.3180593050000002,2,20.382110285000003,0.8324337153326096,0.5886195250000003,2,-101.863913985,10.27878236834858,7.268196715000001,2,2,2,0,FALSE,2,14.536393430000004,replicated_concordant,primary,12,8.48528137423857,16.631151493507595,12,8.48528137423857,10.716909371285332,20.591243939954484,2,35.208298250022864,12.21795563246594,8.63939927995304,26.568898970069824,43.8476975299759,17.27879855990608,-7.083459917489005,-8.403581674617769,22.2466636158198,"22A, 22B","4775, 4957",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.63,NA,1,-8.6,NA,1,22.04,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_horizon_exclusion,1,1,FALSE,primary_integrated_screen,interpolated,33.959349290055044,5.504628568616589,23.170277295566528,44.74842128454356,520,2210,primary_integrated_screen,Host matrix at or below 40 C,0,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,35.208298250022864,8.63939927995304,1,U-M,33.9593797136955,TRUE,FALSE,22.04,NA,Koch,NA,35.208298250022864,8.63939927995304,U-M measured T47,0.15
CFB,PK95-SC-198,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.79,0.00999999999999978,2,-8.19,0.07000000000000027,2,22.465,0.07499999999999928,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_horizon_exclusion,NA,NA,FALSE,primary_integrated_screen,interpolated,31.919515964531264,5.472836071779738,21.192757263842974,42.64627466521955,520,2210,primary_integrated_screen,Host matrix at or below 40 C,0,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,NA,NA,0,NA,NA,FALSE,FALSE,22.465,0.07499999999999928,Koch,NA,31.919515964531264,5.472836071779738,modeled/interpolated T,0.07499999999999928
CFB,PK95-SC-165,820,11.02057991,NA,NA,1,21.06189842,NA,NA,1,-100.1024491,NA,NA,1,1,1,0,FALSE,1,0,singleton_provisional,sensitivity_only,12,12,23.52,12,12,11.08153019750202,21.28526562539701,5,27.808091341669183,2.769006556563044,1.2383373781235163,25.336943119425428,32.54759263381197,7.210649514386546,-7.5625972298664195,-8.264118037831617,22.39043807361901,"22A, 22B","4621, 4710, 4747, 4834, 4836",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.04,NA,1,-8.39,NA,1,22.26,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_horizon_exclusion,1,1,FALSE,primary_integrated_screen,interpolated,30.125423692132767,5.472836071779738,19.39866499144448,40.85218239282105,520,2210,primary_integrated_screen,Host matrix at or below 40 C,0,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,27.808091341669183,1.2383373781235163,1,U-M,30.125379195058244,TRUE,FALSE,22.26,NA,Koch,NA,27.808091341669183,1.2383373781235163,U-M measured T47,0.15
CFB,PK95-SC-85,860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.55,NA,1,-8.34,NA,1,22.31,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_horizon_exclusion,NA,NA,FALSE,primary_integrated_screen,interpolated,29.484377601477306,5.472836071779738,18.757618900789016,40.211136302165585,520,2210,primary_integrated_screen,Host matrix at or below 40 C,0,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,NA,NA,0,NA,NA,FALSE,FALSE,22.31,NA,Koch,NA,29.484377601477306,5.472836071779738,modeled/interpolated T,0.15
CFB,PK95-SC-185,940,10.80595196,NA,NA,1,20.64325,NA,NA,1,-93.68403914,NA,NA,1,1,1,0,FALSE,1,0,singleton_provisional,sensitivity_only,12,12,23.52,12,12,10.864547127541702,20.857795648632216,3,27.35974799348268,3.6462940950640896,2.105188877329795,25.04156427668488,31.562682623622493,6.521118346937612,-9.10207936266469,-8.379056499030904,22.271946864584052,22A,"4611, 4695, 4744",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.413333333333334,0.21457969252574768,3,-8.190000000000001,0.16563010998406466,3,22.466666666666665,0.1722723941256336,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_horizon_exclusion,1,1,FALSE,primary_integrated_screen,interpolated,28.883356108736283,2.634295165533816,23.720137584290004,34.04657463318256,520,2210,primary_integrated_screen,Host matrix at or below 40 C,0,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,27.35974799348268,2.105188877329795,1,U-M,28.883432970271745,TRUE,FALSE,22.466666666666665,0.1722723941256336,Koch,NA,27.35974799348268,2.105188877329795,U-M measured T47,0.1722723941256336
CFB,PK95-SC-191,1015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.05,NA,1,-9.84,NA,1,20.77,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_horizon_exclusion,NA,NA,FALSE,primary_integrated_screen,interpolated,28.695179701830277,3.121629965252609,22.57678496993516,34.81357443372539,520,2210,primary_integrated_screen,Host matrix at or below 40 C,0,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,NA,NA,0,NA,NA,FALSE,FALSE,20.77,NA,Koch,NA,28.695179701830277,3.121629965252609,modeled/interpolated T,0.15
CFB,PK95-SC-179,1080,10.70388752,0.4523611546522747,0.31986764,2,20.448900015,0.8406944761616866,0.5944607650000009,2,-93.131688035,8.474471429823707,5.992356215,2,2,2,0,FALSE,2,11.984712430000002,replicated_concordant,primary,12,8.48528137423857,16.631151493507595,12,8.48528137423857,10.761379068607855,20.6594112299896,4,31.48245957566337,5.345784593787213,2.672892296893606,27.378900699658175,39.19681520572311,11.817914506064938,-7.58872167578256,-8.222344413618728,22.43350292055632,"22A, 22B","4706, 4850, 4851, 4852",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.945,0.04499999999999993,2,-8.445,0.27500000000000036,2,22.205,0.28499999999999837,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_horizon_exclusion,1,1,FALSE,primary_integrated_screen,interpolated,31.614630843375785,4.2515051409868985,23.281680767041465,39.947580919710106,520,2210,primary_integrated_screen,Host matrix at or below 40 C,0,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,31.48245957566337,2.672892296893606,1,U-M,31.61406918971535,TRUE,FALSE,22.205,0.28499999999999837,Koch,NA,31.48245957566337,2.672892296893606,U-M measured T47,0.28499999999999837
