section_id,MLA_horizon_id,strat_height_m,T_measured_C,T_measured_se_C,n_T_obs,T_sources,p_altered_preservation,p_altered_preservation_lower_sensitivity,p_altered_preservation_upper_sensitivity,alteration_evidence_class,probability_model_version,T_model_anchor_C
CFB,PK95-SC-246,520,41.32931889345995,2.94180411978437,1,U-M,0.45254492431440607,0.45254492431440607,0.45254492431440607,limited,BHB_d18O_trajectory_index_v2,43.81867976697626
CFB,PK95-SC-279,680,46.30804064049258,2.826324635914087,1,U-M,0.4154743496377199,0.4154743496377199,0.4154743496377199,limited,BHB_d18O_trajectory_index_v2,43.0160068380054
CFB,PK95-SC-187,700,41.410660980063675,4.716278301523275,1,U-M,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,38.81748784411367
CFB,PK95-SC-165,820,28.733761911784764,1.3477555299259931,1,U-M,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,33.225918741727256
CFB,PK95-SC-185,940,29.53333333333334,1.4437605218471812,1,U-M,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,29.75833790350531
CFB,PK95-SC-179,1080,31.00791846539783,2.542759980621864,1,U-M,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,32.18041726624372
CFB,SNELL-PB-00-02-32,1120,36,3.8,1,Caltech,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,35.56930615513261
CFB,SNELL-PB-00-02-32-2,1120,39.7,3.2,1,Caltech,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,34.762499833817465
CFB,PK95-SC-92,1210,28.587499501452392,2.2382451698648707,1,U-M,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,33.229166500484126
CFB,SNELL-SC-188,1280,31.399999999999995,6.1,1,Caltech,0.3883595007034969,0.3883595007034969,0.3883595007034969,limited,BHB_d18O_trajectory_index_v2,30.395833167150794
CFB,SNELL-SC-62,1305,31.2,4.3,1,Caltech,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,33.120042690911596
CFB,PK95-SC-118up,1325,36.760128072734794,1.5838831595200955,1,U-M,0.5726289254348917,0.5726289254348917,0.5726289254348917,substantial,BHB_d18O_trajectory_index_v2,37.234060251687865
CFB,PK95-SC-176,1355,43.742052682328804,2.1964863029504302,1,U-M,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,38.8775458351752
CFB,PK95-SC-50,1425,36.130456750462,1.6360927068793003,1,U-M,0.4099969897825794,0.4099969897825794,0.4099969897825794,limited,BHB_d18O_trajectory_index_v2,32.2897265863565
CFB,PB-00-03-08,1494.4,16.996670326278696,2.1559551098178256,2,"CU, U-M",0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,29.05348680335801
CFB,PK95-SC-23,1495,34.03333333333333,2.318284806585343,1,U-M,0.05589147406921217,0.05589147406921217,0.05589147406921217,low,BHB_d18O_trajectory_index_v2,24.789125831197683
CFB,PK95-SC-80-n1,1495,23.33737383398102,7.337373833981021,1,U-M,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,26.906902389104783
CFB,PK95-SC-80-n2,1495,23.35,2.25,1,U-M,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,25.11277357019155
CFB,PB-00-03-10,1495.4,28.650946876593633,1.436074552656968,2,"CU, U-M",0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,26.566982292197878
CFB,PB-00-03-11,1498.5,27.7,2.1,1,CU,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,28.18364895886454
CFB,PB-00-03-13,1500.3,28.199999999999996,1.8,1,CU,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,29.23333333333333
CFB,PB-00-03-14,1504.9,31.799999999999997,1.9,1,CU,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,31.041098955788268
CFB,PB-00-03-16,1507.4,33.12329686736481,1.1223177351677862,2,"CU, U-M",0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,33.84109895578827
CFB,PB-00-03-17,1507.8,36.6,2.4,1,CU,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,34.3744322891216
CFB,PB-00-01-07,1508.7,33.4,1.9,1,CU,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,35.1
CFB,PB-00-03-20,1512.3,35.3,1.9,1,CU,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,35.166666666666664
CFB,PB-00-02-02,1520.5,36.8,2.5,1,Caltech,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,37.5
CFB,SNELL-SC-351-n1,1524,40.4,6.4,1,Caltech,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,39.73535136541524
CFB,PK95-SC-27,1525,42.00605409624573,3.09910577716666,1,U-M,0.6814786468479554,0.6814786468479554,0.6814786468479554,substantial,BHB_d18O_trajectory_index_v2,38.26868469874857
CFB,PB-00-02-07D,1526.3,32.4,2.2,1,CU,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,37.677269716070406
