section_id,MLA_horizon_id,strat_height_m,temperature_model_position,T_model_C,T_model_se_C,T_model_lower95_C,T_model_upper95_C,model_min_strat_height_m,model_max_strat_height_m,screening_scenario_id,screening_scenario,n_excluded_observations,n_horizons_with_excluded_observations,n_excluded_horizons,uncertainty_method,extrapolation_policy,T_measured_C,T_measured_se_C,n_T_obs,T_sources,T_model_anchor_C,has_measured_T47
CFB,PK95-SC-246,520,interpolated,37.035030070386355,5.504628568616589,26.24595807589784,47.82410206487487,520,2210,primary_integrated_screen,Host matrix at or below 40 C,4,4,4,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,38.86174954939444,2.1126525679063968,1,U-M,37.03502389970865,TRUE
CFB,PK95-SC-242,590,interpolated,36.23002427415111,5.504628568616589,25.440952279662596,47.01909626863963,520,2210,primary_integrated_screen,Host matrix at or below 40 C,4,4,4,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,NA,NA,0,NA,NA,FALSE
CFB,PK95-SC-279,680,interpolated,34.522495201447065,5.504628568616589,23.73342320695855,45.31156719593558,520,2210,primary_integrated_screen,Host matrix at or below 40 C,4,4,4,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,NA,NA,0,NA,NA,FALSE
CFB,PK95-SC-187,700,interpolated,33.959349290055044,5.504628568616589,23.170277295566528,44.74842128454356,520,2210,primary_integrated_screen,Host matrix at or below 40 C,4,4,4,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,35.208298250022864,8.63939927995304,1,U-M,33.9593797136955,TRUE
CFB,PK95-SC-198,760,interpolated,31.919515964531264,5.472836071779738,21.192757263842978,42.64627466521955,520,2210,primary_integrated_screen,Host matrix at or below 40 C,4,4,4,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,NA,NA,0,NA,NA,FALSE
CFB,PK95-SC-165,820,interpolated,30.125423692132767,5.472836071779738,19.39866499144448,40.85218239282105,520,2210,primary_integrated_screen,Host matrix at or below 40 C,4,4,4,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,27.808091341669183,1.2383373781235163,1,U-M,30.125379195058244,TRUE
CFB,PK95-SC-85,860,interpolated,29.484377601477302,5.472836071779738,18.757618900789016,40.211136302165585,520,2210,primary_integrated_screen,Host matrix at or below 40 C,4,4,4,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,NA,NA,0,NA,NA,FALSE
CFB,PK95-SC-185,940,interpolated,28.883356108736283,2.634295165533816,23.720137584290004,34.04657463318256,520,2210,primary_integrated_screen,Host matrix at or below 40 C,4,4,4,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,27.35974799348268,2.105188877329795,1,U-M,28.883432970271745,TRUE
CFB,PK95-SC-191,1015,interpolated,28.695179701830277,3.121629965252609,22.57678496993516,34.81357443372539,520,2210,primary_integrated_screen,Host matrix at or below 40 C,4,4,4,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,NA,NA,0,NA,NA,FALSE
CFB,PK95-SC-179,1080,interpolated,31.614630843375785,4.2515051409868985,23.281680767041465,39.947580919710106,520,2210,primary_integrated_screen,Host matrix at or below 40 C,4,4,4,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,31.48245957566337,2.672892296893606,1,U-M,31.61406918971535,TRUE
