section_id,MLA_horizon_id,strat_height_m,source,T_C,T_se_C,d18Ocarb_vsmow,temperature_plausibility,passes_primary_integrated_screen,passes_caution_inclusive_screen,temperature_screen_reason,T_se_imputed,weight,used_in_primary_temperature_model
CFB,PK95-SC-246,520,U-M,38.861749549394446,2.1126525679063968,21.2355483738653,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature,FALSE,0.2240494263160021,TRUE
CFB,PK95-SC-242,590,U-M,49.30261569083069,1.573646851827444,16.856707603953605,fail_primary_temperature,FALSE,FALSE,Above 45 C; not credible as a primary soil-formation temperature,FALSE,0.4038177879794119,FALSE
CFB,PK95-SC-279,680,U-M,41.835528870997734,4.559688667354823,21.510662709713596,caution,FALSE,TRUE,Above 40 C but at or below 45 C; retained only in sensitivity model,FALSE,0.048098288097845374,FALSE
CFB,PK95-SC-187,700,U-M,35.208298250022864,8.63939927995304,22.2466636158198,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature,FALSE,0.013397782038619209,TRUE
CFB,PK95-SC-165,820,U-M,27.808091341669183,1.2383373781235163,22.39043807361901,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature,FALSE,0.6521117659170136,TRUE
CFB,PK95-SC-185,940,U-M,27.35974799348268,2.105188877329795,22.271946864584052,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature,FALSE,0.22564092241752914,TRUE
CFB,PK95-SC-179,1080,U-M,31.48245957566337,2.672892296893606,22.43350292055632,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature,FALSE,0.13997068281700545,TRUE
CFB,SNELL-PB-00-02-32,1120,Caltech,36,3.8,22.3,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature,FALSE,0.06925207756232687,TRUE
CFB,SNELL-PB-00-02-32-2,1120,Caltech,39.7,3.2,22.6,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature,FALSE,0.09765624999999999,TRUE
CFB,PK95-SC-92,1210,U-M,27.49504772685278,1.4895988291597029,22.43324568662291,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature,FALSE,0.45067280838770113,TRUE
CFB,SNELL-SC-188,1280,Caltech,31.4,6.1,21.4,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature,FALSE,0.02687449610319807,TRUE
CFB,SNELL-SC-62,1305,Caltech,31.2,4.3,22.6,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature,FALSE,0.05408328826392645,TRUE
CFB,PK95-SC-118up,1325,U-M,35.97504151196699,1.6559871493799625,20.93827254793912,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature,FALSE,0.36465827683156454,TRUE
CFB,PK95-SC-176,1355,U-M,39.42707902288216,2.5586652932149594,22.26175039263223,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature,FALSE,0.1527471245914604,TRUE
CFB,PK95-SC-50,1425,U-M,31.78470434115952,2.297637917542472,21.156728815189105,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature,FALSE,0.18942479266993895,TRUE
