CU_sample_id,MLA_sample_id,MLA_horizon_id,section_id,strat_height_m,CU_mean_d13Ccarb_vpdb,CU_mean_d18Ocarb_vpdb,CU_se_d18Ocarb_vpdb,CU_mean_d18Ocarb_vsmow,CU_mean_D47_ICDES,CU_se_D47_ICDES,CU_mean_T47_C,CU_2se_T47_C,CU_mean_d18Ow_vsmow,CU_se_d18Ow_vsmow
PB-00-04-16,PB-00-04-16,PB-00-04-16,CFB,1594.2,-9.20531781,-8.692327342,0.066496403,21.95890589658536,0.61687479,0.005674388,17.5,3.4,-7.9,0.4
PB-00-04-14,PB-00-04-14,PB-00-04-14,CFB,1574.7,-8.35497008,-8.206350292,0.054004984,22.45990935697136,0.601624107,0.004326326,22.4,3.2,-6.4,0.3
PB-00-02-21,PB-00-02-21,PB-00-02-21,CFB,1549,-9.961553311,-8.512886112,NA,22.14389544941696,0.574681602,NA,31.7,NA,-4.8,NA
PB-00-02-19,PB-00-02-19,PB-00-02-19,CFB,1545.1,-9.363531532,-8.39028023,0.02982413,22.2702923052884,0.59349061,0.009264559,25.1,5,-6,0.5
PB-00-02-09L,PB-00-02-09L,PB-00-02-09L,CFB,1530.5,-12.84085808,-7.8678138,0.072516375,22.808913397304003,0.58734529,0.004809248,27.2,3.6,-5.1,0.4
PB-00-02-07D,PB-00-02-07D,PB-00-02-07D,CFB,1526.3,-14.0358954,-7.531194091,0.032992648,23.15594138770628,0.572796876,0.006240161,32.4,4.4,-3.7,0.5
PB-00-03-20,PB-00-03-20,PB-00-03-20,CFB,1512.3,-14.49982912,-8.01233627,0.010430627,22.6599222925316,0.564882475,0.004011078,35.3,3.8,-3.6,0.4
PB-00-01-07,PB-00-01-07,PB-00-01-07,CFB,1508.7,-14.63455875,-7.784336778,0.067027511,22.894971528824243,0.570113875,0.004544077,33.4,3.8,-3.8,0.4
PB-00-03-17,PB-00-03-17,PB-00-03-17,CFB,1507.8,-14.94855745,-7.704695354,0.097055277,22.977075465654323,0.56147866,0.007038426,36.6,4.8,-3.1,0.5
PB-00-03-16,PB-00-03-16,PB-00-03-16,CFB,1507.4,-14.65522362,-7.830779304,0.118200551,22.84709299992032,0.567372939,0.003250028,34.4,3.6,-3.6,0.3
PB-00-03-14,PB-00-03-14,PB-00-03-14,CFB,1504.9,-12.85556148,-8.368606213,0.104848633,22.29263648289404,0.574361129,0.005036208,31.8,3.8,-4.7,0.4
PB-00-03-13,PB-00-03-13,PB-00-03-13,CFB,1500.3,-9.924835243,-7.792179248,0.075409558,22.886886569651843,0.584453852,0.004538279,28.2,3.6,-4.8,0.4
PB-00-03-11,PB-00-03-11,PB-00-03-11,CFB,1498.5,-9.570683039,-8.183042688,0.033071242,22.48393763208704,0.585868693,0.007006512,27.7,4.2,-5.3,0.4
PB-00-03-10,PB-00-03-10,PB-00-03-10,CFB,1495.4,-9.486684865,-8.343812606,0.04297839,22.31819670822248,0.580496341,0.003360098,29.6,3.4,-5.1,0.4
PB-00-03-08,PB-00-03-08,PB-00-03-08,CFB,1494.4,-9.112717832,-7.684135508,0.070237933,22.99827102209264,0.619039024,0.009275489,16.8,4.6,-7,0.5
