experiment,co2_multiple,month,month_name,season,d18O_precip_permil_vsmow,precip_mm_month,n_grid_cells,experiment_label
3x_orbmaxn,3,1,Jan,DJF,-16.610773043057915,22.44701833874086,4,3x PI CO2
3x_orbmaxn,3,2,Feb,DJF,-16.413021853955655,29.840833879413164,4,3x PI CO2
3x_orbmaxn,3,3,Mar,MAM,-15.38757546531877,51.15960323056612,4,3x PI CO2
3x_orbmaxn,3,4,Apr,MAM,-13.050804855775478,79.98414820065136,4,3x PI CO2
3x_orbmaxn,3,5,May,MAM,-10.621396068833167,136.55983570188823,4,3x PI CO2
3x_orbmaxn,3,6,Jun,JJA,-9.068645077901948,77.94348608936019,4,3x PI CO2
3x_orbmaxn,3,7,Jul,JJA,-8.534211691129778,58.27691032305182,4,3x PI CO2
3x_orbmaxn,3,8,Aug,JJA,-8.813085025208945,119.79731047322416,4,3x PI CO2
3x_orbmaxn,3,9,Sep,SON,-11.893449082552742,112.34759605827094,4,3x PI CO2
3x_orbmaxn,3,10,Oct,SON,-14.760436504382746,32.92495545563767,4,3x PI CO2
3x_orbmaxn,3,11,Nov,SON,-15.294977194925895,15.862703450525428,4,3x PI CO2
3x_orbmaxn,3,12,Dec,DJF,-16.234485382347508,20.58925573370715,4,3x PI CO2
3x_orbmaxs,3,1,Jan,DJF,-16.622914056130146,30.703105291048864,4,3x PI CO2
3x_orbmaxs,3,2,Feb,DJF,-14.961681617721489,27.499569824485093,4,3x PI CO2
3x_orbmaxs,3,3,Mar,MAM,-13.406466479162994,48.033852156592616,4,3x PI CO2
3x_orbmaxs,3,4,Apr,MAM,-12.102415043233506,85.63427931562728,4,3x PI CO2
3x_orbmaxs,3,5,May,MAM,-11.090182094173006,124.25382252061468,4,3x PI CO2
3x_orbmaxs,3,6,Jun,JJA,-10.533629909602272,127.93548655665175,4,3x PI CO2
3x_orbmaxs,3,7,Jul,JJA,-10.450672049908905,107.55968270288464,4,3x PI CO2
3x_orbmaxs,3,8,Aug,JJA,-11.35498906044974,123.42996124861116,4,3x PI CO2
3x_orbmaxs,3,9,Sep,SON,-13.071296742086956,158.6415037735378,4,3x PI CO2
3x_orbmaxs,3,10,Oct,SON,-14.54008509293092,94.585700200156,4,3x PI CO2
3x_orbmaxs,3,11,Nov,SON,-15.465193081292018,35.7660891463496,4,3x PI CO2
3x_orbmaxs,3,12,Dec,DJF,-15.577543413601402,32.04454585791217,4,3x PI CO2
3x_orbmin,3,1,Jan,DJF,-15.953547903152398,28.93937100602109,4,3x PI CO2
3x_orbmin,3,2,Feb,DJF,-15.71279388154212,33.67967675309558,4,3x PI CO2
3x_orbmin,3,3,Mar,MAM,-14.749266094775004,48.09110968171382,4,3x PI CO2
3x_orbmin,3,4,Apr,MAM,-12.798077171459422,79.14588280755197,4,3x PI CO2
3x_orbmin,3,5,May,MAM,-11.02845175523659,132.15093058889238,4,3x PI CO2
3x_orbmin,3,6,Jun,JJA,-10.128416407155784,145.89331566838837,4,3x PI CO2
3x_orbmin,3,7,Jul,JJA,-9.718130479282385,123.5769434861922,4,3x PI CO2
3x_orbmin,3,8,Aug,JJA,-10.807257475748957,163.5725058314108,4,3x PI CO2
3x_orbmin,3,9,Sep,SON,-13.413863973763984,148.93849520092317,4,3x PI CO2
3x_orbmin,3,10,Oct,SON,-14.288989944609476,56.52123387562824,4,3x PI CO2
3x_orbmin,3,11,Nov,SON,-15.189174895301694,29.357314263567247,4,3x PI CO2
3x_orbmin,3,12,Dec,DJF,-15.828099852467581,31.33643215254313,4,3x PI CO2
3x_orbmod,3,1,Jan,DJF,-16.02933544081764,35.41770858802619,4,3x PI CO2
3x_orbmod,3,2,Feb,DJF,-15.528878652313116,35.127334106688224,4,3x PI CO2
3x_orbmod,3,3,Mar,MAM,-14.43687162336138,54.6297393546169,4,3x PI CO2
3x_orbmod,3,4,Apr,MAM,-12.727867477784203,89.06556535492882,4,3x PI CO2
3x_orbmod,3,5,May,MAM,-11.252330319863614,140.91685290651412,4,3x PI CO2
3x_orbmod,3,6,Jun,JJA,-9.952130879049667,114.02439072938364,4,3x PI CO2
3x_orbmod,3,7,Jul,JJA,-10.047429891610449,96.46783324077646,4,3x PI CO2
3x_orbmod,3,8,Aug,JJA,-10.758807683321267,145.48637758196037,4,3x PI CO2
3x_orbmod,3,9,Sep,SON,-12.647253796873258,138.50576110030488,4,3x PI CO2
3x_orbmod,3,10,Oct,SON,-14.138276379906278,64.97763343382701,4,3x PI CO2
3x_orbmod,3,11,Nov,SON,-15.359576285071784,36.66605535390666,4,3x PI CO2
3x_orbmod,3,12,Dec,DJF,-15.865499599821751,35.383495562401905,4,3x PI CO2
6x_orbmaxn,6,1,Jan,DJF,-16.45412196149154,23.065532215180152,4,6x PI CO2
6x_orbmaxn,6,2,Feb,DJF,-16.06287514502769,33.292834042431,4,6x PI CO2
6x_orbmaxn,6,3,Mar,MAM,-13.907491526344629,44.257529973634746,4,6x PI CO2
6x_orbmaxn,6,4,Apr,MAM,-11.35172137899254,94.91739432831992,4,6x PI CO2
6x_orbmaxn,6,5,May,MAM,-8.350866987726025,136.8607941344635,4,6x PI CO2
6x_orbmaxn,6,6,Jun,JJA,-7.926191875926691,30.94609083387212,4,6x PI CO2
6x_orbmaxn,6,7,Jul,JJA,-6.599469422574056,52.70478542316326,4,6x PI CO2
6x_orbmaxn,6,8,Aug,JJA,-7.018340472555229,83.03062208581125,4,6x PI CO2
6x_orbmaxn,6,9,Sep,SON,-10.180969073094404,162.14409053816323,4,6x PI CO2
6x_orbmaxn,6,10,Oct,SON,-13.435424531013096,42.71964527085004,4,6x PI CO2
6x_orbmaxn,6,11,Nov,SON,-14.781540153884997,16.846653983826343,4,6x PI CO2
6x_orbmaxn,6,12,Dec,DJF,-15.899562582257666,18.293937131087443,4,6x PI CO2
6x_orbmaxs,6,1,Jan,DJF,-15.570446329940646,23.984524005134233,4,6x PI CO2
6x_orbmaxs,6,2,Feb,DJF,-14.0649692016771,23.467701634771743,4,6x PI CO2
6x_orbmaxs,6,3,Mar,MAM,-11.754746825452855,51.46144943779518,4,6x PI CO2
6x_orbmaxs,6,4,Apr,MAM,-10.146846080015814,93.67335336207816,4,6x PI CO2
6x_orbmaxs,6,5,May,MAM,-8.713654018130512,151.92411376929726,4,6x PI CO2
6x_orbmaxs,6,6,Jun,JJA,-8.028261708759477,88.96138822400701,4,6x PI CO2
6x_orbmaxs,6,7,Jul,JJA,-9.559999490933002,44.79225678646337,4,6x PI CO2
6x_orbmaxs,6,8,Aug,JJA,-10.503756755645966,75.22722003727722,4,6x PI CO2
6x_orbmaxs,6,9,Sep,SON,-11.140121577739803,123.0631552182615,4,6x PI CO2
6x_orbmaxs,6,10,Oct,SON,-13.16012852690318,130.58780073293974,4,6x PI CO2
6x_orbmaxs,6,11,Nov,SON,-14.159105572976394,48.35795666302545,4,6x PI CO2
6x_orbmaxs,6,12,Dec,DJF,-15.437809126802373,32.085730211589556,4,6x PI CO2
6x_orbmin,6,1,Jan,DJF,-15.41249093151109,22.753994513668996,4,6x PI CO2
6x_orbmin,6,2,Feb,DJF,-14.009523820581071,19.627570779867657,4,6x PI CO2
6x_orbmin,6,3,Mar,MAM,-12.061575830332515,43.341112209560606,4,6x PI CO2
6x_orbmin,6,4,Apr,MAM,-10.545975058166457,90.18909868530044,4,6x PI CO2
6x_orbmin,6,5,May,MAM,-8.84386175499663,137.3572538973633,4,6x PI CO2
6x_orbmin,6,6,Jun,JJA,-7.606296096942855,87.26722175289581,4,6x PI CO2
6x_orbmin,6,7,Jul,JJA,-9.001392330755698,40.301866940106734,4,6x PI CO2
6x_orbmin,6,8,Aug,JJA,-9.767328701765445,88.40365188529375,4,6x PI CO2
6x_orbmin,6,9,Sep,SON,-11.53146910683789,148.37241400300627,4,6x PI CO2
6x_orbmin,6,10,Oct,SON,-13.365667171360784,83.80183145177966,4,6x PI CO2
6x_orbmin,6,11,Nov,SON,-14.434318806692993,33.44695873863657,4,6x PI CO2
6x_orbmin,6,12,Dec,DJF,-14.884820839097143,18.874411338429265,4,6x PI CO2
6x_orbmod,6,1,Jan,DJF,-15.243549794391797,20.07688295036225,4,6x PI CO2
6x_orbmod,6,2,Feb,DJF,-14.952812509462564,21.45350233142551,4,6x PI CO2
6x_orbmod,6,3,Mar,MAM,-12.226445043755806,42.15535066300902,4,6x PI CO2
6x_orbmod,6,4,Apr,MAM,-10.264934957358252,87.30834966996781,4,6x PI CO2
6x_orbmod,6,5,May,MAM,-8.674224469869984,136.65762442940377,4,6x PI CO2
