co2_multiple,experiment_label,month,month_name,d18O_mean,d18O_min,d18O_max,d18O_range,precip_mean_mm
3,3x PI CO2,1,Jan,-16.304142610789526,-16.622914056130146,-15.953547903152398,0.6693661529777479,29.37680080595925
3,3x PI CO2,2,Feb,-15.654094001383095,-16.413021853955655,-14.961681617721489,1.4513402362341665,31.536853640920516
3,3x PI CO2,3,Mar,-14.495044915654537,-15.38757546531877,-13.406466479162994,1.9811089861557765,50.478576105872364
3,3x PI CO2,4,Apr,-12.669791137063152,-13.050804855775478,-12.102415043233506,0.9483898125419721,83.45746891968986
3,3x PI CO2,5,May,-10.998090059526595,-11.252330319863614,-10.621396068833167,0.6309342510304461,133.47036042947735
3,3x PI CO2,6,Jun,-9.920705568427419,-10.533629909602272,-9.068645077901948,1.464984831700324,116.44916976094599
3,3x PI CO2,7,Jul,-9.687611027982879,-10.450672049908905,-8.534211691129778,1.9164603587791262,96.47034243822628
3,3x PI CO2,8,Aug,-10.433534811182227,-11.35498906044974,-8.813085025208945,2.541904035240794,138.07153878380163
3,3x PI CO2,9,Sep,-12.756465898819235,-13.413863973763984,-11.893449082552742,1.5204148912112423,139.6083390332592
3,3x PI CO2,10,Oct,-14.431946980457354,-14.760436504382746,-14.138276379906278,0.6221601244764674,62.25238074131223
3,3x PI CO2,11,Nov,-15.327230364147848,-15.465193081292018,-15.189174895301694,0.2760181859903241,29.413040553587233
3,3x PI CO2,12,Dec,-15.87640706205956,-16.234485382347508,-15.577543413601402,0.6569419687461053,29.83843232664109
6,6x PI CO2,1,Jan,-15.670152254333768,-16.45412196149154,-15.243549794391797,1.2105721670997447,22.47023342108641
6,6x PI CO2,2,Feb,-14.772545169187106,-16.06287514502769,-14.009523820581071,2.053351324446618,24.460402197123976
6,6x PI CO2,3,Mar,-12.48756480647145,-13.907491526344629,-11.754746825452855,2.1527447008917733,45.30386057099989
6,6x PI CO2,4,Apr,-10.577369368633265,-11.35172137899254,-10.146846080015814,1.2048752989767255,91.52204901141658
6,6x PI CO2,5,May,-8.645651807680787,-8.84386175499663,-8.350866987726025,0.4929947672706039,140.69994655763196
6,6x PI CO2,6,Jun,-7.824382108672756,-8.028261708759477,-7.606296096942855,0.4219656118166215,68.85212290907994
6,6x PI CO2,7,Jul,-8.740693553168866,-9.801912968412708,-6.599469422574056,3.202443545838652,43.457756800147074
6,6x PI CO2,8,Aug,-9.376907021031723,-10.503756755645966,-7.018340472555229,3.4854162830907374,81.75967470667177
6,6x PI CO2,9,Sep,-10.971737069425641,-11.53146910683789,-10.180969073094404,1.3505000337434847,142.5480855354877
6,6x PI CO2,10,Oct,-13.342061322672043,-13.435424531013096,-13.16012852690318,0.27529600410991684,88.85677401631042
6,6x PI CO2,11,Nov,-14.490728487405068,-14.781540153884997,-14.159105572976394,0.6224345809086032,33.66152667005906
6,6x PI CO2,12,Dec,-15.358182775893848,-15.899562582257666,-14.884820839097143,1.0147417431605223,23.89531495571402
