experiment,month,soil_layer_center_m,d18O_soil_water_permil_vsmow,co2_multiple,experiment_label,month_name
3x_orbmaxn,1,0.3660658001899719,-10.642022132873535,3,3x PI CO2,Jan
3x_orbmaxn,2,0.3660658001899719,-10.96494483947754,3,3x PI CO2,Feb
3x_orbmaxn,3,0.3660658001899719,-11.427924156188965,3,3x PI CO2,Mar
3x_orbmaxn,4,0.3660658001899719,-11.824533462524414,3,3x PI CO2,Apr
3x_orbmaxn,5,0.3660658001899719,-11.759668350219728,3,3x PI CO2,May
3x_orbmaxn,6,0.3660658001899719,-11.426671981811523,3,3x PI CO2,Jun
3x_orbmaxn,7,0.3660658001899719,-11.34119987487793,3,3x PI CO2,Jul
3x_orbmaxn,8,0.3660658001899719,-11.148959159851074,3,3x PI CO2,Aug
3x_orbmaxn,9,0.3660658001899719,-10.163679122924805,3,3x PI CO2,Sep
3x_orbmaxn,10,0.3660658001899719,-10.221883773803713,3,3x PI CO2,Oct
3x_orbmaxn,11,0.3660658001899719,-10.373324394226074,3,3x PI CO2,Nov
3x_orbmaxn,12,0.3660658001899719,-10.490745544433594,3,3x PI CO2,Dec
3x_orbmaxs,1,0.3660658001899719,-11.57197380065918,3,3x PI CO2,Jan
3x_orbmaxs,2,0.3660658001899719,-11.898130416870115,3,3x PI CO2,Feb
3x_orbmaxs,3,0.3660658001899719,-12.190759658813477,3,3x PI CO2,Mar
3x_orbmaxs,4,0.3660658001899719,-12.2300386428833,3,3x PI CO2,Apr
3x_orbmaxs,5,0.3660658001899719,-11.853397369384766,3,3x PI CO2,May
3x_orbmaxs,6,0.3660658001899719,-11.25812530517578,3,3x PI CO2,Jun
3x_orbmaxs,7,0.3660658001899719,-10.860576629638672,3,3x PI CO2,Jul
3x_orbmaxs,8,0.3660658001899719,-10.617107391357422,3,3x PI CO2,Aug
3x_orbmaxs,9,0.3660658001899719,-10.40947437286377,3,3x PI CO2,Sep
3x_orbmaxs,10,0.3660658001899719,-10.764345169067385,3,3x PI CO2,Oct
3x_orbmaxs,11,0.3660658001899719,-11.16517162322998,3,3x PI CO2,Nov
3x_orbmaxs,12,0.3660658001899719,-11.341705322265623,3,3x PI CO2,Dec
3x_orbmin,1,0.3660658001899719,-11.120319366455078,3,3x PI CO2,Jan
3x_orbmin,2,0.3660658001899719,-11.447802543640137,3,3x PI CO2,Feb
3x_orbmin,3,0.3660658001899719,-11.817336082458496,3,3x PI CO2,Mar
3x_orbmin,4,0.3660658001899719,-12.0106782913208,3,3x PI CO2,Apr
3x_orbmin,5,0.3660658001899719,-11.762574195861816,3,3x PI CO2,May
3x_orbmin,6,0.3660658001899719,-11.109992980957031,3,3x PI CO2,Jun
3x_orbmin,7,0.3660658001899719,-10.558337211608888,3,3x PI CO2,Jul
3x_orbmin,8,0.3660658001899719,-9.994104385375977,3,3x PI CO2,Aug
3x_orbmin,9,0.3660658001899719,-9.973272323608398,3,3x PI CO2,Sep
3x_orbmin,10,0.3660658001899719,-10.473698616027832,3,3x PI CO2,Oct
3x_orbmin,11,0.3660658001899719,-10.713129997253418,3,3x PI CO2,Nov
3x_orbmin,12,0.3660658001899719,-10.889142990112305,3,3x PI CO2,Dec
3x_orbmod,1,0.3660658001899719,-11.251553535461426,3,3x PI CO2,Jan
3x_orbmod,2,0.3660658001899719,-11.703998565673828,3,3x PI CO2,Feb
3x_orbmod,3,0.3660658001899719,-12.128576278686523,3,3x PI CO2,Mar
3x_orbmod,4,0.3660658001899719,-12.302056312561035,3,3x PI CO2,Apr
3x_orbmod,5,0.3660658001899719,-12.091354370117188,3,3x PI CO2,May
3x_orbmod,6,0.3660658001899719,-11.518552780151367,3,3x PI CO2,Jun
3x_orbmod,7,0.3660658001899719,-11.199071884155272,3,3x PI CO2,Jul
3x_orbmod,8,0.3660658001899719,-10.756387710571287,3,3x PI CO2,Aug
3x_orbmod,9,0.3660658001899719,-10.257184982299805,3,3x PI CO2,Sep
3x_orbmod,10,0.3660658001899719,-10.437995910644531,3,3x PI CO2,Oct
3x_orbmod,11,0.3660658001899719,-10.70997142791748,3,3x PI CO2,Nov
3x_orbmod,12,0.3660658001899719,-10.93924045562744,3,3x PI CO2,Dec
6x_orbmaxn,1,0.3660658001899719,-10.082439422607422,6,6x PI CO2,Jan
6x_orbmaxn,2,0.3660658001899719,-10.372519493103027,6,6x PI CO2,Feb
6x_orbmaxn,3,0.3660658001899719,-10.711326599121094,6,6x PI CO2,Mar
6x_orbmaxn,4,0.3660658001899719,-10.805010795593262,6,6x PI CO2,Apr
6x_orbmaxn,5,0.3660658001899719,-10.661378860473633,6,6x PI CO2,May
6x_orbmaxn,6,0.3660658001899719,-10.45127296447754,6,6x PI CO2,Jun
6x_orbmaxn,7,0.3660658001899719,-10.39365005493164,6,6x PI CO2,Jul
6x_orbmaxn,8,0.3660658001899719,-10.31208038330078,6,6x PI CO2,Aug
6x_orbmaxn,9,0.3660658001899719,-9.7090606689453125,6,6x PI CO2,Sep
6x_orbmaxn,10,0.3660658001899719,-9.657487869262695,6,6x PI CO2,Oct
6x_orbmaxn,11,0.3660658001899719,-9.794727325439451,6,6x PI CO2,Nov
6x_orbmaxn,12,0.3660658001899719,-9.89435577392578,6,6x PI CO2,Dec
6x_orbmaxs,1,0.3660658001899719,-10.954245567321776,6,6x PI CO2,Jan
6x_orbmaxs,2,0.3660658001899719,-11.124223709106444,6,6x PI CO2,Feb
6x_orbmaxs,3,0.3660658001899719,-11.187255859375,6,6x PI CO2,Mar
6x_orbmaxs,4,0.3660658001899719,-11.110485076904297,6,6x PI CO2,Apr
6x_orbmaxs,5,0.3660658001899719,-10.61098289489746,6,6x PI CO2,May
6x_orbmaxs,6,0.3660658001899719,-9.914667129516602,6,6x PI CO2,Jun
6x_orbmaxs,7,0.3660658001899719,-9.888261795043944,6,6x PI CO2,Jul
6x_orbmaxs,8,0.3660658001899719,-10.020240783691406,6,6x PI CO2,Aug
6x_orbmaxs,9,0.3660658001899719,-9.960532188415527,6,6x PI CO2,Sep
6x_orbmaxs,10,0.3660658001899719,-9.903461456298828,6,6x PI CO2,Oct
6x_orbmaxs,11,0.3660658001899719,-10.37035846710205,6,6x PI CO2,Nov
6x_orbmaxs,12,0.3660658001899719,-10.75717830657959,6,6x PI CO2,Dec
6x_orbmin,1,0.3660658001899719,-10.614828109741213,6,6x PI CO2,Jan
6x_orbmin,2,0.3660658001899719,-10.730460166931152,6,6x PI CO2,Feb
6x_orbmin,3,0.3660658001899719,-10.812908172607422,6,6x PI CO2,Mar
6x_orbmin,4,0.3660658001899719,-10.823637962341309,6,6x PI CO2,Apr
6x_orbmin,5,0.3660658001899719,-10.51430320739746,6,6x PI CO2,May
6x_orbmin,6,0.3660658001899719,-9.986087799072266,6,6x PI CO2,Jun
6x_orbmin,7,0.3660658001899719,-9.9409818649292,6,6x PI CO2,Jul
6x_orbmin,8,0.3660658001899719,-9.976923942565918,6,6x PI CO2,Aug
6x_orbmin,9,0.3660658001899719,-9.691744804382324,6,6x PI CO2,Sep
6x_orbmin,10,0.3660658001899719,-10.012149810791016,6,6x PI CO2,Oct
6x_orbmin,11,0.3660658001899719,-10.320931434631348,6,6x PI CO2,Nov
6x_orbmin,12,0.3660658001899719,-10.46934700012207,6,6x PI CO2,Dec
6x_orbmod,1,0.3660658001899719,-10.881081581115724,6,6x PI CO2,Jan
6x_orbmod,2,0.3660658001899719,-11.019915580749512,6,6x PI CO2,Feb
6x_orbmod,3,0.3660658001899719,-11.111125946044922,6,6x PI CO2,Mar
6x_orbmod,4,0.3660658001899719,-11.09506130218506,6,6x PI CO2,Apr
6x_orbmod,5,0.3660658001899719,-10.6639404296875,6,6x PI CO2,May
6x_orbmod,6,0.3660658001899719,-10.146110534667969,6,6x PI CO2,Jun
6x_orbmod,7,0.3660658001899719,-10.196834564208984,6,6x PI CO2,Jul
6x_orbmod,8,0.3660658001899719,-10.262996673583984,6,6x PI CO2,Aug
6x_orbmod,9,0.3660658001899719,-9.98060417175293,6,6x PI CO2,Sep
6x_orbmod,10,0.3660658001899719,-10.10395622253418,6,6x PI CO2,Oct
6x_orbmod,11,0.3660658001899719,-10.451078414916992,6,6x PI CO2,Nov
6x_orbmod,12,0.3660658001899719,-10.702089309692385,6,6x PI CO2,Dec
