co2_multiple,experiment_label,month,month_name,d18O_mean,d18O_min,d18O_max,d18O_range
3,3x PI CO2,1,Jan,-11.146467208862305,-11.57197380065918,-10.642022132873535,0.9299516677856445
3,3x PI CO2,2,Feb,-11.503719091415405,-11.898130416870115,-10.96494483947754,0.9331855773925746
3,3x PI CO2,3,Mar,-11.891149044036865,-12.190759658813477,-11.427924156188965,0.7628355026245117
3,3x PI CO2,4,Apr,-12.091826677322388,-12.302056312561035,-11.824533462524414,0.4775228500366211
3,3x PI CO2,5,May,-11.866748571395874,-12.091354370117188,-11.759668350219728,0.33168601989745916
3,3x PI CO2,6,Jun,-11.328335762023926,-11.518552780151367,-11.109992980957031,0.40855979919433594
3,3x PI CO2,7,Jul,-10.98979640007019,-11.34119987487793,-10.558337211608888,0.7828626632690412
3,3x PI CO2,8,Aug,-10.62913966178894,-11.148959159851074,-9.994104385375977,1.1548547744750977
3,3x PI CO2,9,Sep,-10.200902700424194,-10.40947437286377,-9.973272323608398,0.4362020492553711
3,3x PI CO2,10,Oct,-10.474480867385864,-10.764345169067385,-10.221883773803713,0.5424613952636719
3,3x PI CO2,11,Nov,-10.740399360656738,-11.16517162322998,-10.373324394226074,0.79184722900390625
3,3x PI CO2,12,Dec,-10.915208578109741,-11.341705322265623,-10.490745544433594,0.8509597778320295
6,6x PI CO2,1,Jan,-10.633148670196533,-10.954245567321776,-10.082439422607422,0.8718061447143537
6,6x PI CO2,2,Feb,-10.811779737472534,-11.124223709106444,-10.372519493103027,0.7517042160034162
6,6x PI CO2,3,Mar,-10.95565414428711,-11.187255859375,-10.711326599121094,0.47592926025390625
6,6x PI CO2,4,Apr,-10.958548784255981,-11.110485076904297,-10.805010795593262,0.30547428131103516
6,6x PI CO2,5,May,-10.612651348114014,-10.6639404296875,-10.51430320739746,0.14963722229004084
6,6x PI CO2,6,Jun,-10.124534606933594,-10.45127296447754,-9.914667129516602,0.5366058349609393
6,6x PI CO2,7,Jul,-10.104932069778442,-10.39365005493164,-9.888261795043944,0.5053882598876971
6,6x PI CO2,8,Aug,-10.143060445785522,-10.31208038330078,-9.976923942565918,0.3351564407348615
6,6x PI CO2,9,Sep,-9.835485458374023,-9.98060417175293,-9.691744804382324,0.28885936737060547
6,6x PI CO2,10,Oct,-9.91926383972168,-10.10395622253418,-9.657487869262695,0.4464683532714844
6,6x PI CO2,11,Nov,-10.234273910522461,-10.451078414916992,-9.794727325439451,0.6563510894775408
6,6x PI CO2,12,Dec,-10.455742597579956,-10.75717830657959,-9.89435577392578,0.8628225326538104
