MLA_horizon_id,strat_height_m,data_combo,has_IPL17O,IPL17O_n_analyses,IPL17O_mean_Dp17Ocarb,IPL17O_sd_Dp17Ocarb,IPL17O_se_Dp17Ocarb,IPL17O_mean_d18Ocarb,has_IPLD47,IPLD47_n_T47,IPLD47_mean_T47_C,IPLD47_sd_T47_C,IPLD47_se_T47_C,IPLD47_range_T47_C,IPLD47_sessions,has_CUD47,CU_sample_id,CU_mean_T47_C,CU_2se_T47_C,has_any_D47
PK95-SC-246,520,IPL D47 only,FALSE,NA,NA,NA,NA,NA,TRUE,5,41.339999999999996,6.56604904032859,2.9364263995543967,17.4,"Session 1, Session 2",FALSE,NA,NA,NA,TRUE
PK95-SC-242,590,IPL D47 only,FALSE,NA,NA,NA,NA,NA,TRUE,1,53.8,NA,NA,0,Session 1,FALSE,NA,NA,NA,TRUE
PK95-SC-279,680,IPL D47 only,FALSE,NA,NA,NA,NA,NA,TRUE,2,51,2.4041630560342657,1.7000000000000028,3.4000000000000057,Session 1,FALSE,NA,NA,NA,TRUE
PK95-SC-187,700,IPL D47 only,FALSE,NA,NA,NA,NA,NA,TRUE,2,33.7,5.374011537017762,3.8000000000000003,7.600000000000001,Session 1,FALSE,NA,NA,NA,TRUE
PK95-SC-165,820,IPL D47 only,FALSE,NA,NA,NA,NA,NA,TRUE,4,28.85,3.476108935769036,1.738054467884518,6.400000000000002,"Session 1, Session 2",FALSE,NA,NA,NA,TRUE
PK95-SC-185,940,IPL D47 only,FALSE,NA,NA,NA,NA,NA,TRUE,3,29.533333333333335,2.5006665778014736,1.4437605218471812,5,Session 1,FALSE,NA,NA,NA,TRUE
PK95-SC-179,1080,IPL D47 only,FALSE,NA,NA,NA,NA,NA,TRUE,5,31.02,5.683924700416077,2.5419284018240953,13.899999999999999,"Session 1, Session 2",FALSE,NA,NA,NA,TRUE
PK95-SC-92,1210,IPL D47 only,FALSE,NA,NA,NA,NA,NA,TRUE,3,28.6,3.858756276314949,2.227853974867594,7.700000000000003,"Session 1, Session 2",FALSE,NA,NA,NA,TRUE
PK95-SC-50,1425,IPL D47 only,FALSE,NA,NA,NA,NA,NA,TRUE,3,36.13333333333333,2.829016319029166,1.6333333333333333,5.5,"Session 1, Session 2",FALSE,NA,NA,NA,TRUE
PK95-SC-80-n1,1495,IPL D47 only,FALSE,NA,NA,NA,NA,NA,TRUE,2,23.35,10.394469683442248,7.349999999999999,14.7,"Session 1, Session 2",FALSE,NA,NA,NA,TRUE
PK95-SC-80-n2,1495,IPL D47 only,FALSE,NA,NA,NA,NA,NA,TRUE,2,23.35,3.181980515339464,2.25,4.5,Session 1,FALSE,NA,NA,NA,TRUE
PB-00-03-10,1495.4,IPL D47 + CU D47,FALSE,NA,NA,NA,NA,NA,TRUE,2,26.3,3.8183766184073558,2.6999999999999993,5.399999999999999,Session 2,TRUE,PB-00-03-10,29.6,3.4,TRUE
PB-00-03-11,1498.5,CU D47 only,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,TRUE,PB-00-03-11,27.7,4.2,TRUE
PB-00-03-13,1500.3,CU D47 only,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,TRUE,PB-00-03-13,28.2,3.6,TRUE
PB-00-03-17,1507.8,CU D47 only,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,TRUE,PB-00-03-17,36.6,4.8,TRUE
PB-00-03-20,1512.3,CU D47 only,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,TRUE,PB-00-03-20,35.3,3.8,TRUE
PB-00-02-21,1549,CU D47 only,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,TRUE,PB-00-02-21,31.7,NA,TRUE
PK95-SC-4,1570,IPL D47 only,FALSE,NA,NA,NA,NA,NA,TRUE,2,35.150000000000006,1.4849242404917509,1.0500000000000007,2.1000000000000014,Session 2,FALSE,NA,NA,NA,TRUE
PB-00-04-14,1574.7,IPL D47 + CU D47,FALSE,NA,NA,NA,NA,NA,TRUE,2,24.6,1.272792206135786,0.9000000000000002,1.8000000000000007,Session 2,TRUE,PB-00-04-14,22.4,3.2,TRUE
PK95-SC-133,1750,IPL D47 only,FALSE,NA,NA,NA,NA,NA,TRUE,2,22.1,0.7071067811865476,0.5,1,Session 2,FALSE,NA,NA,NA,TRUE
