taxon,specimen_id,lmz,published_age_Ma,n_d18Op,mean_d18Op_VSMOW,sd_d18Op_VSMOW,n_d18Oc,mean_d18Oc_VSMOW,sd_d18Oc_VSMOW,n_d13C,mean_d13Ccarb_VPDB,sd_d13Ccarb_VPDB
Coryphodon,80251,CF-2,55.64,11,14.872727272727273,0.5478885088974016,0,NA,NA,0,NA,NA
Coryphodon,83517,Wa-1,55.31,11,15.209090909090909,0.5647203652331756,9,20.4,1.15433963806152,9,15.333333333333334,0.48733971724044817
Coryphodon,83613,Wa-0,55.5,10,16.55,0.7059272861515793,7,22.285714285714285,0.7559289460184548,7,15.17142857142857,0.52508502712826
Coryphodon,87991,CF-2,55.64,9,14.71111111111111,1.0421665467242318,10,19.72,1.2717442090818945,10,12.21,0.6314885412877875
Coryphodon,88232,Wa-6,53.01,13,15.115384615384615,0.8952152011724649,10,20.55,1.2085344660188868,10,13,0.7257180352359083
Coryphodon,88268,Wa-6,53.01,12,15.558333333333334,0.6430867795722489,8,19.45,1.0569497893196522,8,13.15,0.3964124835860458
Coryphodon,94016,Wa-4,53.67,7,13.657142857142857,0.3408672412985388,8,19.525,0.6606274074155346,8,14.0625,0.3248626083219096
Coryphodon,96744,Wa-6,53.01,8,14.5,0.9304376850247875,6,19.983333333333334,1.0684880283216398,6,12.183333333333334,0.9600347215943112
Gar,60816,Tiffanian,56.83,1,13.7,NA,1,19.5,NA,0,NA,NA
Gar,65078-1,CF-3,55.55,1,12.2,NA,1,18.3,NA,0,NA,NA
Gar,67243-1,CF-3,55.52,1,13.9,NA,1,18.7,NA,0,NA,NA
Gar,68043-1,CF-3,55.56,1,13,NA,1,19.3,NA,0,NA,NA
Gar,68779-1,Wa-1,55.42,1,14.1,NA,1,20.8,NA,0,NA,NA
Gar,68786-1,CF-3,55.52,1,13,NA,1,18.1,NA,0,NA,NA
Gar,76454-1,Wa-1,55.45,1,14.1,NA,1,19.4,NA,0,NA,NA
Gar,79893-1,Wa-0,55.5,1,15.3,NA,1,20.8,NA,0,NA,NA
Gar,83371-1,Wa-4,53.68,0,NA,NA,0,NA,NA,0,NA,NA
Gar,83478-1,Wa-0,55.5,1,15,NA,1,20.9,NA,0,NA,NA
Gar,83478-2,Wa-0,55.5,1,15.4,NA,1,21.6,NA,0,NA,NA
Gar,83569-1,Wa-0,55.5,1,15.6,NA,1,21.1,NA,0,NA,NA
Gar,85218-1,Wa-1,55.31,1,13.8,NA,1,19.6,NA,0,NA,NA
Gar,85435-1,Wa-1,55.36,1,14.3,NA,1,19.8,NA,0,NA,NA
Gar,85435-2,Wa-1,55.36,1,14.4,NA,1,21.3,NA,0,NA,NA
Gar,85988-1,Wa-3,54.85,0,NA,NA,1,19.1,NA,0,NA,NA
Gar,86137-1,Wa-0,55.5,0,NA,NA,0,NA,NA,0,NA,NA
Gar,86137-2,Wa-0,55.5,1,14.5,NA,1,20.9,NA,0,NA,NA
Gar,87213-1,CF-3,55.57,1,14,NA,1,19.8,NA,0,NA,NA
Gar,91513-1,Wa-6,52.83,1,13.6,NA,1,19.3,NA,0,NA,NA
Gar,91995-1,Wa-5,53.24,1,13.6,NA,1,18.3,NA,0,NA,NA
Gar,92116,Wa-6,52.83,0,NA,NA,0,NA,NA,0,NA,NA
Gar,93386-1,Wa-4,53.68,1,11.9,NA,1,18,NA,0,NA,NA
Gar,93427-1,Wa-4,53.68,1,13.4,NA,1,17.6,NA,0,NA,NA
Gar,94647-1,Wa-4,53.68,0,NA,NA,0,NA,NA,0,NA,NA
Gar,96510,Wa-6,52.83,0,NA,NA,0,NA,NA,0,NA,NA
Gar,98427-1,Wa-0,55.5,0,NA,NA,0,NA,NA,0,NA,NA
Gar,98427-2,Wa-0,55.5,1,16.6,NA,1,20.9,NA,0,NA,NA
Gar,98427-3,Wa-0,55.5,1,15.8,NA,1,21.5,NA,0,NA,NA
