taxon,lmz,published_age_Ma,n_specimens_d18Op,zone_mean_d18Op_VSMOW,zone_sd_d18Op_VSMOW,zone_se_d18Op_VSMOW,d18Op_95ci_lower,d18Op_95ci_upper
Coryphodon,CF-2,55.64,2,14.791919191919192,0.11427988382812963,0.08080808080808133,13.765155172834362,15.818683211004021
Coryphodon,Wa-0,55.5,1,16.55,NA,NA,NA,NA
Coryphodon,Wa-1,55.31,1,15.209090909090909,NA,NA,NA,NA
Coryphodon,Wa-4,53.67,1,13.657142857142857,NA,NA,NA,NA
Coryphodon,Wa-6,53.01,3,15.057905982905982,0.5315027808062922,0.3068632735735475,13.737579881204903,16.378232084607063
Gar,Tiffanian,56.83,1,13.7,NA,NA,NA,NA
Gar,CF-3,55.544000000000004,5,13.22,0.7429670248402688,0.33226495451672317,12.297484593403277,14.142515406596724
Gar,Wa-0,55.5,7,15.457142857142857,0.6579187965525407,0.24866993122184602,14.848669455412718,16.065616258872996
Gar,Wa-1,55.38,5,14.14,0.23021728866442676,0.10295630140987,13.854147480901299,14.425852519098703
Gar,Wa-4,53.68,2,12.65,1.0606601717798212,0.7499999999999999,3.1203464478689824,22.17965355213102
Gar,Wa-5,53.24,1,13.6,NA,NA,NA,NA
Gar,Wa-6,52.83,1,13.6,NA,NA,NA,NA
