"","sample.ID","mean_D17Ocarb","sd_D17Ocarb","se_D17Ocarb","n","strat_height_m","Strat_m_Kraus","Bed","Status","Powder.","Nodule.","d18O_VPBD","D47_CU","X17O_IPL","CU_notes","MLA_notes","Reps_needed","mg_needed"
"1","PB-00-01-07",-104.3940687,4.26780421329866,3.0177933,2,1508.7,NA,"","UM","yes","yes",-7.784336778,"yes","target",NA,"",4,28
"2","PB-00-02-07D",-105.244547475,20.2442817773282,14.314868925,2,1526.3,NA,"upper dbl red","UM","no","yes",NA,"yes","yes",NA,"",2,14
"3","PB-00-02-09L",-120.1919232,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","PB-00-02-19",-95.27794226,9.79897368311623,6.92892074,2,1545.1,NA,"","UM","no","yes",NA,"yes","yes",NA,"",2,14
"5","PB-00-03-08",-109.54148445,3.90223488646201,2.75929675,2,1494.4,NA,"","UM","yes","yes",NA,"yes","yes",NA,"",2,14
"6","PB-00-03-16",-89.435965165,13.5040248927847,9.54878757500001,2,1507.4,NA,"","CU?","yes","no",NA,"yes","yes",NA,"",3,21
"7","PB-00-04-11",-109.92487225,1.38643013485875,0.980354150000004,2,1568.2,NA,"","UM","yes","yes",-8.48,"yes","target",NA,"",4,28
"8","PB-00-04-16",-113.1059556,8.49760143710854,6.0087116,2,1594.2,NA,"","UM","yes","yes",NA,"yes","yes",NA,"",2,14
"9","SC-22-PK95",-116.3326585,NA,NA,1,1460,NA,"","","","",NA,"","target",NA,"",NA,NA
"10","SC-23-PK95",-93.67298263,0.613546258560825,0.433842719999994,2,1495,NA,"","","","",NA,"","target",NA,"",NA,NA
"11","SC-27-PK95",-99.082359335,6.16583135814926,4.359901165,2,1525,NA,"","","","",NA,"","",NA,"",NA,NA
"12",NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
