MLA_horizon_id,strat_height_m,data_combo,has_IPL17O,IPL17O_n_analyses,IPL17O_mean_Dp17Ocarb,IPL17O_sd_Dp17Ocarb,IPL17O_se_Dp17Ocarb,IPL17O_mean_d18Ocarb,has_IPLD47,IPLD47_n_T47,IPLD47_mean_T47_C,IPLD47_sd_T47_C,IPLD47_se_T47_C,IPLD47_range_T47_C,IPLD47_sessions,has_CUD47,CU_sample_id,CU_mean_T47_C,CU_2se_T47_C,has_any_D47
PK95-SC-118up,1325,IPL 17O + IPL D47,TRUE,2,-90.50807056,5.161815297366057,3.649954599999994,20.39637004517081,TRUE,4,36.75,3.1890437438203967,1.5945218719101983,7.800000000000004,"Session 1, Session 2",FALSE,NA,NA,NA,TRUE
PK95-SC-176,1355,IPL 17O + IPL D47,TRUE,2,-84.85714516,0.20639485277613606,0.14594320000000494,22.518729999528865,TRUE,4,46.35,5.995831885568506,2.997915942784253,14.399999999999999,"Session 1, Session 2",FALSE,NA,NA,NA,TRUE
PB-00-03-08,1494.4,IPL 17O + IPL D47 + CU D47,TRUE,2,-109.54148445,3.9022348864620096,2.7592967500000043,16.735100003757218,TRUE,2,24.6,0.989949493661168,0.700000000000001,1.4000000000000021,Session 2,TRUE,PB-00-03-08,16.8,4.6,TRUE
PK95-SC-23,1495,IPL 17O + IPL D47,TRUE,1,-94.10682535,NA,NA,21.730063591636206,TRUE,3,34.03333333333333,4.015387071420802,2.318284806585343,7.899999999999999,Session 1,FALSE,NA,NA,NA,TRUE
PB-00-03-14,1504.9,IPL 17O + CU D47,TRUE,2,-93.071422265,0.4558668415809753,0.3223465350000012,22.654565516540217,FALSE,NA,NA,NA,NA,NA,NA,TRUE,PB-00-03-14,31.8,3.8,TRUE
PB-00-03-16,1507.4,IPL 17O + IPL D47 + CU D47,TRUE,2,-89.435965165,13.504024892784706,9.548787575000006,21.20999177584548,TRUE,3,32.3,2.4879710609249446,1.4364307617610157,4.899999999999999,Session 2,TRUE,PB-00-03-16,34.4,3.6,TRUE
PB-00-01-07,1508.7,IPL 17O + CU D47,TRUE,2,-104.39406869999999,4.2678042132986596,3.0177933000000006,23.58852770033293,FALSE,NA,NA,NA,NA,NA,NA,TRUE,PB-00-01-07,33.4,3.8,TRUE
PK95-SC-27,1525,IPL 17O + IPL D47,TRUE,2,-99.082359335,6.165831358149262,4.359901165000003,22.564465529439694,TRUE,7,42.51428571428571,7.7199802615094315,2.9178782711830484,21.9,"Session 1, Session 2",FALSE,NA,NA,NA,TRUE
PB-00-02-07D,1526.3,IPL 17O + CU D47,TRUE,2,-105.244547475,20.244281777328165,14.314868924999997,19.486117010077297,FALSE,NA,NA,NA,NA,NA,NA,TRUE,PB-00-02-07D,32.4,4.4,TRUE
PB-00-02-09L,1530.5,IPL 17O + CU D47,TRUE,1,-120.1919232,NA,NA,20.54132368010242,FALSE,NA,NA,NA,NA,NA,NA,TRUE,PB-00-02-09L,27.2,3.6,TRUE
PB-00-02-19,1545.1,IPL 17O + CU D47,TRUE,2,-95.27794226,9.798973683116225,6.9289207400000015,18.686726711847122,FALSE,NA,NA,NA,NA,NA,NA,TRUE,PB-00-02-19,25.1,5,TRUE
PB-00-04-16,1594.2,IPL 17O + IPL D47 + CU D47,TRUE,2,-113.1059556,8.497601437108537,6.008711599999998,18.38996037096363,TRUE,3,20.166666666666668,3.592121007612818,2.0739120307069703,7.099999999999998,Session 2,TRUE,PB-00-04-16,17.5,3.4,TRUE
PK95-SC-43,1600,IPL 17O + IPL D47,TRUE,1,-89.92761436,NA,NA,21.446010631112287,TRUE,3,25.7,3.2186953878862155,1.8583146486355135,6.199999999999999,Session 2,FALSE,NA,NA,NA,TRUE
PK95-SC-160,1720,IPL 17O + IPL D47,TRUE,3,-110.59804238666666,15.087429891437349,8.71073170920096,20.786693997796313,TRUE,3,41.699999999999996,3.2449961479175893,1.873499399519519,6.299999999999997,Session 2,FALSE,NA,NA,NA,TRUE
PK95-SC-31,1760,IPL 17O + IPL D47,TRUE,2,-114.9640562,15.804459662014922,11.175440600000002,19.64144317774541,TRUE,5,30.740000000000002,4.795101667326774,2.1444346574330497,11.000000000000004,Session 2,FALSE,NA,NA,NA,TRUE
