MLA_horizon_id,strat_height_m,data_combo,has_IPL17O,IPL17O_n_analyses,IPL17O_mean_Dp17Ocarb,IPL17O_sd_Dp17Ocarb,IPL17O_se_Dp17Ocarb,IPL17O_mean_d18Ocarb,has_IPLD47,IPLD47_n_T47,IPLD47_mean_T47_C,IPLD47_sd_T47_C,IPLD47_se_T47_C,IPLD47_range_T47_C,IPLD47_sessions,has_CUD47,CU_sample_id,CU_mean_T47_C,CU_2se_T47_C,has_any_D47
PK95-SC-246,520,IPL 17O + IPL D47,TRUE,2,-103.0368666,2.0800701381082725,1.4708316999999977,20.004484800756117,TRUE,5,41.339999999999996,6.56604904032859,2.9364263995543967,17.4,"Session 1, Session 2",FALSE,NA,NA,NA,TRUE
PK95-SC-242,590,IPL D47 only,FALSE,NA,NA,NA,NA,NA,TRUE,2,56.3,3.5355339059327378,2.5,5,"Session 1, Session 2",FALSE,NA,NA,NA,TRUE
PK95-SC-279,680,IPL 17O + IPL D47,TRUE,2,-99.12045032500001,7.312595371130883,5.170785775000005,20.537337096289132,TRUE,4,48.775,2.9432125305522883,1.4716062652761441,6.600000000000001,"Session 1, Session 2",FALSE,NA,NA,NA,TRUE
PK95-SC-187,700,IPL 17O + IPL D47,TRUE,2,-101.863913985,10.27878236834858,7.268196715000001,20.591243939954484,TRUE,4,44.3,12.628011192055014,6.314005596027507,25.200000000000003,"Session 1, Session 2",FALSE,NA,NA,NA,TRUE
PK95-SC-198,760,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PK95-SC-165,820,IPL 17O + IPL D47,TRUE,1,-100.1024491,NA,NA,21.28526562539701,TRUE,5,28.740000000000002,3.020430432901908,1.3507775538555566,6.400000000000002,"Session 1, Session 2",FALSE,NA,NA,NA,TRUE
PK95-SC-85,860,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PK95-SC-185,940,IPL 17O + IPL D47,TRUE,1,-93.68403914,NA,NA,20.857795648632216,TRUE,3,29.533333333333335,2.5006665778014736,1.4437605218471812,5,Session 1,FALSE,NA,NA,NA,TRUE
PK95-SC-191,1015,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PK95-SC-179,1080,IPL 17O + IPL D47,TRUE,2,-93.131688035,8.474471429823707,5.992356215,20.6594112299896,TRUE,5,31.02,5.683924700416077,2.5419284018240953,13.899999999999999,"Session 1, Session 2",FALSE,NA,NA,NA,TRUE
