SampleID,mean_T_D47_iCDES,se_T_D47_iCDES,mean_TD47iCDES_plus,se_TD47iCDES_plus,mean_T_D47_CDES,se_T_D47_CDES,n,Strat_m_Bowen
PB-00-03-08,15.194362843,5.902009348903441,16.169470491666665,6.005921249544185,17.562477898,6.106075038549227,3,1494.4
PB-00-03-16,28.029763673333335,1.354599786235015,29.229686360000002,1.3843200876360735,30.82577288,1.4169117406252618,3,1507.4
PB-00-04-14,20.74669637,NA,21.81633865,NA,23.4951129,NA,1,1574.7
PB-00-04-16,16.785236103333332,1.965147973150258,17.758693393333335,2.001177053870583,19.10964948,2.0393335945733457,3,1594.2
PK95-242,56.32744164,NA,53.88357946,NA,50.91539342,NA,1,590
PK95-SC-118up,35.7863606925,2.3906762181494083,35.794397502500004,1.8684121267889962,35.84364378,1.6486429807857301,4,1325
PK95-SC-133,19.167071935,0.49629135500000027,20.20703209,0.5045330799999999,21.864500839999998,0.5087020000000013,2,1750
PK95-SC-165,28.400305795999998,1.754877094204699,28.506498692,1.6450935709194336,28.73722196,1.8389049481572362,5,820
PK95-SC-176,44.285717025,2.081876634999997,43.59407104500001,3.3888689149999993,42.84225458,5.245876419999997,2,1355
PK95-SC-179,29.621028971999998,3.5363857620148957,29.797228166,3.1165066201450666,30.070027531999997,2.7148890431049173,5,1080
PK95-SC-185,31.39649251333333,1.5497847305440604,30.79739152,1.3633797523720814,30.14022676,1.531775375346518,3,940
PK95-SC-187,35.36688794,3.5713999499999978,34.800153685,4.715923315000001,34.164608645,6.471445304999998,2,700
PK95-SC-22-SPAR,39.439251615,4.0958246150000015,41.019473045,4.206538685000002,43.234700634999996,4.312151255,2,NA
PK95-SC-23,36.20545805333333,2.2940334808667417,34.867111216666665,2.4521203982823407,33.08244405,2.7275723076696,3,1495
PK95-SC-246,41.061190428,4.230229328795867,40.439417719999994,3.5035624498369375,39.69976342,2.652795183762411,5,520
PK95-SC-27,42.75035337333333,4.349774292736186,42.563849625,3.699702391561658,42.485848901666664,2.965206815363691,6,1525
PK95-SC-279,53.19685727,2.045620249999999,52.821567175,1.0725526750000007,52.54786353,0.24176006999999797,2,680
PK95-SC-4,31.65500504,0.9921866800000014,33.055444565,1.025242745,35.123690585000006,1.0635182249999993,2,1570
PK95-SC-4-SPAR,75.302015645,1.607960515000002,78.05341046000001,1.6720612100000025,81.411503275,1.735741544999996,2,NA
PK95-SC-43,22.64980023,1.7910844214117743,23.832312746666666,1.8347211064166056,25.703635933333334,1.8761453811667272,3,1600
PK95-SC-50,36.307895126666665,3.6851677334061774,35.88067167333333,2.8594870396878735,35.371905,1.888222835309048,3,1425
PK95-SC-80-n-1,22.372589265000002,4.4346027249999995,22.367709745,5.667425765000001,22.22454354,7.49034616,2,NA
PK95-SC-80-n-2,25.556500274999998,2.331224324999999,24.388293665,2.660508685,22.723607649999998,3.241262950000001,2,NA
PK95-SC-92,28.713223553333332,3.9104730379055073,28.007161566666667,3.0331352403660317,27.050932653333334,1.8960885284111313,3,1210
NA,NA,NA,NA,NA,NA,NA,926,NA
