Age_Ma,astronomical_time_kyr_j2000,eccentricity,obliquity_deg,climatic_precession,summer_solstice_insolation_w_m2,paleolatitude_deg_n,solar_longitude_deg,solar_constant_w_m2,astronomical_solution,chronology_alignment,phase_interpretation
59.239,-59239,0.0405682410232993,23.763865106121447,0.0405038043341369,544.8989478723495,47,90,1360.7,"ZB20a(1,1)",Native astronomical age plotted on GTS2020 Ma axis; no phase shift,Precession/obliquity phase less secure; interpret exact insolation peaks cautiously
59.238,-59238,0.0405429901473076,23.712653172245727,0.0391190704143207,542.9399546703424,47,90,1360.7,"ZB20a(1,1)",Native astronomical age plotted on GTS2020 Ma axis; no phase shift,Precession/obliquity phase less secure; interpret exact insolation peaks cautiously
59.237,-59237,0.0405640063352776,23.650419440689586,0.0347134682836923,537.791238423069,47,90,1360.7,"ZB20a(1,1)",Native astronomical age plotted on GTS2020 Ma axis; no phase shift,Precession/obliquity phase less secure; interpret exact insolation peaks cautiously
59.236,-59236,0.0405287438323959,23.57868051113029,0.0275966705328458,529.7255005687512,47,90,1360.7,"ZB20a(1,1)",Native astronomical age plotted on GTS2020 Ma axis; no phase shift,Precession/obliquity phase less secure; interpret exact insolation peaks cautiously
59.235,-59235,0.0405157562006744,23.498667253506362,0.0182773434404182,519.4582595591695,47,90,1360.7,"ZB20a(1,1)",Native astronomical age plotted on GTS2020 Ma axis; no phase shift,Precession/obliquity phase less secure; interpret exact insolation peaks cautiously
59.234,-59234,0.0404377135820953,23.412286819116616,0.00754170169180616,507.77248685306205,47,90,1360.7,"ZB20a(1,1)",Native astronomical age plotted on GTS2020 Ma axis; no phase shift,Precession/obliquity phase less secure; interpret exact insolation peaks cautiously
59.233,-59233,0.0404197676377092,23.321372596935962,-0.00381029004263677,495.6065471038769,47,90,1360.7,"ZB20a(1,1)",Native astronomical age plotted on GTS2020 Ma axis; no phase shift,Precession/obliquity phase less secure; interpret exact insolation peaks cautiously
59.232,-59232,0.0403541558914741,23.22790182668033,-0.014915293731129,483.83303347877467,47,90,1360.7,"ZB20a(1,1)",Native astronomical age plotted on GTS2020 Ma axis; no phase shift,Precession/obliquity phase less secure; interpret exact insolation peaks cautiously
59.231,-59231,0.0402422738175179,23.13423460292464,-0.0247098506551817,473.4475862371805,47,90,1360.7,"ZB20a(1,1)",Native astronomical age plotted on GTS2020 Ma axis; no phase shift,Precession/obliquity phase less secure; interpret exact insolation peaks cautiously
59.23,-59230,0.040147162941,23.042368656301452,-0.0325633402969986,465.11637251578105,47,90,1360.7,"ZB20a(1,1)",Native astronomical age plotted on GTS2020 Ma axis; no phase shift,Precession/obliquity phase less secure; interpret exact insolation peaks cautiously
59.229,-59229,0.0400248093821888,22.954829466084238,-0.0377147154986096,459.45127578023175,47,90,1360.7,"ZB20a(1,1)",Native astronomical age plotted on GTS2020 Ma axis; no phase shift,Precession/obliquity phase less secure; interpret exact insolation peaks cautiously
59.228,-59228,0.0398720925856499,22.873804806192524,-0.0397643489948087,456.82968452878936,47,90,1360.7,"ZB20a(1,1)",Native astronomical age plotted on GTS2020 Ma axis; no phase shift,Precession/obliquity phase less secure; interpret exact insolation peaks cautiously
59.227,-59227,0.0397021024138074,22.801335681950455,-0.0386133784815454,457.3849411480499,47,90,1360.7,"ZB20a(1,1)",Native astronomical age plotted on GTS2020 Ma axis; no phase shift,Precession/obliquity phase less secure; interpret exact insolation peaks cautiously
59.226,-59226,0.0395400905191288,22.73997467244281,-0.0342322251524961,461.0132242139582,47,90,1360.7,"ZB20a(1,1)",Native astronomical age plotted on GTS2020 Ma axis; no phase shift,Precession/obliquity phase less secure; interpret exact insolation peaks cautiously
59.225,-59225,0.0393298283629576,22.690898844042557,-0.0271018520616173,467.4498233048673,47,90,1360.7,"ZB20a(1,1)",Native astronomical age plotted on GTS2020 Ma axis; no phase shift,Precession/obliquity phase less secure; interpret exact insolation peaks cautiously
59.224,-59224,0.0391220236116746,22.6559103242408,-0.0178374727111762,476.09088206695924,47,90,1360.7,"ZB20a(1,1)",Native astronomical age plotted on GTS2020 Ma axis; no phase shift,Precession/obliquity phase less secure; interpret exact insolation peaks cautiously
59.223,-59223,0.0389031956043057,22.635890161068225,-0.00721178137862533,486.2801709571985,47,90,1360.7,"ZB20a(1,1)",Native astronomical age plotted on GTS2020 Ma axis; no phase shift,Precession/obliquity phase less secure; interpret exact insolation peaks cautiously
59.222,-59222,0.0386636438434726,22.6317507879184,0.00388681940326751,497.16721405238434,47,90,1360.7,"ZB20a(1,1)",Native astronomical age plotted on GTS2020 Ma axis; no phase shift,Precession/obliquity phase less secure; interpret exact insolation peaks cautiously
59.221,-59221,0.0383846970948458,22.643686860325825,0.0144913683023875,507.827126165003,47,90,1360.7,"ZB20a(1,1)",Native astronomical age plotted on GTS2020 Ma axis; no phase shift,Precession/obliquity phase less secure; interpret exact insolation peaks cautiously
59.22,-59220,0.0380921301401113,22.67157358527912,0.0237133831953511,517.344679095315,47,90,1360.7,"ZB20a(1,1)",Native astronomical age plotted on GTS2020 Ma axis; no phase shift,Precession/obliquity phase less secure; interpret exact insolation peaks cautiously
59.219,-59219,0.0378253110026878,22.71459152847391,0.0309347680485831,525.0410754941048,47,90,1360.7,"ZB20a(1,1)",Native astronomical age plotted on GTS2020 Ma axis; no phase shift,Precession/obliquity phase less secure; interpret exact insolation peaks cautiously
59.218,-59218,0.0374888380712962,22.771977098587257,0.035447627528354,530.167372705054,47,90,1360.7,"ZB20a(1,1)",Native astronomical age plotted on GTS2020 Ma axis; no phase shift,Precession/obliquity phase less secure; interpret exact insolation peaks cautiously
59.217,-59217,0.0371944011093564,22.84185475369677,0.037122056352074,532.4953924872159,47,90,1360.7,"ZB20a(1,1)",Native astronomical age plotted on GTS2020 Ma axis; no phase shift,Precession/obliquity phase less secure; interpret exact insolation peaks cautiously
