section_id,event_id,event_name,event_type,strat_position_m,strat_position_min_m,strat_position_max_m,position_scale,prior_age_ma,prior_age_error_ma,prior_age_error_metric,prior_age_source,absolute_age_prior_id,position_status,confidence,source_citation,source_locator,notes,use_in_deterministic_model,model_exclusion_reason
BIG_RED_SPIT,BRS_WA0,Base Wa0 / onset geosol,biozone_and_chemostrat,20,19,21,BIG_RED_SPIT measured section,55.9,NA,not specified for this adopted project datum,shared_absolute_age_prior,BASE_WA0_PETM_ONSET,figure estimate,high,Baczynski et al. (2013),Fig. 3; Table 1,NA,TRUE,NA
CAB10,CAB10_WA0,Base Wa0 / onset geosol,biozone_and_chemostrat,14,13,15,CAB10 measured section,55.9,NA,not specified for this adopted project datum,shared_absolute_age_prior,BASE_WA0_PETM_ONSET,figure estimate,high,Baczynski et al. (2013),Fig. 3; Table 1,NA,TRUE,NA
CAB3,CAB3_WA0,Base Wa0 / onset geosol,biozone_and_chemostrat,22,21,23,CAB3 measured section,55.9,NA,not specified for this adopted project datum,shared_absolute_age_prior,BASE_WA0_PETM_ONSET,figure estimate,high,Baczynski et al. (2013),Fig. 3,NA,TRUE,NA
CABIN_FORK,CAB_WA0,Base Wa0 / PETM CIE onset / LIRB,biozone_and_chemostrat,14,13.75,14.5,Cabin Fork composite,55.9,NA,not specified for this adopted project datum,shared_absolute_age_prior,BASE_WA0_PETM_ONSET,proxy-dependent bracket,high,Secord et al. (2012),Fig. 2 and text,Dispersed organic matter shifts at 13.75 m; tooth enamel CIE onset and Sifrhippus FAD are near 14.5 m.,TRUE,NA
CFB,CFB_C26R,Base C26r,magnetochron_boundary,83,NA,NA,CFB native composite,62.278,NA,not reported as a symmetric uncertainty in the adopted GTS2020 table,shared_absolute_age_prior,BASE_C26R,published level,high,Secord et al. (2006),Figs. 2 and 6; Table 1,NA,TRUE,NA
CFB,CFB_BELT_ASH,Belt Ash,dated_ash,331,NA,NA,CFB native composite,59,0.3,±2σ analytical uncertainty,section_specific_dated_event,NA,published level and radiometric age,high,Secord et al. (2006),Abstract; Fig. 4; Table 1; Appendix B,Age uses Taylor Creek sanidine calibration reported by Secord et al.; later recalibration can be handled explicitly in R if desired.,FALSE,Central age conflicts with overlying GTS2020 base C26n; retained as an uncertainty-bearing dated observation
CFB,CFB_C26N,Base C26n,magnetochron_boundary,370,NA,NA,CFB native composite,59.237,NA,not reported as a symmetric uncertainty in the adopted GTS2020 table,shared_absolute_age_prior,BASE_C26N,published level,high,Secord et al. (2006),Figs. 2 and 6; Belt Ash described ~40 m below boundary,NA,TRUE,NA
CFB,CFB_C25R,Base C25r,magnetochron_boundary,470,NA,NA,CFB native composite,58.959,NA,not reported as a symmetric uncertainty in the adopted GTS2020 table,shared_absolute_age_prior,BASE_C25R,published level,high,Secord et al. (2006),Figs. 2 and 6,NA,TRUE,NA
CFB,CFB_C25N,Base C25n,magnetochron_boundary,787,NA,NA,CFB native composite,57.656,NA,not reported as a symmetric uncertainty in the adopted GTS2020 table,shared_absolute_age_prior,BASE_C25N,published level,high,Secord et al. (2006),Figs. 1-2 and 6,NA,TRUE,NA
CFB,CFB_WA0,Base Wa0 / PETM CIE onset,biozone_and_chemostrat,1503,NA,NA,CFB native composite,55.9,NA,not specified for this adopted project datum,shared_absolute_age_prior,BASE_WA0_PETM_ONSET,published/project-standard level,high,Existing CFB calibration; Secord et al. (2006),Existing CFB standardized worksheet; Secord 2006 Fig. 2,Universal Wa0/PETM age intentionally left blank.,TRUE,NA
ELK_CREEK,EC_BASE,Base Wa0 / base Willwood datum,section_boundary_and_biozone,0,0,0,Bown/Koch southern composite,55.9,NA,not specified for this adopted project datum,shared_absolute_age_prior,BASE_WA0_PETM_ONSET,adopted composite datum,moderate,Bown et al. (1994); Koch et al. (2003),Bown Table 18 and Plates 1-2; Koch Table 1,Universal Wa0 age intentionally blank.,TRUE,NA
ELK_CREEK,EC_C24N3N,Base C24n.3n,magnetochron_boundary,452.5,450,455,Bown/Koch southern composite,53.9,NA,not reported as a symmetric uncertainty in the adopted GTS2020 table,shared_absolute_age_prior,BASE_C24N_3N,published range/figure estimate,high,Clyde et al. (2007),Fig. 8 and magnetostratigraphic discussion,Range spans the Schankler composite estimate and Dorsey Creek/Rim projection.,TRUE,NA
ELK_CREEK,EC_ASH,Dated ash fall,dated_ash,634,NA,NA,Bown/Koch southern composite,52.8,0.3,± reported uncertainty; sigma level not specified in Clyde figure/table,section_specific_dated_event,NA,published level and radiometric age,high,Clyde et al. (2007); Koch et al. (2003),Clyde Fig. 9 and Table 1; Koch Table 1,NA,TRUE,NA
FOSTER_GULCH,FG_C26N,Base C26n,magnetochron_boundary,260,258,265,Foster Gulch composite,59.237,NA,not reported as a symmetric uncertainty in the adopted GTS2020 table,shared_absolute_age_prior,BASE_C26N,direct magnetostratigraphic tie,high,Secord et al. (2006); Clyde et al. (2007),Secord Fig. 8B; Clyde Fig. 6,Primary Foster Gulch tie to the Polecat Bench chronology.,TRUE,NA
FOSTER_GULCH,FG_C25R,Base C25r,magnetochron_boundary,325,315,335,Foster Gulch composite,58.959,NA,not reported as a symmetric uncertainty in the adopted GTS2020 table,shared_absolute_age_prior,BASE_C25R,figure estimate,low-moderate,Clyde et al. (2007),Fig. 6,NA,TRUE,NA
FOSTER_GULCH,FG_C24R,Base C24r,magnetochron_boundary,640,630,650,Foster Gulch composite,57.101,NA,not reported as a symmetric uncertainty in the adopted GTS2020 table,shared_absolute_age_prior,BASE_C24R,figure estimate,moderate,Clyde et al. (2007),Fig. 6,NA,TRUE,NA
HONEYCOMBS,HON_WA0,Base Wa0 / revised PETM onset / gray tracer,biozone_and_chemostrat,21.5,21.5,22,Honeycombs measured section,55.9,NA,not specified for this adopted project datum,shared_absolute_age_prior,BASE_WA0_PETM_ONSET,DGPS-traced published level,high,Baczynski et al. (2013),Fig. 5 and Table 2,NA,TRUE,NA
HWY16,HW16_WA0,Base Wa0 / onset geosol / PETM CIE onset,biozone_and_chemostrat,20,19,21,HWY16 measured section,55.9,NA,not specified for this adopted project datum,shared_absolute_age_prior,BASE_WA0_PETM_ONSET,rounded published level,high,Kraus et al. (2013); Baczynski et al. (2013),Kraus Fig. 2; Baczynski Figs. 2-3 and Table 2,NA,TRUE,NA
MCP,MCP_WA0,Base Wa0 / PETM CIE onset,biozone_and_chemostrat,1195,NA,NA,Koch 2003 MCP composite,55.9,NA,not specified for this adopted project datum,shared_absolute_age_prior,BASE_WA0_PETM_ONSET,published correlation,high,Koch et al. (2003); Clyde et al. (1994),Koch 2003 Table 1; Clyde 1994 Fig. 10,Equivalent to 0 m on the Clyde 1994 local MCP scale; universal age intentionally blank.,TRUE,NA
MCP,MCP_C24N3N,Base C24n.3n,magnetochron_boundary,2100,NA,NA,Koch 2003 MCP composite,53.9,NA,not reported as a symmetric uncertainty in the adopted GTS2020 table,shared_absolute_age_prior,BASE_C24N_3N,published crosswalk,high,Clyde et al. (1994); Koch et al. (2003),Clyde 1994 Figs. 9-10; Koch 2003 Table 1,Clyde 1994 local level ~950 m.,TRUE,NA
MCP,MCP_C24N2R,Base C24n.2r,magnetochron_boundary,2420,NA,NA,Koch 2003 MCP composite,53.25,NA,not reported as a symmetric uncertainty in the adopted GTS2020 table,shared_absolute_age_prior,BASE_C24N_2R,published crosswalk,moderate,Clyde et al. (1994); Koch et al. (2003),Clyde 1994 Figs. 9-10; Koch 2003 Table 1,Clyde 1994 local level ~1300 m.,TRUE,NA
MCP,MCP_C24N2N,Base C24n.2n,magnetochron_boundary,2460,NA,NA,Koch 2003 MCP composite,53.12,NA,not reported as a symmetric uncertainty in the adopted GTS2020 table,shared_absolute_age_prior,BASE_C24N_2N,published crosswalk,high,Clyde et al. (1994); Koch et al. (2003),Clyde 1994 Figs. 9-10; Koch 2003 Table 1,Clyde 1994 local level ~1340 m.,TRUE,NA
MCP,MCP_C24N1R,Base C24n.1r,magnetochron_boundary,2515,NA,NA,Koch 2003 MCP composite,53.02,NA,not reported as a symmetric uncertainty in the adopted GTS2020 table,shared_absolute_age_prior,BASE_C24N_1R,published crosswalk,high,Clyde et al. (1994); Koch et al. (2003),Clyde 1994 Figs. 9-10; Koch 2003 Table 1,Clyde 1994 local level ~1390 m.,TRUE,NA
NORTH_BUTTE,NB_WA0,Base Wa0 / onset geosol,biozone_and_chemostrat,23,22,24,NORTH_BUTTE measured section,55.9,NA,not specified for this adopted project datum,shared_absolute_age_prior,BASE_WA0_PETM_ONSET,published/figure level,high,Baczynski et al. (2013),Figs. 3 and 5; Table 1,NA,TRUE,NA
PYRAMID_POINT,PP_WA0,Base Wa0 / onset geosol,biozone_and_chemostrat,5,4,6,PYRAMID_POINT measured section,55.9,NA,not specified for this adopted project datum,shared_absolute_age_prior,BASE_WA0_PETM_ONSET,figure estimate,moderate,Baczynski et al. (2013),Fig. 3,Short sampled interval; BR1 not assigned a numerical position.,TRUE,NA
SAND_CREEK_DIVIDE,SCD_C25R,Base C25r,magnetochron_boundary,95,90,100,Sand Creek Divide measured section,58.959,NA,not reported as a symmetric uncertainty in the adopted GTS2020 table,shared_absolute_age_prior,BASE_C25R,figure estimate,moderate,Clyde et al. (2007),Fig. 7,NA,TRUE,NA
SAND_CREEK_DIVIDE,SCD_C25N,Base C25n,magnetochron_boundary,185,170,200,Sand Creek Divide measured section,57.656,NA,not reported as a symmetric uncertainty in the adopted GTS2020 table,shared_absolute_age_prior,BASE_C25N,bracketed figure estimate,moderate,Clyde et al. (2007),Fig. 7 and results text,Preferred midpoint retained; reversal is bracketed by polarity data.,TRUE,NA
SAND_CREEK_DIVIDE,SCD_C24R,Base C24r,magnetochron_boundary,230,225,235,Sand Creek Divide measured section,57.101,NA,not reported as a symmetric uncertainty in the adopted GTS2020 table,shared_absolute_age_prior,BASE_C24R,figure estimate,moderate,Clyde et al. (2007),Fig. 7,NA,TRUE,NA
WORLAND_EAST,WE_BASE,Base Willwood / adopted base Wa0 datum,section_boundary_and_biozone,0,0,0,Bown Sand Creek-Banjo master section,55.9,NA,not specified for this adopted project datum,shared_absolute_age_prior,BASE_WA0_PETM_ONSET,Bown datum with later Koch interpretation,moderate,Bown et al. (1994); Koch et al. (2003),Bown Table 18 and Plates 1-2; Koch framework,Bown did not establish this as a chemostratigraphic CIE observation; exact Wa0 equivalence is a later correlation.,TRUE,NA
