lag_kyr,pearson_r,spearman_rho
-100,-0.005966423882044852,-0.0027149774512841137
-99,-0.005837184398160907,-0.0024775033410876137
-98,-0.0057306163326387915,-0.002262777557096276
-97,-0.005655258079142833,-0.0021003822423558975
-96,-0.005617063736554957,-0.002003520087742739
-95,-0.005618465184369639,-0.0019942482156174645
-94,-0.005658264060548369,-0.00207148926149003
-93,-0.005731602517699081,-0.002210408447726479
-92,-0.00583005521523778,-0.0023910810654278122
-91,-0.00594274508435909,-0.002593726027745491
-90,-0.0060569727785413615,-0.002806478650162863
-89,-0.006159299852910714,-0.003017657842907231
-88,-0.006236821477574192,-0.0032025404556860486
-87,-0.006278354583133642,-0.003328967368137625
-86,-0.006274958554174683,-0.003361387560200355
-85,-0.006222123935184992,-0.0032868142084672806
-84,-0.006119495749562192,-0.0031148458196337387
-83,-0.005971843619308953,-0.0028689524407275084
-82,-0.005788840186517123,-0.0025854751742665463
-81,-0.005584107086926003,-0.0022822257552890302
-80,-0.005374082278012379,-0.0019750684968963825
-79,-0.0051765483284487105,-0.0016760883564129756
-78,-0.0050085689296747735,-0.0014011718252268683
-77,-0.004884637186120631,-0.001175473165947946
-76,-0.004815570314044043,-0.001046863318324615
-75,-0.004806945358822912,-0.0010400400586700693
-74,-0.0048589438784730704,-0.0011657420005309724
-73,-0.004966455702557898,-0.001392241351176911
-72,-0.005119508912338442,-0.0016731785179972523
-71,-0.00530424162544511,-0.0019815682989553912
-70,-0.005504465552581647,-0.002297739988536491
-69,-0.005702475963057571,-0.002612230295163834
-68,-0.005880890751810417,-0.0029175868238406517
-67,-0.0060238236124182006,-0.0031939958342135496
-66,-0.006117952752112793,-0.00341622076398433
-65,-0.006153697040182228,-0.003534235180573716
-64,-0.00612639602184031,-0.0035074377321101156
-63,-0.00603608086753222,-0.003354516440993434
-62,-0.005888437266278776,-0.003104995600044563
-61,-0.005694010698253078,-0.0028121103791117503
-60,-0.005467393450646789,-0.002498530717957973
-59,-0.005225899072709699,-0.002177077743129455
-58,-0.004987778986242718,-0.0018584264834030808
-57,-0.0047704098267748254,-0.0015508921344172543
-56,-0.0045888557419478315,-0.001266946624203065
-55,-0.004454674350486037,-0.0010267835961260431
-54,-0.004374822311011025,-8.778645438711278e-4
-53,-0.00435180431378025,-8.408651864249035e-4
-52,-0.004383305028388571,-9.386487027668623e-4
-51,-0.0044627050826264855,-0.0011304937956527308
-50,-0.0045800498976978745,-0.0013736249533504309
-49,-0.004722759366815936,-0.0016470709207809867
-48,-0.004876626535517171,-0.0019293750777226752
-47,-0.005027106282524513,-0.0022062781460430855
-46,-0.005160155643519981,-0.0024670392697406667
-45,-0.005263116036100417,-0.0026887049621897767
-44,-0.00532607762783585,-0.0028482975564995965
-43,-0.005342079329570918,-0.0029111017165817437
-42,-0.005308256567943316,-0.0028508826450384488
-41,-0.0052259976685379,-0.002691007196605447
-40,-0.005101074759985277,-0.0024548036487459673
-39,-0.004942921296501269,-0.002178145812481825
-38,-0.00476440926602741,-0.0018874890383430518
-37,-0.004579893617828086,-0.0015916948216987909
-36,-0.004404315540505002,-0.0013105492132858437
-35,-0.004251586953020369,-0.001054889330143441
-34,-0.004133133869162041,-8.49468111006261e-4
-33,-0.004056998112349863,-7.289520566128118e-4
-32,-0.004027387816909064,-7.084523125566962e-4
-31,-0.00404418132594034,-8.084437777514809e-4
-30,-0.004103472041780122,-0.0010046498691405562
-29,-0.004198030314312639,-0.0012604397339350119
-28,-0.0043179847143675005,-0.0015474675161328917
-27,-0.004451959547756855,-0.0018459978357701144
-26,-0.004587903438806978,-0.0021402281346508227
-25,-0.004713970058111696,-0.002421550226453104
-24,-0.004819515998076776,-0.002668349157517421
-23,-0.004895776310487176,-0.002862440442497223
-22,-0.004936200082596919,-0.002975820756444183
-21,-0.0049372253611088095,-0.002990335035728172
-20,-0.004898117052926418,-0.0028966381579723925
-19,-0.00482102830630139,-0.0027279246705084635
-18,-0.004710855695339809,-0.00249951210026316
-17,-0.004574727146459947,-0.0022423082906472057
-16,-0.0044211784541073945,-0.0019729273371142824
-15,-0.004259828800368242,-0.0017005722071517986
-14,-0.004100190403182275,-0.0014311128847494694
-13,-0.003951184194908125,-0.0011737612667106873
-12,-0.003820742332249955,-9.400630946041216e-4
-11,-0.0037151945929543074,-7.477395352056909e-4
-10,-0.003639026629272716,-6.113744807310014e-4
-9,-0.003595011742005943,-5.386242505349412e-4
-8,-0.00358393816060793,-5.299294778612279e-4
-7,-0.0036048209632600125,-5.939781153371378e-4
-6,-0.0036551448048841944,-7.164742190339865e-4
-5,-0.0037309037158923205,-8.896647086773e-4
-4,-0.0038268374996628597,-0.001103331746017444
-3,-0.003936966601137742,-0.0013429760451951064
-2,-0.0040541833221478755,-0.0015982978303853287
-1,-0.004171182548779424,-0.001859014566640751
0,-0.00428023002288659,-0.0021154732191695728
1,-0.004913709101422794,-0.0025088838728610117
2,-0.005444133176715497,-0.00265246704312825
3,-0.006199737377752514,-0.003352077872830861
4,-0.006751123720568102,-0.0037540291388992782
5,-0.0070534519223285136,-0.0038172737415377005
6,-0.007438306855908815,-0.004322949919961542
7,-0.007506866807164741,-0.00443317875726081
8,-0.007249266913370847,-0.004111787435180902
9,-0.007028549323219901,-0.004192633720665401
10,-0.0065014356532894545,-0.0038807140497677467
11,-0.005702303425459729,-0.0032165898433840277
12,-0.005030109269175398,-0.0030306002033351183
13,-0.0041832201364187015,-0.0025373857490287657
14,-0.0032232227479003788,-0.0017672427490296944
15,-0.0025576113197711726,-0.0015482252227679467
16,-0.0018949424880080725,-0.0011133040866314545
17,-0.0012863398273422618,-5.071377707625979e-4
18,-0.0011076070437376752,-5.633066682319214e-4
19,-0.0010375429433263496,-5.202214013423309e-4
20,-0.0010813479508112692,-3.876143556866466e-4
21,-0.0015549891697979204,-8.980470117940266e-4
22,-0.0020919366718586854,-0.00126808147655878
23,-0.0026479666735576193,-0.001468949372590699
24,-0.0034859243852581137,-0.002162315606559893
25,-0.0042174300058216724,-0.0026245596986600064
26,-0.004782764251436111,-0.0028390170220912005
27,-0.005437622468524876,-0.003432362180177599
28,-0.005823455252067608,-0.0037037321849878488
29,-0.005914660760093581,-0.003637068827244111
30,-0.006003808970398059,-0.0038383256196825063
31,-0.005794654869714117,-0.0036773381648318904
32,-0.005413530651183538,-0.003393962590069019
33,-0.004900045441470702,-0.0030262877145417954
34,-0.0043038954783147345,-0.002615054813103393
35,-0.0036818757807964638,-0.0021957452269456583
36,-0.0029956360374358815,-0.0016209462963126962
37,-0.0025835475516112747,-0.0014687001967626833
38,-0.0022041065643663795,-0.001228208884143123
39,-0.001889826313393491,-9.288482823012569e-4
40,-0.0019334499509723478,-0.0011143417426414893
41,-0.0020550209219519526,-0.0012519621491619672
42,-0.002237074154540389,-0.0013244144636828021
43,-0.0027142993785072753,-0.0018060798772442262
44,-0.0031712670239142657,-0.002162588304445628
45,-0.003558979214753088,-0.002372314193600968
46,-0.00408486375976176,-0.002858534442802509
47,-0.004442178377523562,-0.0031333447779053358
48,-0.004595927565587765,-0.0031741063240961448
49,-0.0047740136458335625,-0.0033900744931607447
50,-0.004717747278995545,-0.003345228727272987
51,-0.004436718746506319,-0.0030574968546022417
52,-0.004195452886220676,-0.002924018123863783
53,-0.003783794590652259,-0.0026083786414081585
54,-0.0032420784993060234,-0.0021478832887555474
55,-0.0028461362863621666,-0.0019047766810516488
56,-0.002399343589568202,-0.001573646300573646
57,-0.0019363199306869578,-0.0011954352943835023
58,-0.0017087964776277228,-0.0010719945872134239
59,-0.0015026306487653316,-9.373301832566122e-4
60,-0.0013224230615574966,-8.099629866275932e-4
61,-0.0013807825207087661,-9.276422085563233e-4
62,-0.0014431204988496359,-0.0010278476275567107
63,-0.00149087956944816,-0.0010932835852651703
64,-0.0017139748644724635,-0.0013292800135370141
65,-0.001880228654136657,-0.0014974729562719734
66,-0.001974824176236035,-0.0015942721337479137
67,-0.0021887693916165683,-0.0018049113499228875
68,-0.002313897080951908,-0.0019297121937976445
69,-0.0023533973903404797,-0.001971993388348387
70,-0.0025077353698659366,-0.0021024963855056384
71,-0.002592227219747681,-0.0021645326749961317
72,-0.002619164536887324,-0.002172321117344611
73,-0.002783437441556042,-0.00227381005864167
74,-0.002904212970456277,-0.0023375753099748927
75,-0.0029840132596881857,-0.002371980810229013
76,-0.0031936123017817343,-0.002492623644507571
77,-0.0033437368771694976,-0.00257882465938927
78,-0.003419022100009473,-0.0026347669282621683
79,-0.0035669596376662143,-0.0027347639438399887
80,-0.0035968923808639107,-0.0027783472333921862
81,-0.003491204201779495,-0.0027479157296045045
82,-0.003394908962759744,-0.0027002301300596255
83,-0.0031400981416850825,-0.0025617385432098556
84,-0.002731344278027589,-0.0023458674968876527
85,-0.0023315827598410443,-0.0021021963601442436
86,-0.0018100013847731752,-0.0018072263152909167
87,-0.0011974392896040723,-0.001480081205366759
88,-6.737691741026643e-4,-0.001164073385158124
89,-1.3108540718492683e-4,-8.462357256542185e-4
90,3.9006748093783433e-4,-5.593195522816555e-4
91,7.202579079981147e-4,-3.2179609845803573e-4
92,9.697200661206713e-4,-1.5886483321404037e-4
93,0.0011197519487776415,-1.0346919128339259e-4
94,0.001035161579159232,-1.3943875448083371e-4
95,8.515664241966283e-4,-2.7364043253222186e-4
96,5.421838247600891e-4,-4.841524281176137e-4
97,1.339939828599481e-4,-7.496077892772851e-4
98,-3.386606121340845e-4,-0.0010551224124941058
99,-8.374460666041719e-4,-0.0013689809911568412
100,-0.0013222765547085292,-0.0016789573645537216
