Counter,Type.1,Type.2,User,ignoreAnalysis,Sample_Name,Sample,Date,DateTime,IPLnum,NumBlocks,NumCycles,IntTime,sam44current,ref44current,d13C.PDB,d13C.err,d18O.rawPDB,d18O.err,d18O.rawSMOW,d45,d45.err,d46,d46.err,d47,d47.err,d48,d48.err,d49,d49.err,D472,D47.err3,D484,D48.err5,D496,D49.err7,Comments
3988,Standard,102-GC-AZ01,jph,exclude,102-GC-AZ01,IPL-CI-4359 102-GC-AZ01,20251014.16,10/14/25 16:24,4359,90,calcite,50,5.78e-8,5.77e-8,0.368922777,0.003191138,-6.472437407,0.003604263,24.23749955,10.08433333,0.002586367,-7.573608318,0.003594884,2.590415534,0.009297614,-15.14780199,0.024362405,-26.84339725,1.930680926,-0.316822319,0.006777981,-0.064674073,0.021807586,-22.76613535,1.941438502,
3989,Standard,102-GC-AZ01,jph,exclude,102-GC-AZ01,IPL-CI-4371 102-GC-AZ01,20251016.21,10/16/25 21:01,4371,90,calcite,50,5.79e-8,5.77e-8,0.629116897,0.003671184,-6.432607885,0.004144694,24.27856021,10.32897205,0.003645977,-7.533317337,0.004133349,2.886788911,0.009459091,-15.01802554,0.027566589,-28.70800827,1.451431118,-0.31464531,0.00679264,-0.022441505,0.021086233,-25.0138633,1.453128344,
3990,Standard,102-GC-AZ01,jph,include,102-GC-AZ01,IPL-CI-4384 102-GC-AZ01,20251022.13,10/22/25 13:14,4384,90,calcite,50,5.78e-8,5.77e-8,0.591964832,0.00266449,-6.481573804,0.004330278,24.22808075,10.29433422,0.00209454,-7.582262092,0.004319581,2.782360966,0.010233332,-15.08964473,0.028290459,-29.37995517,1.832306066,-0.318611994,0.008248764,0.010554309,0.026360237,-25.50481422,1.841495595,
3991,Standard,102-GC-AZ01,eyl,include,102-GC-AZ01,IPL-CI-4411 102-GC-AZ01,20251029.12,10/29/25 12:19,4411,90,calcite,50,5.78e-8,5.76e-8,0.734769053,7.77069e-4,-6.480712774,0.003991777,24.22896839,10.42860403,5.54003e-4,-7.581113986,0.003983053,2.932440585,0.009861038,-15.14625115,0.023882513,-29.82193171,1.705082821,-0.307189155,0.006206393,-0.039246502,0.02186425,-26.06107399,1.708456937,
3992,Standard,102-GC-AZ01,wmn,include,102-GC-AZ01,IPL-CI-4460 102-GC-AZ01,20251110.17,11/10/25 17:05,4460,90,calcite,50,5.77e-8,5.76e-8,0.627292058,5.5175e-4,-6.422461668,0.003591224,24.28902004,10.32905356,5.21734e-4,-7.523212499,0.003583384,2.858662856,0.008732708,-15.05815951,0.024169668,-27.28275846,1.502363262,-0.331355791,0.007001977,-0.054888327,0.024593136,-23.51136059,1.507132831,
3993,Standard,102-GC-AZ01,wmn,include,102-GC-AZ01,IPL-CI-4479 102-GC-AZ01,20251114.14,11/14/25 14:49,4479,90,calcite,50,5.78e-8,5.76e-8,0.643029214,8.00776e-4,-6.504120977,0.003374843,24.20483664,10.34134484,5.69154e-4,-7.604664534,0.003367048,2.802425317,0.008693938,-15.26304536,0.024498437,-23.89895387,1.8537162,-0.320912728,0.0061291,-0.123028519,0.023445345,-19.9865297,1.856382023,
3994,Standard,102-GC-AZ01,wmn,include,102-GC-AZ01,IPL-CI-4520 102-GC-AZ01,20251124.14,11/24/25 14:04,4520,90,calcite,50,5.77e-8,5.75e-8,1.814383866,4.52475e-4,-6.546796221,0.003807054,24.16084231,11.44484385,5.23598e-4,-7.64480365,0.003799291,3.902973217,0.008130149,-15.34783766,0.025464316,-23.26939346,1.847981264,-0.299710661,0.00753333,-0.123960774,0.022874815,-20.40451468,1.851566251,
3995,Standard,102-GC-AZ01,wmn,include,102-GC-AZ01,IPL-CI-4532 102-GC-AZ01,20251204.12,12/4/25 12:00,4352,90,calcite,50,5.78e-8,5.76e-8,0.681993482,0.001673061,-6.548569082,0.003969275,24.15901465,10.37684738,0.00121606,-7.648932899,0.003959547,2.787462331,0.00862215,-15.32061921,0.020298528,-37.20316321,1.631325411,-0.338893141,0.005142662,-0.066069994,0.020144275,-33.3114795,1.635904738,
3996,Standard,102-GC-AZ01,yz,include,102-GC-AZ01,IPL-CI-4568 102-GC-AZ01,20251217.14,12/17/25 14:23,4568,90,calcite,50,5.77e-8,5.76e-8,0.705406216,4.35748e-4,-6.434983534,0.003711942,24.27611112,10.40233309,3.79269e-4,-7.535544374,0.003703888,2.937894693,0.007815984,-15.09135327,0.021431981,-30.79016144,1.62080908,-0.309461911,0.006985526,-0.099535733,0.020521008,-27.08847144,1.62308373,
3997,Standard,102-GC-AZ01,wmn,include,102-GC-AZ01,IPL-CI-4607 102-GC-AZ01,20260108.17,1/8/26 17:15,4607,90,calcite,50,5.78e-8,5.76e-8,0.670076989,0.002564207,-6.505030652,0.004444211,24.20389885,10.36725389,0.001982612,-7.60550684,0.004432848,2.823891137,0.009545668,-15.26512567,0.02508919,-33.38522512,1.415884884,-0.332347088,0.005437413,-0.12457387,0.019909163,-29.55869509,1.41272531,
3998,Standard,102-GC-AZ01,wmn,include,102-GC-AZ01,IPL-CI-4654 102-GC-AZ01,20260130.11,1/30/26 11:29,4654,90,calcite,50,5.78e-8,5.76e-8,0.602948186,6.54456e-4,-6.479836311,0.003925456,24.22987195,10.30424347,5.0152e-4,-7.580515443,0.003917043,2.796560665,0.009698708,-15.27817823,0.024765192,-29.74770535,1.70729819,-0.316171583,0.006121734,-0.169895068,0.026434874,-25.85935515,1.71616124,
3999,Standard,102-GC-AZ01,wmn,include,102-GC-AZ01,IPL-CI-4707 102-GC-AZ01,20260218.11,2/18/26 11:32,4707,90,calcite,50,5.76e-8,5.74e-8,0.595545093,6.06191e-4,-6.376301969,0.003392884,24.33660654,10.30060283,5.91027e-4,-7.477216767,0.003385683,2.873254402,0.007029498,-14.97697083,0.018222252,-26.63243539,1.101966223,-0.330049238,0.005845681,-0.08491744,0.017164791,-22.91239104,1.103329661,
4000,Standard,102-GC-AZ01,wmn,include,102-GC-AZ01,IPL-CI-4765 102-GC-AZ01,20260307.16,3/7/26 16:20,4765,90,calcite,50,5.77e-8,5.75e-8,0.63237199,5.98682e-4,-6.50499328,0.003503204,24.20393738,10.33108447,5.49803e-4,-7.605559079,0.003495682,2.798962366,0.009072789,-15.28385323,0.02440527,-24.59007031,1.502781162,-0.310005343,0.007091331,-0.140504296,0.02453121,-20.65830599,1.506799467,
