sample.ID,mean_D17Ocarb,sd_D17Ocarb,se_D17Ocarb,n,strat_height_m,Strat_m_Kraus,Bed,Status,Powder.,Nodule.,d18O_VPBD,D47_CU,X17O_IPL,CU_notes,MLA_notes,Reps_needed,mg_needed,T47_C,d18Oc_SMOW,d13C_carb,n_d13C,Soil_ID,Sample,horizon_id,d13C_VPDB,d18Ocarb_VPDB,d18Ocarb_VSMOW
PB-00-01-07,-104.39406869999999,4.2678042132986596,3.0177933000000006,2,1508.7,NA,,UM,yes,yes,-7.784336778,yes,target,NA,,4,28,33.4,22.894971528824243,NA,NA,PB-00-01-07,1A,PB-00-01-07,-14.5,-7.9,22.775732
PB-00-01-07,-104.39406869999999,4.2678042132986596,3.0177933000000006,2,1508.7,NA,,UM,yes,yes,-7.784336778,yes,target,NA,,4,28,33.4,22.894971528824243,NA,NA,PB-00-01-07,1B,PB-00-01-07,-14.7,-7.9,22.775732
PB-00-01-07,-104.39406869999999,4.2678042132986596,3.0177933000000006,2,1508.7,NA,,UM,yes,yes,-7.784336778,yes,target,NA,,4,28,33.4,22.894971528824243,NA,NA,PB-00-01-07,2A,PB-00-01-07,-14.3,-8.1,22.569548
PB-00-01-07,-104.39406869999999,4.2678042132986596,3.0177933000000006,2,1508.7,NA,,UM,yes,yes,-7.784336778,yes,target,NA,,4,28,33.4,22.894971528824243,NA,NA,PB-00-01-07,2B,PB-00-01-07,-14,-8.1,22.569548
PB-00-02-07D,-105.244547475,20.244281777328165,14.314868924999997,2,1526.3,NA,upper dbl red,UM,no,yes,NA,yes,yes,NA,,2,14,32.4,23.15594138770628,NA,NA,PB-00-02-07,07D-1A,PB-00-02-07D,-14.3,-8.6,22.054088
PB-00-02-07D,-105.244547475,20.244281777328165,14.314868924999997,2,1526.3,NA,upper dbl red,UM,no,yes,NA,yes,yes,NA,,2,14,32.4,23.15594138770628,NA,NA,PB-00-02-07,07D-1B,PB-00-02-07D,-14.3,-8.8,21.847904
PB-00-02-07D,-105.244547475,20.244281777328165,14.314868924999997,2,1526.3,NA,upper dbl red,UM,no,yes,NA,yes,yes,NA,,2,14,32.4,23.15594138770628,NA,NA,PB-00-02-07,07D-2A,PB-00-02-07D,-14.5,-8.7,21.950996
PB-00-02-07D,-105.244547475,20.244281777328165,14.314868924999997,2,1526.3,NA,upper dbl red,UM,no,yes,NA,yes,yes,NA,,2,14,32.4,23.15594138770628,NA,NA,PB-00-02-07,07D-2B,PB-00-02-07D,-14.4,-8.8,21.847904
PB-00-02-09L,-120.1919232,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.7,21.469101506755884,NA,NA,NA,NA,NA,NA,NA,NA
PB-00-02-19,-95.27794226,9.798973683116225,6.9289207400000015,2,1545.1,NA,,UM,no,yes,NA,yes,yes,NA,,2,14,25.1,22.2702923052884,NA,NA,PB-00-02-19,1A,PB-00-02-19,-10.1,-8.7,21.950996
PB-00-02-19,-95.27794226,9.798973683116225,6.9289207400000015,2,1545.1,NA,,UM,no,yes,NA,yes,yes,NA,,2,14,25.1,22.2702923052884,NA,NA,PB-00-02-19,1B,PB-00-02-19,-9.7,-8.8,21.847904
PB-00-02-19,-95.27794226,9.798973683116225,6.9289207400000015,2,1545.1,NA,,UM,no,yes,NA,yes,yes,NA,,2,14,25.1,22.2702923052884,NA,NA,PB-00-02-19,2A,PB-00-02-19,-10.4,-9.4,21.229352
PB-00-02-19,-95.27794226,9.798973683116225,6.9289207400000015,2,1545.1,NA,,UM,no,yes,NA,yes,yes,NA,,2,14,25.1,22.2702923052884,NA,NA,PB-00-02-19,2B,PB-00-02-19,-10.2,-9.3,21.332444
PB-00-03-08,-109.54148445,3.9022348864620096,2.7592967500000043,2,1494.4,NA,,UM,yes,yes,NA,yes,yes,NA,,2,14,16.8,22.99827102209264,NA,NA,PB-00-03-08,1A,PB-00-03-08,-9.9,-8.9,21.744812
PB-00-03-08,-109.54148445,3.9022348864620096,2.7592967500000043,2,1494.4,NA,,UM,yes,yes,NA,yes,yes,NA,,2,14,16.8,22.99827102209264,NA,NA,PB-00-03-08,1B,PB-00-03-08,-9.9,-8.9,21.744812
PB-00-03-08,-109.54148445,3.9022348864620096,2.7592967500000043,2,1494.4,NA,,UM,yes,yes,NA,yes,yes,NA,,2,14,16.8,22.99827102209264,NA,NA,PB-00-03-08,2A,PB-00-03-08,-9.7,-9.2,21.435536
PB-00-03-08,-109.54148445,3.9022348864620096,2.7592967500000043,2,1494.4,NA,,UM,yes,yes,NA,yes,yes,NA,,2,14,16.8,22.99827102209264,NA,NA,PB-00-03-08,2B,PB-00-03-08,-9.7,-9.4,21.229352
PB-00-03-16,-89.435965165,13.504024892784706,9.548787575000006,2,1507.4,NA,,CU?,yes,no,NA,yes,yes,NA,,3,21,34.4,22.84709299992032,NA,NA,PB-00-03-16,1A,PB-00-03-16,-14.1,-8.2,22.466456
PB-00-03-16,-89.435965165,13.504024892784706,9.548787575000006,2,1507.4,NA,,CU?,yes,no,NA,yes,yes,NA,,3,21,34.4,22.84709299992032,NA,NA,PB-00-03-16,1B,PB-00-03-16,-14.1,-7.9,22.775732
PB-00-03-16,-89.435965165,13.504024892784706,9.548787575000006,2,1507.4,NA,,CU?,yes,no,NA,yes,yes,NA,,3,21,34.4,22.84709299992032,NA,NA,PB-00-03-16,2A,PB-00-03-16,-14.5,-8.5,22.15718
PB-00-03-16,-89.435965165,13.504024892784706,9.548787575000006,2,1507.4,NA,,CU?,yes,no,NA,yes,yes,NA,,3,21,34.4,22.84709299992032,NA,NA,PB-00-03-16,2B,PB-00-03-16,-14.4,-8.3,22.363364
PB-00-04-11,-109.92487224999999,1.3864301348587529,0.9803541500000037,2,1568.2,NA,,UM,yes,yes,-8.48,yes,target,NA,,4,28,NA,NA,NA,NA,PB-00-04-11,1A,PB-00-04-11,-9,-9,21.64172
PB-00-04-11,-109.92487224999999,1.3864301348587529,0.9803541500000037,2,1568.2,NA,,UM,yes,yes,-8.48,yes,target,NA,,4,28,NA,NA,NA,NA,PB-00-04-11,1C,PB-00-04-11,-8.8,-8.2,22.466456
PB-00-04-11,-109.92487224999999,1.3864301348587529,0.9803541500000037,2,1568.2,NA,,UM,yes,yes,-8.48,yes,target,NA,,4,28,NA,NA,NA,NA,PB-00-04-11,2B,PB-00-04-11,-9.1,-8.3,22.363364
PB-00-04-11,-109.92487224999999,1.3864301348587529,0.9803541500000037,2,1568.2,NA,,UM,yes,yes,-8.48,yes,target,NA,,4,28,NA,NA,NA,NA,PB-00-04-11,2C,PB-00-04-11,-9.2,-7.8,22.878824
PB-00-04-16,-113.1059556,8.497601437108537,6.008711599999998,2,1594.2,NA,,UM,yes,yes,NA,yes,yes,NA,,2,14,17.5,21.95890589658536,NA,NA,PB-00-04-16,1A,PB-00-04-16,-8.1,-8.3,22.363364
PB-00-04-16,-113.1059556,8.497601437108537,6.008711599999998,2,1594.2,NA,,UM,yes,yes,NA,yes,yes,NA,,2,14,17.5,21.95890589658536,NA,NA,PB-00-04-16,1B,PB-00-04-16,-8.7,-8.6,22.054088
PB-00-04-16,-113.1059556,8.497601437108537,6.008711599999998,2,1594.2,NA,,UM,yes,yes,NA,yes,yes,NA,,2,14,17.5,21.95890589658536,NA,NA,PB-00-04-16,2A,PB-00-04-16,-9.3,-8.4,22.260272
PB-00-04-16,-113.1059556,8.497601437108537,6.008711599999998,2,1594.2,NA,,UM,yes,yes,NA,yes,yes,NA,,2,14,17.5,21.95890589658536,NA,NA,PB-00-04-16,2B,PB-00-04-16,-9.3,-8.3,22.363364
SC-22-PK95,-116.3326585,NA,NA,1,1460,NA,,,,,NA,,target,NA,,NA,NA,NA,NA,-7.685,2,NA,NA,NA,NA,NA,NA
SC-23-PK95,-93.67298263,0.6135462585608249,0.4338427199999941,2,1495,NA,,,,,NA,,target,NA,,NA,NA,NA,NA,-8.081428571428571,7,NA,NA,NA,NA,NA,NA
SC-27-PK95,-99.082359335,6.165831358149262,4.359901165000003,2,1525,NA,,,,,NA,,,NA,,NA,NA,NA,NA,-14.635,3,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.7,21.469101506755884,NA,NA,NA,NA,NA,NA,NA,NA
