Snell_sample_id,MLA_sample_id,MLA_horizon_id,strat_height_m,Snell_Age_Ma,Snell_sample_type,Snell_mean_d18Ow_vsmow,Snell_mean_d18Ocarb_vsmow,Snell_mean_d13Ccarb_vpdb,Snell_mean_D47,Snell_se_D47,Snell_mean_T47_C,Snell_se_T47_C,Snell_sample_group
41-1435-2,41-1435-2,NA,NA,53,Paleosol Micrite,-2.3,22.8,-11.4,0.578,0.006,41.5,2.3,Primary paleosol micrite
41-1435-6,41-1435-6,NA,NA,53,Paleosol Micrite,-1.9,22.6,-11.5,0.566,0.032,44.8,8.9,Primary paleosol micrite
35-1190-2,35-1190-2,NA,NA,53.4,Paleosol Micrite,-4.1,22.5,-10.6,0.609,0.006,33.8,2,Primary paleosol micrite
32-1030-3,32-1030-3,NA,NA,53.6,Paleosol Micrite,-5.2,22.1,-8.8,0.624,0.008,30,2.3,Primary paleosol micrite
SC-295,SC-295,SNELL-SC-295,2240,54.1,Paleosol Micrite,-3.9,22.3,-10,0.601,0.004,35.6,1.8,Primary paleosol micrite
SC-64,SC-64,SNELL-SC-64,1970,54.7,Paleosol Micrite,-3.6,22.5,-8.7,0.598,0.001,36.2,1.5,Primary paleosol micrite
SC-33,SC-33,SNELL-SC-33,1840,55,Paleosol Micrite,-6.1,21.8,-7.5,0.638,0.022,26.8,5.2,Primary paleosol micrite
SC-15,SC-15,SNELL-SC-15,1630,55.5,Paleosol Micrite,-4.2,21.8,-8.4,0.596,0.011,36.9,3.2,Primary paleosol micrite
SC-351-Nod1,SC-351-n1,SNELL-SC-351-n1,1520,55.7,Paleosol Micrite,-2.3,23,-14.6,0.582,0.024,40.4,6.4,Primary paleosol micrite
PB-00-02-02,PB-00-02-02,PB-00-02-02,1520.5,55.8,Paleosol Micrite,-3.6,22.4,-13.6,0.596,0.008,36.8,2.5,Primary paleosol micrite
PB-00-02-32,PB-00-02-32,SNELL-PB-00-02-32,NA,55.8,Paleosol Micrite,-3.8,22.3,-14.1,0.599,0.014,36,3.8,Primary paleosol micrite
PB-00-02-32-2,PB-00-02-32-2,SNELL-PB-00-02-32-2,NA,55.8,Paleosol Micrite,-2.9,22.6,-14.1,0.585,0.011,39.7,3.2,Primary paleosol micrite
SC-62,SC-62,SNELL-SC-62,1305,56,Paleosol Micrite,-4.5,22.6,-8.1,0.619,0.017,31.2,4.3,Primary paleosol micrite
SC-188,SC-188,SNELL-SC-188,1280,56.2,Paleosol Micrite,-5.6,21.4,-6.9,0.618,0.025,31.4,6.1,Primary paleosol micrite
