snell2013_age_ma,section_id,Snell_sample_id,MLA_sample_id,MLA_horizon_id,strat_height_m,Snell_sample_type,Snell_mean_d18Ow_vsmow,Snell_mean_d18Ocarb_vsmow,Snell_reported_d13Ccarb_vpdb,Snell_mean_d13Ccarb_vpdb,Snell_mean_D47,Snell_se_D47,Snell_mean_T47_C,Snell_se_T47_C,Comments,Snell_d13C_omitted_from_compilation,Snell_d13C_omission_reason,Snell_sample_group
53,MCP,41-1435-2,41-1435-2,41-1435-2,2566,Paleosol Micrite,-2.3,22.8,-11.4,-11.4,0.578,0.006,41.5,2.3,NA,FALSE,NA,Primary paleosol micrite
53,MCP,41-1435-6,41-1435-6,41-1435-6,2566,Paleosol Micrite,-1.9,22.6,-11.5,-11.5,0.566,0.032,44.8,8.9,NA,FALSE,NA,Primary paleosol micrite
53.4,MCP,35-1190-2,35-1190-2,35-1190-2,2332,Paleosol Micrite,-4.1,22.5,-10.6,-10.6,0.609,0.006,33.8,2,NA,FALSE,NA,Primary paleosol micrite
53.6,MCP,32-1030-3,32-1030-3,32-1030-3,2179,Paleosol Micrite,-5.2,22.1,-8.8,-8.8,0.624,0.008,30,2.3,NA,FALSE,NA,Primary paleosol micrite
54.1,CFB,SC-295,SC-295,SNELL-SC-295,2210,Paleosol Micrite,-3.9,22.3,-10,-10,0.601,0.004,35.6,1.8,NA,FALSE,NA,Primary paleosol micrite
54.7,CFB,SC-64,SC-64,SNELL-SC-64,1970,Paleosol Micrite,-3.6,22.5,-8.7,-8.7,0.598,0.001,36.2,1.5,NA,FALSE,NA,Primary paleosol micrite
55,CFB,SC-33,SC-33,SNELL-SC-33,1840,Paleosol Micrite,-6.1,21.8,-7.5,-7.5,0.638,0.022,26.8,5.2,NA,FALSE,NA,Primary paleosol micrite
55.5,CFB,SC-15,SC-15,SNELL-SC-15,1630,Paleosol Micrite,-4.2,21.8,-8.4,-8.4,0.596,0.011,36.9,3.2,NA,FALSE,NA,Primary paleosol micrite
55.7,CFB,SC-351-Nod1,SC-351-n1,SNELL-SC-351-n1,1524,Paleosol Micrite,-2.3,23,-14.6,-14.6,0.582,0.024,40.4,6.4,NA,FALSE,NA,Primary paleosol micrite
55.8,CFB,PB-00-02-02,PB-00-02-02,PB-00-02-02,1520.5,Paleosol Micrite,-3.6,22.4,-13.6,-13.6,0.596,0.008,36.8,2.5,NA,FALSE,NA,Primary paleosol micrite
55.8,CFB,PB-00-02-32,PB-00-02-32,SNELL-PB-00-02-32,1120,Paleosol Micrite,-3.8,22.3,-14.1,NA,0.599,0.014,36,3.8,sample strat pos. estimated from Clyde et al. (2007) based on age estaimte given in Snell et al. (2013),TRUE,Replicated -14.1 per mil d13Ccarb value is isolated in the compiled record and its 1120 m CFB position was estimated indirectly from published age/stratigraphic information.,Primary paleosol micrite
55.8,CFB,PB-00-02-32-2,PB-00-02-32-2,SNELL-PB-00-02-32-2,1120,Paleosol Micrite,-2.9,22.6,-14.1,NA,0.585,0.011,39.7,3.2,NA,TRUE,Replicated -14.1 per mil d13Ccarb value is isolated in the compiled record and its 1120 m CFB position was estimated indirectly from published age/stratigraphic information.,Primary paleosol micrite
56,CFB,SC-62,SC-62,SNELL-SC-62,1305,Paleosol Micrite,-4.5,22.6,-8.1,-8.1,0.619,0.017,31.2,4.3,NA,FALSE,NA,Primary paleosol micrite
56.2,CFB,SC-188,SC-188,SNELL-SC-188,1280,Paleosol Micrite,-5.6,21.4,-6.9,-6.9,0.618,0.025,31.4,6.1,NA,FALSE,NA,Primary paleosol micrite
