age_bin_ma,Age_Ma,temperature_C,temperature_se_C,n_observations,sample_ids
52.7,52.7,27,5,1,BB-TF3-14-027
53.900000000000006,53.9,30,6,1,BB-TF3-14-012
54.400000000000006,54.400000000000006,32.99999999999999,3.5355339059327378,2,GH14-002; GH14-002nod2
54.6,54.6,36,4,1,PS22-Bk
55,55,31.205882352941178,2.0579830217101063,3,BB10-035; PS12-Bk; PS12-Bknod2
55.400000000000006,55.4,30.04878048780488,1.8740851426632728,3,BB10-032; PS7-Bk1; PS7-Bk2
55.7,55.7,32,4,1,PS5-Bk
55.800000000000004,55.800000000000004,32.29824561403509,2.6224402724287432,3,BB-TF1-14-004B; BB-TF1-14-004Bnod2; PS4-Bk
55.900000000000006,55.9,37,4,1,PS2-Bk
56.400000000000006,56.39999999999999,30,6,1,BB10-019
56.900000000000006,56.9,24,4,1,BB10-011
57.6,57.60000000000001,25,5,1,BB10-001
58.400000000000006,58.4,31,4,1,BB12-013
