sample_id,Age_Ma,epoch,section,petro_type,d13Ccarb_vpdb,d13Ccarb_sd,d13Ccarb_se,d18Ocarb_vpdb,d18Ocarb_vsmow,d18Ocarb_sd,d18Ocarb_se,D47,D47_sd,D47_se,n_replicates,T47_C,T47_se_C,T47_95CI_C,d18Ow_vsmow,d18Ow_error,petro_class,kelson_exclusion_reason,used_in_tornillo_temperature_model,kelson_screening_basis,T47_se_imputed,inverse_variance_weight,age_bin_ma
BB12-013,58.4,Paleocene,TF,Micrite,-9.7,0.03,0.02,-3.6,27.198724,0,0,0.5899,0.021,0.012,3,31,4,13,0,-0.9,Micrite,,TRUE,Primary micrite retained after Kelson et al. (2018) and legacy project sample exclusions,FALSE,0.0625,58.400000000000006
BB10-001,57.6,Paleocene,TF,Micrite,-9.2,0.08,0.04,-3.6,27.198724,0.2,0.1,0.6083,0.035,0.016,5,25,5,12,-1.2,-1,Micrite,,TRUE,Primary micrite retained after Kelson et al. (2018) and legacy project sample exclusions,FALSE,0.04,57.6
BB10-011,56.9,Paleocene,TF,Micrite,-9.2,0.02,0.01,-4.1,26.683269,0.1,0.1,0.6121,0.028,0.014,4,24,4,12,-2,-1,Micrite,,TRUE,Primary micrite retained after Kelson et al. (2018) and legacy project sample exclusions,FALSE,0.0625,56.900000000000006
BB10-019,56.4,Paleocene,TF,Micrite,-9.5,0.1,0.06,-4.2,26.580178,0.2,0.1,0.593,0.04,0.02,4,30,6,17,-0.8,-1.4,Micrite,,TRUE,Primary micrite retained after Kelson et al. (2018) and legacy project sample exclusions,FALSE,0.027777777777777776,56.400000000000006
PS2-Bk,55.9,Eocene,GH,Micrite,-9.4,0.18,0.09,-4.7,26.064723,0.1,0.1,0.5712,0.028,0.013,5,37,4,11,0.1,-0.9,Micrite,,TRUE,Primary micrite retained after Kelson et al. (2018) and legacy project sample exclusions,FALSE,0.0625,55.900000000000006
BB-TF1-14-004B,55.8,Eocene,TF,Micrite,-9.2,0.03,0.01,-4.4,26.373996000000002,0.3,0.1,0.5994,0.056,0.023,6,28,7,17,-1.5,-1.5,Micrite,,TRUE,Primary micrite retained after Kelson et al. (2018) and legacy project sample exclusions,FALSE,0.02040816326530612,55.800000000000004
BB-TF1-14-004Bnod2,55.8,Eocene,TF,Micrite,-9.3,0.02,0.01,-4.2,26.580178,0.1,0,0.5689,0.021,0.011,4,38,4,10,0.7,-0.8,Micrite,,TRUE,Primary micrite retained after Kelson et al. (2018) and legacy project sample exclusions,FALSE,0.0625,55.800000000000004
PS4-Bk,55.8,Eocene,GH,Micrite,-9.8,0.12,0.05,-4.9,25.858541,0.1,0,0.5979,0.033,0.012,8,28,4,8,-1.9,-0.8,Micrite,,TRUE,Primary micrite retained after Kelson et al. (2018) and legacy project sample exclusions,FALSE,0.0625,55.800000000000004
PS5-Bk,55.7,Eocene,GH,Micrite,-9.1,0.25,0.1,-4.6,26.167814,0.2,0.1,0.588,0.032,0.012,7,32,4,9,-0.9,-0.8,Micrite,,TRUE,Primary micrite retained after Kelson et al. (2018) and legacy project sample exclusions,FALSE,0.0625,55.7
BB10-032,55.4,Eocene,TF,Micrite,-9,0.08,0.05,-4.7,26.064723,0.2,0.1,0.6028,0.021,0.011,4,27,3,9,-2,-0.7,Micrite,,TRUE,Primary micrite retained after Kelson et al. (2018) and legacy project sample exclusions,FALSE,0.1111111111111111,55.400000000000006
