IPLnum,MLA_horizon_id,IPLD47_mean_T47_C,strat_height_m
4710,PK95-SC-165,28.26415559,820
4860,PB-00-03-08,5.378387904,1494.4
4931,PK95-SC-279,46.08959219,680
4932,PKQS-SC-187,55.074183,NA
4934,PK95-SC-133,17.96129788,1750
4936,PK95-SC-176,46.31053883,1355
4937,PK95-SC-4,72.1277435,1570
4939,PK95-SC-160,40.84769339,1720
4940,PK95-SC-31,33.06755254,1760
4945,PK95-SC-27,37.61849101,1525
4946,PK95-SC-176,54.36445945,1355
4948,PK95-SC-4,75.00522274,1570
4949,PK95-SC-160,45.25245201,1720
4951,PK95-SC-160,38.96162061,1720
4952,PK95-SC-279,46.98038564,680
4954,PK95-SC-31,24.65371297,1760
4957,PK95-SC-187,54.6822766,700
4958,PK95-SC-133,23.53552033,1750
4961,PK95-SC-111,38.5049218,2005
4961,PK95-SC-111,38.5049218,2005
4962,PK95-SC-63,35.2766891,1910
4964,PK95-SC-148,10.66989732,2047
4964,PK95-SC-148,10.66989732,2050
4965,PK95-SC-303,27.49846582,2110
4967,PK95-SC-6,42.37264717,1530
4968,PK95-SC-3,38.65088556,1935
4971,PK95-SC-63,33.61707214,1910
4972,PK95-SC-63,31.40070982,1910
4974,PK95-SC-63,27.1384478,1910
4975,PK95-SC-31,35.74326049,1760
4977,PK95-SC-31,33.59556095,1760
4978,PK95-SC-31,26.56252529,1760
4981,PK95-SC-148,23.53224924,2047
4981,PK95-SC-148,23.53224924,2050
4983,PK95-SC-242,58.77175458,590
