site,basin,sample_label,depth_mbsf,depth_composite_rmcd,Age_Ma,d13C_benthic_vpdb,d18O_benthic_vpdb,source_record,dataset_doi,article_doi
ODP Site 1209,Pacific,"198-1209B-20H-5,90-92",183.01,202.27,52.007979,0.2324,-0.5375,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-3,95-97",183.15,202.3,52.01236,0.237,-0.563,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-20H-5,95-97",183.05,202.31,52.013821,-0.48,-0.328,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-20H-5,100-102",183.11,202.37,52.023343000000004,0.1096,-0.5633,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-20H-5,105-107",183.15,202.403,52.028580000000005,0.158,-0.606,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-3,105-107",183.25,202.41,52.029691,0.194,-0.61,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-20H-5,110-112",183.21,202.47,52.039213000000004,0.1346,-0.6416,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-20H-5,115-117",183.25,202.492,52.042704,-0.14,-0.036,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-3,115-117",183.35,202.51,52.045561,0.265,-0.545,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-20H-5,120-122",183.31,202.57,52.055082,-0.025,-0.5122,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-20H-5,125-127",183.35,202.585,52.058517,0.191,-0.334,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-3,125-127",183.45,202.61,52.064242,0.209,-0.36,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-20H-5,130-132",183.41,202.67,52.077983,0.147,-0.4813,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-20H-5,135-137",183.45,202.687,52.081875999999994,0.286,-0.324,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-3,135-137",183.55,202.71,52.087143,0.089,-0.416,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-20H-5,140-142",183.51,202.77,52.100884,0.0737,-0.5501,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-20H-5,145-147",183.55,202.79,52.105464,-0.256,-0.117,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-3,145-147",183.65,202.81,52.110044,0.085,-0.562,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-4,0-2",183.71,202.87,52.123784,-0.0387,-0.6683,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-4,5-7",183.75,202.91,52.132945,-0.02,-0.755,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-4,15-17",183.85,203.01,52.155846,0.047,-0.538,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
