section_id,MLA_horizon_id,strat_height_m,Bowen_mean_d13Ccarb_vpdb,Bowen_se_d13Ccarb_vpdb,Bowen_n_d13Ccarb,Bowen_mean_d18Ocarb_vpdb,Bowen_se_d18Ocarb_vpdb,Bowen_n_d18Ocarb_vpdb,Bowen_mean_d18Ocarb_vsmow,Bowen_se_d18Ocarb_vsmow,Bowen_n_d18Ocarb_vsmow
CFB,PB-00-01-01,1500.9,-12.4,0.0707106781186545,4,-9.075,0.10307764064044146,4,21.564401,0.10626480128904416,4
CFB,PB-00-01-02,1502.2,-12.5,0.14142135623730942,4,-8.174999999999999,0.02499999999999991,4,22.492229000000002,0.025773000000000046,4
CFB,PB-00-01-03,1504.9,-14.149999999999999,0.04999999999999982,2,-8.55,0.04999999999999982,2,22.105634000000002,0.05154600000000009,2
CFB,PB-00-01-04,1506.5,-13.875,0.1887458608817686,4,-8.95,0.028867513459481187,4,21.693266,0.029760096975648503,4
CFB,PB-00-01-05,1507.3,-15.875,0.21691835198657455,8,-8.4875,0.11563103266115775,8,22.1700665,0.11920634419104088,8
CFB,PB-00-01-06,1508,-14.2375,0.09624652127294184,8,-8.7375,0.04977628523130852,8,21.9123365,0.05131536797066055,8
CFB,PB-00-01-07,1508.7,-14.375,0.1493039405597408,4,-8,0.05773502691896237,4,22.67264,0.059520193951297005,4
CFB,PB-00-01-07.5,1510,-14.275,0.24622144504490226,4,-8.225,0.025000000000000355,4,22.440683,0.025773000000000046,4
CFB,PB-00-01-08,1510.3,-13.95,0.27537852736430507,4,-8.325,0.09464847243000461,4,22.337591,0.09757500319754048,4
CFB,PB-00-01-09A,1512.8,-14.7,0.14719601443879743,4,-8.174999999999999,0.18874586088176862,4,22.492229000000002,0.19458188290023337,4
CFB,PB-00-01-09B,1512.4,-14.725,0.08539125638299679,4,-8.725,0.09464847243000465,4,21.925223,0.09757500319754048,4
CFB,PB-00-01-09C,1512.1,-15.05,0.04999999999999982,4,-8.75,0.09574271077563394,4,21.89945,0.09870307539281659,4
CFB,PB-00-01-09D,1511.7,-14.6,0.09128709291752768,4,-8.4,0.08164965809277268,4,22.260272,0.08417426552100128,4
CFB,PB-00-01-10A,1514.3,-14.75,0.11902380714238091,4,-7.949999999999999,0.11902380714238066,4,22.724186,0.12270402325922285,4
CFB,PB-00-01-10B,1514.1,-14.875,0.10307764064044166,4,-7.8,0.14719601443879743,4,22.878824,0.15174731520524432,4
CFB,PB-00-01-10C,1513.6,-15.3,0.2041241452319313,4,-8.7,0.14719601443879743,4,21.950996,0.15174731520524534,4
CFB,PB-00-01-10D,1513.2,-14.649999999999999,0.04999999999999982,2,-7.85,0.05000000000000026,2,22.827278,0.05154600000000009,2
CFB,PB-00-01-11,1515.4,-13.175,0.06291528696058965,4,-8.775,0.22126530078919562,4,21.873677,0.22810682388959824,4
CFB,PB-00-01-12,1516.4,-14.425,0.3424787098005751,4,-8.75,0.20207259421636914,4,21.89945,0.20832067882953953,4
CFB,PB-00-01-13,1517.8,-13.533333333333333,0.5174724898753341,3,-8.7,0.8504900548115384,3,21.950996,0.8767872073063114,3
CFB,PB-00-01-14A,1519.7,-13.45,0.26299556396765844,4,-9.175,0.4230346715499019,4,21.461309,0.4361149035942246,4
CFB,PB-00-01-14B,1519.3,-13.7,NA,1,-10.2,NA,1,20.404616,NA,1
CFB,PB-00-01-15A,1521.9,-13.350000000000001,0.04999999999999982,2,-7.699999999999999,0.10000000000000009,2,22.981916,0.1030919999999984,2
CFB,PB-00-01-15B,1521.2,-14.025,0.16007810593582147,4,-8.3,0.08164965809277268,4,22.363364,0.08417426552100128,4
CFB,PB-00-02-01,1519.3,-14.9,NA,1,-9.2,NA,1,21.435536,NA,1
CFB,PB-00-02-02,1520.5,-13.575,0.1600781059358213,4,-8,0.1080123449734645,4,22.67264,0.11135208668004405,4
CFB,PB-00-02-03,1522.9,-14.2,0.04082482904638652,4,-7.95,0.06454972243679023,4,22.724186000000003,0.06654559985453595,4
CFB,PB-00-02-04,1523.8,-14.375,0.4090130397269341,4,-8.175,0.06291528696058965,4,22.492229000000002,0.06486062763341112,4
CFB,PB-00-02-05,1524.2,-13.875,0.06291528696058978,4,-8.775,0.06291528696058978,4,21.873677,0.06486062763341112,4
CFB,PB-00-02-06,1525.3,-13.6,0.3651483716701107,4,-8.8,0.13540064007726596,4,21.847904,0.13958722786845532,4
CFB,PB-00-02-07A,1528.5,-12.85,0.16583123951776982,4,-9.325,0.22867371223353739,4,21.306671,0.23574430341579816,4
CFB,PB-00-02-07B,1528,-12.88,0.2576819745345024,5,-8.84,0.4226109321823088,5,21.8066672,0.4356780622053858,5
CFB,PB-00-02-07C,1527,-13.675,0.17499999999999982,4,-8.3,0.07071067811865492,4,22.363364,0.07289705228608369,4
CFB,PB-00-02-07D,1526.3,-14.375,0.047871355387816734,4,-8.725,0.0478713553878172,4,21.925223,0.04935153769640829,4
CFB,PB-00-02-08,1529.1,-13.825,0.04787135538781712,4,-8.7,0.2041241452319313,4,21.950996,0.2104356638025032,4
CFB,PB-00-02-09L,1530.5,-13.32,0.21540659228538006,5,-9.299999999999999,0.39874804074753756,5,21.332444,0.4110773301674516,5
CFB,PB-00-02-09U,1531,-13.75,0.11902380714238084,4,-8.850000000000001,0.028867513459481187,4,21.796357999999998,0.029760096975648503,4
CFB,PB-00-02-10,1531.6,-13.85,0.0645497224367904,4,-8.125,0.047871355387816734,4,22.543775,0.04935153769640829,4
CFB,PB-00-02-11,1532.2,-13.92,0.1462873883832779,5,-8.38,0.35832945734337845,5,22.2808904,0.36940900416443556,5
CFB,PB-00-02-12A,1533.5,-14.2,0.04082482904638652,4,-9.525,0.16007810593582109,4,21.100487,0.16502772097135623,4
CFB,PB-00-02-12B,1533,-12.725,0.2015564437074635,4,-8.85,0.10408329997330662,4,21.796357999999998,0.10730155560848147,4
CFB,PB-00-02-13,1534.8,-13.25,0.05000000000000071,2,-8.149999999999999,0.04999999999999982,2,22.518002000000003,0.05154600000000009,2
CFB,PB-00-02-14,1537,-13,0.23452078799117135,4,-8.975,0.17500000000000004,4,21.667493,0.18041100000000032,4
CFB,PB-00-02-15,1538.7,-13.25,0.15545631755148012,4,-9.7,0.17795130420052205,4,20.920076,0.1834535585264015,4
CFB,PB-00-02-17,1543,-10.625,0.25617376914898987,4,-8.45,0.13228756555322946,4,22.208726,0.13637789708013565,4
CFB,PB-00-02-18,1543.9,-10.174999999999999,0.02499999999999991,4,-9.15,0.09574271077563394,4,21.487082,0.09870307539281659,4
CFB,PB-00-02-19,1545.1,-10.1,0.14719601443879762,4,-9.05,0.1755942292142125,4,21.590173999999998,0.18102360278151608,4
CFB,PB-00-02-20,1547.2,-9.675,0.07500000000000022,4,-9.649999999999999,0.028867513459481187,4,20.971622,0.029760096975647476,4
