temperature_model,locality_id,n_measurements,mean_temp_c,sd_temp_c,min_temp_c,max_temp_c,depth_locality_m,depth_source,se_temp_c,two_se_temp_c,ci95_half_width_c
T(D47)CDES,SC-246-PK95,5,39.69976342130856,5.9318303619514525,29.572952530421,44.7395823030058,520,SandCoulee_Polecat_nodules.csv,2.652795184064126,5.305590368128252,7.365340203887122
T(D47)iCDES,SC-246-PK95,5,41.0611904300411,9.459080338343897,26.696043732939,50.234239739384,520,SandCoulee_Polecat_nodules.csv,4.230229328233733,8.460458656467466,11.744999512238698
TD47iCDES+,SC-246-PK95,5,40.43941772060848,7.834203801568451,27.9130857685163,47.7991328969959,520,SandCoulee_Polecat_nodules.csv,3.503562449978866,7.007124899957732,9.727448814998612
T(D47)CDES,SC-242-PK95,1,50.9153934158687,NA,50.9153934158687,50.9153934158687,590,SandCoulee_Polecat_nodules.csv,NA,NA,NA
T(D47)iCDES,SC-242-PK95,1,56.3274416377978,NA,56.3274416377978,56.3274416377978,590,SandCoulee_Polecat_nodules.csv,NA,NA,NA
TD47iCDES+,SC-242-PK95,1,53.8835794648583,NA,53.8835794648583,53.8835794648583,590,SandCoulee_Polecat_nodules.csv,NA,NA,NA
T(D47)CDES,SC-279-PK95,2,52.54786353202225,0.3419003661967009,52.3061034645944,52.7896235994501,680,SandCoulee_Polecat_nodules.csv,0.24176006742785103,0.48352013485570206,3.0718529137696735
T(D47)iCDES,SC-279-PK95,2,53.19685726755995,2.8929438990005636,51.1512370189844,55.2424775161355,680,SandCoulee_Polecat_nodules.csv,2.045620248575549,4.091240497151098,25.992069690865492
TD47iCDES+,SC-279-PK95,2,52.821567175122354,1.5168185339486808,51.7490145039378,53.8941198463069,680,SandCoulee_Polecat_nodules.csv,1.0725526711845497,2.1451053423690993,13.628073830401943
T(D47)CDES,SC-187-PK95,2,34.164608646695,9.15200572293595,27.6931633385489,40.6360539548411,700,SandCoulee_Polecat_nodules.csv,6.471445308146101,12.942890616292201,82.22750902426148
T(D47)iCDES,SC-187-PK95,2,35.366887936745,5.050722245956936,31.7954879867391,38.9382878867509,700,SandCoulee_Polecat_nodules.csv,3.571399950005899,7.142799900011798,45.37893895953901
TD47iCDES+,SC-187-PK95,2,34.80015368333685,6.66932271087541,30.0842303685554,39.5160769981183,700,SandCoulee_Polecat_nodules.csv,4.715923314781451,9.431846629562902,59.921487157712725
T(D47)CDES,SC-165-PK95,5,28.7372219579408,4.111916466719038,24.4211303062363,34.125423155291,820,SandCoulee_Polecat_nodules.csv,1.8389049474769041,3.6778098949538083,5.105618640346256
T(D47)iCDES,SC-165-PK95,5,28.40030579493326,3.924024473618027,22.40470637963,32.9923934254265,820,SandCoulee_Polecat_nodules.csv,1.7548770936765477,3.5097541873530953,4.87231991696198
