study,locality,interval_reported,stage_assignment,include_stage_plot,latitude_type,latitude_deg_n,temperature_target,temperature_C,temperature_lower_C,temperature_upper_C,proxy_group,topographic_context,notes,stage_group,plot_record
Fricke and Wing (2004),Big Bend,Wasatchian Wa-6,Ypresian,TRUE,paleolatitude,29,Inferred atmospheric MAT,31.5,26,37,Vertebrate phosphate,lowland,Coryphodon plus gar phosphate; structural uncertainty at least +/-5.5 C (1 sigma),Ypresian,Fricke & Wing (2004) phosphate MAT
Fricke and Wing (2004),San Juan Basin,Wasatchian Wa-6,Ypresian,TRUE,paleolatitude,36,Inferred atmospheric MAT,27.8,22.3,33.3,Vertebrate phosphate,basin,Coryphodon plus gar phosphate; structural uncertainty at least +/-5.5 C (1 sigma),Ypresian,Fricke & Wing (2004) phosphate MAT
Fricke and Wing (2004),Green River Basin,Wasatchian Wa-6,Ypresian,TRUE,paleolatitude,44,Inferred atmospheric MAT,15.5,10,21,Vertebrate phosphate,basin,Coryphodon plus gar phosphate; structural uncertainty at least +/-5.5 C (1 sigma),Ypresian,Fricke & Wing (2004) phosphate MAT
Fricke and Wing (2004),Bighorn Basin,Wasatchian Wa-6,Ypresian,TRUE,paleolatitude,45,Inferred atmospheric MAT,18.3,12.8,23.8,Vertebrate phosphate,basin,Coryphodon plus gar phosphate; structural uncertainty at least +/-5.5 C (1 sigma),Ypresian,Fricke & Wing (2004) phosphate MAT
Fricke and Wing (2004),Bighorn Basin,Wasatchian Wa-0 (PETM),Ypresian,TRUE,paleolatitude,45,Inferred atmospheric MAT,25.3,19.8,30.8,Vertebrate phosphate,basin,Coryphodon plus gar phosphate; structural uncertainty at least +/-5.5 C (1 sigma),Ypresian,Fricke & Wing (2004) phosphate MAT
Fricke and Wing (2004),Powder River Basin,Wasatchian Wa-2,Ypresian,TRUE,paleolatitude,45,Inferred atmospheric MAT,18.7,13.2,24.2,Vertebrate phosphate,basin,Coryphodon plus gar phosphate; structural uncertainty at least +/-5.5 C (1 sigma),Ypresian,Fricke & Wing (2004) phosphate MAT
Fricke and Wing (2004),Ellesmere Island,Wasatchian,Ypresian,TRUE,paleolatitude,73,Inferred atmospheric MAT,4,-1.5,9.5,Vertebrate phosphate,lowland,Coryphodon plus fish phosphate; structural uncertainty at least +/-5.5 C (1 sigma),Ypresian,Fricke & Wing (2004) phosphate MAT
Fricke and Wing (2004),Ellesmere Island,early Eocene,Ypresian,TRUE,paleolatitude,79.7,MAT,8.2,,,Paleobotanical MAT,lowland,Multiple-regression paleobotanical estimate compiled in Fricke and Wing Table 1; no tabulated error,Ypresian,Fricke & Wing (2004) paleobotanical MAT
Fricke and Wing (2004),McAbee,early Eocene,Ypresian,TRUE,paleolatitude,50.8,MAT,10,7.1,12.9,Paleobotanical MAT,upland,Leaf-margin MAT and binomial error from Fricke and Wing Table 1,Ypresian,Fricke & Wing (2004) paleobotanical MAT
Fricke and Wing (2004),Bear's Paw,early Eocene,Ypresian,TRUE,paleolatitude,48.5,MAT,11.2,8.6,13.8,Paleobotanical MAT,upland,Leaf-margin MAT and binomial error from Fricke and Wing Table 1,Ypresian,Fricke & Wing (2004) paleobotanical MAT
Fricke and Wing (2004),Camel's Butte,early Eocene,Ypresian,TRUE,paleolatitude,46.8,MAT,9.1,5.6,12.6,Paleobotanical MAT,upland,Leaf-margin MAT and binomial error from Fricke and Wing Table 1,Ypresian,Fricke & Wing (2004) paleobotanical MAT
Fricke and Wing (2004),Yellowstone-Sepulcher,early Eocene,Ypresian,TRUE,paleolatitude,44.9,MAT,10.5,7.6,13.4,Paleobotanical MAT,upland,Leaf-margin MAT and binomial error from Fricke and Wing Table 1,Ypresian,Fricke & Wing (2004) paleobotanical MAT
Fricke and Wing (2004),Wind River,early Eocene,Ypresian,TRUE,paleolatitude,43.7,MAT,18.6,16.2,21,Paleobotanical MAT,basin,Leaf-margin MAT and binomial error from Fricke and Wing Table 1,Ypresian,Fricke & Wing (2004) paleobotanical MAT
Fricke and Wing (2004),Green River (Sourdough),early Eocene,Ypresian,TRUE,paleolatitude,41.8,MAT,21.3,19,23.6,Paleobotanical MAT,basin,Leaf-margin MAT and binomial error from Fricke and Wing Table 1,Ypresian,Fricke & Wing (2004) paleobotanical MAT
Fricke and Wing (2004),Green River (Niland),early Eocene,Ypresian,TRUE,paleolatitude,41.5,MAT,23,19.3,26.7,Paleobotanical MAT,basin,Leaf-margin MAT and binomial error from Fricke and Wing Table 1,Ypresian,Fricke & Wing (2004) paleobotanical MAT
Fricke and Wing (2004),Green River (Little Mountain),early Eocene,Ypresian,TRUE,paleolatitude,41.2,MAT,19.6,17.5,21.7,Paleobotanical MAT,basin,Leaf-margin MAT and binomial error from Fricke and Wing Table 1,Ypresian,Fricke & Wing (2004) paleobotanical MAT
Fricke and Wing (2004),Green River (Lanthan),early Eocene,Ypresian,TRUE,paleolatitude,41.7,MAT,16.4,12,20.8,Paleobotanical MAT,basin,Leaf-margin MAT and binomial error from Fricke and Wing Table 1,Ypresian,Fricke & Wing (2004) paleobotanical MAT
Fricke and Wing (2004),Chalk Bluffs,early Eocene,Ypresian,TRUE,paleolatitude,39.2,MAT,17.1,15.2,19,Paleobotanical MAT,upland,Leaf-margin MAT and binomial error from Fricke and Wing Table 1,Ypresian,Fricke & Wing (2004) paleobotanical MAT
West et al. (2020),Republic (Boot Hill),early Eocene,Ypresian,TRUE,modern latitude,48.3,Ensemble MAT,7.6,-0.5,14.3,Paleobotanical MAT,upland,Published ensemble estimate and 95% interval,Ypresian,West et al. (2020) ensemble MAT
West et al. (2020),Republic (Knob Hill),early Eocene,Ypresian,TRUE,modern latitude,48.3,Ensemble MAT,11.8,5,18.1,Paleobotanical MAT,upland,Published ensemble estimate and 95% interval,Ypresian,West et al. (2020) ensemble MAT
West et al. (2020),Racehorse Creek,early Eocene,Ypresian,TRUE,modern latitude,48.4,Ensemble MAT,17.3,10.4,25.4,Paleobotanical MAT,lowland,Published ensemble estimate and 95% interval,Ypresian,West et al. (2020) ensemble MAT
West et al. (2020),Racehorse Creek (Landslide),early Eocene,Ypresian,TRUE,modern latitude,48.4,Ensemble MAT,18.9,11.6,26.1,Paleobotanical MAT,lowland,Published ensemble estimate and 95% interval,Ypresian,West et al. (2020) ensemble MAT
West et al. (2020),One Mile Creek,early Eocene,Ypresian,TRUE,modern latitude,49.2,Ensemble MAT,7,-0.9,13.6,Paleobotanical MAT,upland,Published ensemble estimate and 95% interval,Ypresian,West et al. (2020) ensemble MAT
West et al. (2020),Thomas Ranch,early Eocene,Ypresian,TRUE,modern latitude,49.2,Ensemble MAT,9.9,4.5,13.6,Paleobotanical MAT,upland,Published ensemble estimate and 95% interval,Ypresian,West et al. (2020) ensemble MAT
West et al. (2020),Whipsaw Creek,early Eocene,Ypresian,TRUE,modern latitude,49.2,Ensemble MAT,13,6.5,21.2,Paleobotanical MAT,upland,Published ensemble estimate and 95% interval,Ypresian,West et al. (2020) ensemble MAT
West et al. (2020),Quilchena,early Eocene,Ypresian,TRUE,modern latitude,50.1,Ensemble MAT,14.9,8.1,21.2,Paleobotanical MAT,upland,Published ensemble estimate and 95% interval,Ypresian,West et al. (2020) ensemble MAT
West et al. (2020),Falkland,early Eocene,Ypresian,TRUE,modern latitude,50.3,Ensemble MAT,10.4,2.3,15.9,Paleobotanical MAT,upland,Published ensemble estimate and 95% interval,Ypresian,West et al. (2020) ensemble MAT
