sample_name,locality_id,n_rows,peterson_n,peterson_mean_c,peterson_sd_c,anderson_n,anderson_mean_c,anderson_sd_c,peterson_se_c,peterson_two_se_c,peterson_ci95_half_width_c,anderson_se_c,anderson_two_se_c,anderson_ci95_half_width_c
PK95-SC-118up,SC-118 upper-PK95,2,2,36.7,5.501290757631341,2,37.96,0.26870057685088483,3.8900000000000006,7.780000000000001,49.42713642371956,0.1899999999999977,0.3799999999999954,2.4141788998731624
PK95-SC-118up-01,SC-118 upper-PK95,1,1,41.24,NA,1,29.15,NA,NA,NA,NA,NA,NA,NA
PK95-SC-118up-02,SC-118 upper-PK95,1,1,40.85,NA,1,23.14,NA,NA,NA,NA,NA,NA,NA
PK95-SC-165,SC-165-PK95,2,2,28.655,4.447701653663383,2,29.555,4.150716805565034,3.1449999999999996,6.289999999999999,39.9610138952694,2.935,5.87,37.292710900672724
PK95-SC-165-01,SC-165-PK95,1,1,35.3,NA,1,45.87,NA,NA,NA,NA,NA,NA,NA
PK95-SC-165-03,SC-165-PK95,1,1,29.15,NA,1,41.15,NA,NA,NA,NA,NA,NA,NA
PK95-SC-176-01,SC-176-PK95,1,1,49.38,NA,1,27.7,NA,NA,NA,NA,NA,NA,NA
PK95-SC-176-02,SC-176-PK95,1,1,44.4,NA,1,24.2,NA,NA,NA,NA,NA,NA,NA
PK95-SC-179,SC-179-PK95,3,3,28.233333333333334,1.8680827961665225,3,20.143333333333334,24.708319111856504,1.0785381052352507,2.1570762104705015,4.640574922629264,14.265354690453528,28.530709380907055,61.37886729972416
PK95-SC-179-01,SC-179-PK95,1,1,-5.57,NA,1,29.18,NA,NA,NA,NA,NA,NA,NA
PK95-SC-179-02,SC-179-PK95,1,1,45.12,NA,1,30.72,NA,NA,NA,NA,NA,NA,NA
PK95-SC-179-03,SC-179-PK95,1,1,31.83,NA,1,28.08,NA,NA,NA,NA,NA,NA,NA
PK95-SC-185-01,SC-185-PK95,1,1,33.44,NA,1,33.08,NA,NA,NA,NA,NA,NA,NA
