source,sample_group,sample_type,MLA_sample_id,MLA_horizon_id,section_id,strat_height_m,d13Ccarb_vpdb,d18Ocarb_vpdb,d18Ocarb_vsmow,D47,D47_carb_corr,T47_C,T47_preferred,T47_se_C
IPL D47,SPAR,SPAR,PK95-SC-22-SPAR,PK95-SC-22,CFB,1460,-9.030575149,-11.04756597,19.53084329,0.5552908331690953,0.56265972344329,39.16382464311744,39.16382464311744,NA
IPL D47,SPAR,SPAR,PK95-SC-22-SPAR,PK95-SC-22,CFB,1460,-9.031416716,-10.97959112,19.60091992,0.5344424920055102,0.5418113822797048,47.80049263156155,47.80049263156155,NA
IPL D47,SPAR,SPAR,PK95-SC-4-SPAR,PK95-SC-4,CFB,1570,-4.899593289,-16.29924898,14.11677824,0.4639294432115441,0.4712983334857387,83.38405796492975,83.38405796492975,NA
IPL D47,SPAR,SPAR,PK95-SC-4-SPAR,PK95-SC-4,CFB,1570,-4.979235138,-16.30369202,14.11219782,0.469832921518143,0.4772018117923376,79.94169329036629,79.94169329036629,NA
IPL D47,SPAR,SPAR,PK95-SC-54-SPAR,PK95-SC-54,CFB,1700,NA,NA,NA,0.46620164865065145,0.473570538924846,82.0472348172035,82.0472348172035,NA
IPL D47,SPAR,SPAR,PK95-SC-54-SPAR,PK95-SC-54,CFB,1700,NA,NA,NA,0.7191270060181876,0.7264958962923822,-10.807650364072686,-10.807650364072686,NA
IPL D47,SPAR,SPAR,PK95-SC-111-SPAR,PK95-SC-111,CFB,2005,NA,NA,NA,0.5045110064947642,0.5118798967689588,61.55531196036111,61.55531196036111,NA
IPL D47,SPAR,SPAR,PK95-SC-111-SPAR,PK95-SC-111,CFB,2005,NA,NA,NA,0.4973175199836529,0.5046864102578476,65.13313581685958,65.13313581685958,NA
IPL D47,Altered carbonate,Altered carbonate,PK95-SC-111-clky,PK95-SC-111,CFB,2005,NA,NA,NA,0.5610813470351648,0.5684502373093594,36.88615489216829,36.88615489216829,NA
IPL D47,Altered carbonate,Altered carbonate,PK95-SC-111-clky,PK95-SC-111,CFB,2005,NA,NA,NA,0.5745850370299508,0.5819539273041454,31.762383764633,31.762383764633,NA
IPL D47,Altered carbonate,Altered carbonate,PK95-SC-111-clky,PK95-SC-111,CFB,2005,NA,NA,NA,0.5881841803845878,0.5955530706587824,26.850875881288573,26.850875881288573,NA
IPL D47,Altered carbonate,Altered carbonate,PK95-SC-111-drk,PK95-SC-111,CFB,2005,NA,NA,NA,0.5410168710948031,0.5483857613689977,45.00004881073062,45.00004881073062,NA
IPL D47,Altered carbonate,Altered carbonate,PK95-SC-111-drk,PK95-SC-111,CFB,2005,NA,NA,NA,0.5364416689592197,0.5438105592334144,46.94110410067839,46.94110410067839,NA
IPL D47,Altered carbonate,Altered carbonate,PK95-SC-111-lte,PK95-SC-111,CFB,2005,NA,NA,NA,0.5509523626833148,0.5583212529575095,40.90362223687674,40.90362223687674,NA
IPL D47,Altered carbonate,Altered carbonate,PK95-SC-111-lte,PK95-SC-111,CFB,2005,NA,NA,NA,0.5655519255583811,0.5729208158325757,35.16136545681343,35.16136545681343,NA
Snell et al. 2013,Altered paleosol carbonate,Altered Paleosol carbonate,SC-191,SNELL-SC-191,NA,794,-8.3,NA,19.8,0.559,NA,46.6,46.6,1.9
Snell et al. 2013,Fracture spar,Fracture Spar,PB-00-02-32-SPAR,PB-00-02-32,NA,NA,-15.3,NA,16.5,0.533,NA,54.1,54.1,5.1
Snell et al. 2013,Fracture spar,Fracture Spar,SC-295-SPAR,SNELL-SC-295,NA,NA,-12.4,NA,14.4,0.525,NA,56.6,56.6,3
