source,sample_group,MLA_sample_id,MLA_horizon_id,strat_height_m,T47_C,T47_se_C,d13Ccarb_vpdb,d18Ocarb_vpdb,d18Ocarb_vsmow
Snell et al. 2013,Altered paleosol carbonate,SC-191,SNELL-SC-191,794,46.6,1.9,-8.3,NA,19.8
IPL D47,SPAR,PK95-SC-22-SPAR,PK95-SC-22,1460,47.8,NA,NA,NA,NA
IPL D47,SPAR,PK95-SC-22-SPAR,PK95-SC-22,1460,39.2,NA,NA,NA,NA
Bowen,SPAR / excluded,PB-00-03-08-SPAR-1,PB-00-03-08,1494.4,NA,NA,-11.2,-9.1,21.528719
Bowen,SPAR / excluded,PB-00-01-12-SPAR,PB-00-01-12,1516.4,NA,NA,-12.5,-12.5,18.023625
Bowen,SPAR / excluded,PB-00-01-13-1A,PB-00-01-13,1517.8,NA,NA,-12.3,-11.4,19.167512
Bowen,SPAR / excluded,PB-00-01-14B-1B,PB-00-01-14B,1519.3,NA,NA,-12,-13.5,17.00258
Bowen,SPAR / excluded,PB-00-01-14B-2A,PB-00-01-14B,1519.3,NA,NA,-11.4,-15,15.4562
Bowen,SPAR / excluded,PB-00-01-14B-2B,PB-00-01-14B,1519.3,NA,NA,-11.1,-15.2,15.250016
Bowen,SPAR / excluded,PB-00-02-01-1B,PB-00-02-01,1519.3,NA,NA,-13.6,-11.8,18.755144
Bowen,SPAR / excluded,PB-00-02-01-1C,PB-00-02-01,1519.3,NA,NA,-12.3,-11.8,18.755144
Bowen,SPAR / excluded,PB-00-02-01-2A,PB-00-02-01,1519.3,NA,NA,-12.6,-13.1,17.414948
Bowen,SPAR / excluded,PB-00-02-01-2B,PB-00-02-01,1519.3,NA,NA,-12.9,-12.4,18.136592
Bowen,SPAR / excluded,PB-00-02-07D-SPAR-1,PB-00-02-07D,1526.3,NA,NA,-13.2,-16.3,14.106167
Bowen,SPAR / excluded,PB-00-02-09-SPAR-2,PB-00-02-09,1530.5,NA,NA,-14.4,-14.6,15.858714
Bowen,SPAR / excluded,PB-00-02-10-SPAR-2,PB-00-02-10,1531.6,NA,NA,-15.4,-15.5,14.930895
Bowen,SPAR / excluded,PB-00-02-11-SPAR-1,PB-00-02-11,1532.2,NA,NA,-14.8,-15.1,15.343259
Bowen,SPAR / excluded,PB-00-04-02-1A,PB-00-04-02,1544.5,NA,NA,-11.5,-15.9,14.528372
Bowen,SPAR / excluded,PB-00-04-02-1B,PB-00-04-02,1544.5,NA,NA,-10.7,-17.2,13.188176
Bowen,SPAR / excluded,PB-00-04-02-2A,PB-00-04-02,1544.5,NA,NA,-11.5,-17.4,12.981992
Bowen,SPAR / excluded,PB-00-04-02-2B,PB-00-04-02,1544.5,NA,NA,-11.4,-17.5,12.8789
Bowen,SPAR / excluded,PB-00-02-19-SPAR-1,PB-00-02-19,1545.1,NA,NA,-11.3,-8.6,22.044174
Bowen,SPAR / excluded,PB-00-04-03-SPAR-2,PB-00-04-03,1548.4,NA,NA,-11.5,-13.9,16.580351
Bowen,SPAR / excluded,PB-00-04-04-SPAR-2,PB-00-04-04,1549.5,NA,NA,-7.5,-14.7,15.755623
Bowen,SPAR / excluded,PB-00-04-11-SPAR-1,PB-00-04-11,1568.2,NA,NA,-6.8,-16.4,14.003076
IPL D47,SPAR,PK95-SC-4-SPAR,PK95-SC-4,1570,83.4,NA,NA,NA,NA
IPL D47,SPAR,PK95-SC-4-SPAR,PK95-SC-4,1570,79.9,NA,NA,NA,NA
Koch,SPAR,PK95-SC-160-SPAR,PK95-SC-160,1720,NA,NA,-9.1,NA,22.6
Koch,SPAR,PK95-SC-318-SPAR,PK95-SC-318,1725,NA,NA,-5.8,NA,12.5
Koch,SPAR,PK95-SC-133-SPAR,PK95-SC-133,1750,NA,NA,-9.2,NA,22
Koch,SPAR,PK95-SC-133-SPAR,PK95-SC-133,1750,NA,NA,-7.4,NA,17.8
Koch,SPAR,PK95-SC-33-SPAR,PK95-SC-33,1840,NA,NA,-6.8,NA,14.4
Koch,SPAR,PK95-SC-33-SPAR,PK95-SC-33,1840,NA,NA,-8.2,NA,21.9
Koch,SPAR,PK95-SC-33-SPAR,PK95-SC-33,1840,NA,NA,-7.5,NA,21.5
Koch,SPAR,PK95-SC-3-SPAR,PK95-SC-3,1935,NA,NA,-10.3,NA,17.7
Koch,SPAR,PK95-SC-111-SPAR,PK95-SC-111,2005,NA,NA,-9.9,13.4,44.724194
Snell et al. 2013,Fracture spar,PB-00-02-32-SPAR,PB-00-02-32,NA,54.1,5.1,-15.3,NA,16.5
Snell et al. 2013,Fracture spar,SC-295-SPAR,SNELL-SC-295,NA,56.6,3,-12.4,NA,14.4
